"bin","T_y","T_by","T_diff","beta_low","effect_fa_low","effect_na_low","beta_high","effect_fa_high","effect_na_high"
"(-45,-44]","0","0","0","-3.73351","0","0","-237.03669","0","0"
"(-44,-43]","0","0","0","-3.68129","0","0","-233.72149","0","0"
"(-43,-42]","0","0","0","-3.62907","0","0","-230.4063","0","0"
"(-42,-41]","0","0","0","-3.57686","0","0","-227.0911","0","0"
"(-41,-40]","0","0","0","-3.52464","0","0","-223.7759","0","0"
"(-40,-39]","0","0","0","-3.47242","0","0","-220.4607","0","0"
"(-39,-38]","0","0","0","-3.42021","0","0","-217.1455","0","0"
"(-38,-37]","0","0","0","-3.36799","0","0","-213.8303","0","0"
"(-37,-36]","0","0","0","-3.31577","0","0","-210.5151","0","0"
"(-36,-35]","0","0","0","-3.26355","0","0","-207.19991","0","0"
"(-35,-34]","0","0","0","-3.21134","0","0","-203.88471","0","0"
"(-34,-33]","0","0","0","-3.15912","0","0","-200.56951","0","0"
"(-33,-32]","0","0","0","-3.1069","0","0","-197.25431","0","0"
"(-32,-31]","0","0","0","-3.05469","0","0","-193.93911","0","0"
"(-31,-30]","0","0","0","-3.00247","0","0","-190.62391","0","0"
"(-30,-29]","0","0","0","-2.95025","0","0","-187.30871","0","0"
"(-29,-28]","0","0","0","-2.89804","0","0","-183.99352","0","0"
"(-28,-27]","0","0","0","-2.84582","0","0","-180.67832","0","0"
"(-27,-26]","0","0","0","-2.7936","0","0","-177.36312","0","0"
"(-26,-25]","0","0","0","-2.74139","0","0","-174.04792","0","0"
"(-25,-24]","0","0","0","-2.68917","0","0","-170.73272","0","0"
"(-24,-23]","0","0","0","-2.63695","0","0","-167.41752","0","0"
"(-23,-22]","0","0","0","-2.58474","0","0","-164.10233","0","0"
"(-22,-21]","0","0","0","-2.53252","0","0","-160.78713","0","0"
"(-21,-20]","0","0","0","-2.4803","0","0","-157.47193","0","0"
"(-20,-19]","0","0","0","-2.42808","0","2.42808","-154.15673","0","154.15673"
"(-19,-18]","0","0","0","-2.37587","-7.1276","7.1276","-150.84153","-452.52459","452.52459"
"(-18,-17]","0","0","0","-2.32365","-2.32365","6.97095","-147.52633","-147.52633","442.579"
"(-17,-16]","0","2","-2","-2.27143","0","6.8143","-144.21113","0","432.6334"
"(-16,-15]","0","3","-3","-2.21922","8.87687","4.43843","-140.89594","563.58374","281.79187"
"(-15,-14]","0","1","-1","-2.167","6.501","6.501","-137.58074","412.74221","412.74221"
"(-14,-13]","2","4","-2","-2.11478","19.03305","-2.11478","-134.26554","1208.38985","-134.26554"
"(-13,-12]","4","4","0","-2.06257","2.06257","0","-130.95034","130.95034","0"
"(-12,-11]","1","11","-10","-2.01035","26.13455","8.0414","-127.63514","1659.25685","510.54057"
"(-11,-10]","3","5","-2","-1.95813","-3.91627","13.70693","-124.31994","-248.63989","870.2396"
"(-10,-9]","1","6","-5","-1.90592","7.62366","15.24733","-121.00474","484.01898","968.03796"
"(-9,-8]","11","11","0","-1.8537","18.53699","-14.82959","-117.68955","1176.89546","-941.51637"
"(-8,-7]","2","6","-4","-1.80148","9.00741","5.40445","-114.37435","571.87174","343.12304"
"(-7,-6]","4","7","-3","-1.74927","1.74927","1.74927","-111.05915","111.05915","111.05915"
"(-6,-5]","5","14","-9","-1.69705","8.48524","10.18229","-107.74395","538.71976","646.46371"
"(-5,-4]","3","11","-8","-1.64483","11.51382","13.15865","-104.42875","731.00127","835.43002"
"(-4,-3]","8","15","-7","-1.59261","-4.77784","14.33353","-101.11355","-303.34066","910.02199"
"(-3,-2]","7","7","0","-1.5404","-6.16159","4.62119","-97.79836","-391.19342","293.39507"
"(-2,-1]","4","10","-6","-1.48818","0","14.88181","-94.48316","0","944.83157"
"(-1,0]","11","9","2","-1.43596","-5.74386","-4.30789","-91.16796","-364.67183","-273.50388"
"(0,1]","9","8","1","-1.38375","5.53499","-8.30248","-87.85276","351.41104","-527.11656"
"(1,2]","4","5","-1","-1.33153","1.33153","6.65765","-84.53756","84.53756","422.68781"
