region,year,mean
,1981,-3.554448415775331e-05
,1982,-1.7537082754944436e-05
,1983,-0.00023958907247240735
,1984,-0.00013436978470174189
,1985,-8.910613987539996e-05
,1986,-0.00016932467224489844
,1987,-3.242824896192603e-05
,1988,3.967314553921577e-06
,1989,1.406507022395356e-05
,1990,-0.000180536121399115
,1991,2.0377065015269168e-05
,1992,-9.533181224237468e-05
,1993,-5.995624432156831e-05
,1994,4.658127974123364e-05
,1995,7.542704699308283e-05
,1996,1.4751261110370421e-05
,1997,-4.121802926879364e-05
,1998,2.711484064319079e-05
,1999,-0.00014957776454340547
,2000,-2.9967930875957286e-05
,2001,3.277173498542616e-05
,2002,1.2744328924825379e-06
,2003,2.7920487295222982e-05
,2004,-5.254058630718113e-05
,2005,-0.00012394770087326482
,2006,6.267552374483158e-05
,2007,4.7410564160128446e-05
,2008,7.94929051555089e-05
,2009,-0.00014448996020585006
,2010,2.9787776526696936e-05
,2011,-0.0001396462250713446
,2012,-1.6569674837162703e-05
,2013,-8.666782421934389e-05
,2014,-4.022351567667501e-05
,2015,-0.00015989903794734223
,2016,-0.00014135869848715127
,2017,-0.00014846540234131166
,2018,-0.00013835706758906502
,2019,1.3681669830488046e-05
,2020,8.652095045109864e-06
,2021,-9.705524588735874e-05
,2022,-0.00042255138702830254
,2023,-0.000400144548598092
,2024,-0.0001898787401655829
,2025,-0.00034169386947544337
,2026,-0.0004839267018669111
,2027,-0.0005134556053535958
,2028,-0.00038294008996074276
,2029,-0.00028416567088081343
,2030,-0.000611001317867854
,2031,-0.00048221232500352977
,2032,-0.0007604498695374703
,2033,-0.0008276966593986097
,2034,-0.0007359944574180073
,2035,-0.0007410641064600039
,2036,-0.0008705839314397432
,2037,-0.0010046934445117552
,2038,-0.0010035162032767074
,2039,-0.000811046306843329
,2040,-0.0013994428511060204
,2041,-0.0012639578752582329
,2042,-0.0012913738022615833
,2043,-0.0015455306640169409
,2044,-0.0017471459009654247
,2045,-0.0019429143120578338
,2046,-0.001710677458555659
,2047,-0.0018807102010164557
,2048,-0.00213417151592194
,2049,-0.002221322920236337
,2050,-0.002340415560295934
,2051,-0.0024205233182152276
,2052,-0.0026265753523861774
,2053,-0.002969529232341501
,2054,-0.002779194852157967
,2055,-0.0033267489425650347
,2056,-0.0031315334925670012
,2057,-0.003410060698090481
,2058,-0.003652919873825939
,2059,-0.003526904321744808
,2060,-0.004124684951971964
,2061,-0.004341772062541663
,2062,-0.004171871558786592
,2063,-0.004592830992289071
,2064,-0.004894000245788713
,2065,-0.0048056363388397855
,2066,-0.005238386591710194
,2067,-0.005437740400093469
,2068,-0.0057920962485562165
,2069,-0.005998991179990264
,2070,-0.006037264532114944
,2071,-0.006275299781198784
,2072,-0.0069817283834935915
,2073,-0.00663878250080715
,2074,-0.007081255840522573
,2075,-0.007498781990299866
,2076,-0.0076863501904874286
,2077,-0.008203413369781297
,2078,-0.00799281457161013
,2079,-0.008714218839689257
,2080,-0.009110303525252845
,2081,-0.009255905016368592
,2082,-0.009600148302499426
,2083,-0.010244802271290042
,2084,-0.010156557233878916
,2085,-0.010291724697771194
,2086,-0.01077656651660602
,2087,-0.011036665203988305
,2088,-0.011421994969381002
,2089,-0.011838918545210266
,2090,-0.012528388002908638
,2091,-0.012635677675318596
,2092,-0.013560391761970648
,2093,-0.013400590506712823
,2094,-0.013783658734038763
,2095,-0.014343504108528776
,2096,-0.014693258314012988
,2097,-0.014877658799068714
,2098,-0.015281772005629498
,2099,-0.015717870615541595
,2100,-0.013322324114111399
