Country,Code,Region,year,Latitude,Inverse Distance to Coast,Malaria Ecology,Ln(Cum Oil & Gas Prod),Ln(Population density),Capital is in Region,GDP pc COUNTRY,GDP pc STATE,Years of Education,Regional lights,Lights Country
Albania,ALB,Berat,1990,40.6285,0.0268671,0.013145,0,7.150331,0,3230.616,2491.635,7.696112,,
Albania,ALB,Berat,2001,40.6285,0.0268671,0.013145,0,6.973364,0,3526.937,3435.573,7.864397,0.8181959,0.9811627
Albania,ALB,Berat,2009,40.6285,0.0268671,0.013145,0,6.956723,0,6789.507,6456.247,,1.248606,1.427109
Albania,ALB,Dibra,1990,41.5891,0.0256703,0.003387,0,6.726548,0,3230.616,1821.685,7.576998,,
Albania,ALB,Dibra,2001,41.5891,0.0256703,0.003387,0,6.593925,0,3526.937,2667.238,7.685751,0.2693725,0.9811627
Albania,ALB,Dibra,2009,41.5891,0.0256703,0.003387,0,6.58128,0,6789.507,4932.459,,0.259141,1.427109
Albania,ALB,Durres,1990,41.44733,0.1092579,0.020619,0,8.410651,0,3230.616,3888.493,7.901196,,
Albania,ALB,Durres,2001,41.44733,0.1092579,0.020619,0,8.492358,0,3526.937,3575.014,7.810656,4.381392,0.9811627
Albania,ALB,Durres,2009,41.44733,0.1092579,0.020619,0,8.483908,0,6789.507,6745.502,,6.554539,1.427109
Albania,ALB,Elbasan,1990,41.04004,0.0251616,0.006803,0,7.038457,0,3230.616,3206.161,7.451747,,
Albania,ALB,Elbasan,2001,41.04004,0.0251616,0.006803,0,7.052452,0,3526.937,2943.607,7.607785,0.7061005,0.9811627
Albania,ALB,Elbasan,2009,41.04004,0.0251616,0.006803,0,7.043673,0,6789.507,5709.478,,1.040866,1.427109
Albania,ALB,Fleri,1990,40.77463,0.0864498,0.02656,0,7.615747,0,3230.616,3896.917,7.840977,,
Albania,ALB,Fleri,2001,40.77463,0.0864498,0.02656,0,7.625449,0,3526.937,3436.692,7.822447,2.051999,0.9811627
Albania,ALB,Fleri,2009,40.77463,0.0864498,0.02656,0,7.612887,0,6789.507,5890.971,,3.113099,1.427109
Albania,ALB,Gjirokastra,1990,40.21542,0.0361162,0.008886,0,6.252065,0,3230.616,2900.965,7.761866,,
Albania,ALB,Gjirokastra,2001,40.21542,0.0361162,0.008886,0,5.983595,0,3526.937,4447.017,8.051977,0.3512535,0.9811627
Albania,ALB,Gjirokastra,2009,40.21542,0.0361162,0.008886,0,5.969498,0,6789.507,5603.606,,0.441076,1.427109
Albania,ALB,Korca,1990,40.62928,0.0154158,0.000845,0,6.762728,0,3230.616,3165.048,7.576729,,
Albania,ALB,Korca,2001,40.62928,0.0154158,0.000845,0,6.575405,0,3526.937,2823.137,8.138673,0.31921,0.9811627
Albania,ALB,Korca,2009,40.62928,0.0154158,0.000845,0,6.566351,0,6789.507,5552.562,,0.671692,1.427109
Albania,ALB,Kukes,1990,42.19458,0.0173285,0.00021,0,6.474762,0,3230.616,2000.798,7.309313,,
Albania,ALB,Kukes,2001,42.19458,0.0173285,0.00021,0,6.142776,0,3526.937,2383.861,7.34847,0.145837,0.9811627
Albania,ALB,Kukes,2009,42.19458,0.0173285,0.00021,0,6.1284,0,6789.507,6667.989,,0.303471,1.427109
Albania,ALB,Lezha,1990,41.8014,0.0600261,0.017448,0,6.568827,0,3230.616,3560.941,7.693427,,
Albania,ALB,Lezha,2001,41.8014,0.0600261,0.017448,0,6.449567,0,3526.937,3537.628,7.617231,0.8373525,0.9811627
Albania,ALB,Lezha,2009,41.8014,0.0600261,0.017448,0,6.434256,0,6789.507,5365.396,,0.90525,1.427109
Albania,ALB,Shkoder,1990,42.17679,0.029235,0.006069,0,6.74563,0,3230.616,3052.986,7.596369,,
Albania,ALB,Shkoder,2001,42.17679,0.029235,0.006069,0,6.59775,0,3526.937,2917.503,7.751173,0.6130385,0.9811627
Albania,ALB,Shkoder,2009,42.17679,0.029235,0.006069,0,6.585226,0,6789.507,5717.04,,0.636563,1.427109
Albania,ALB,Tirana,1990,41.26858,0.0532537,0.019806,0,7.614324,1,3230.616,4168.834,9.259136,,
Albania,ALB,Tirana,2001,41.26858,0.0532537,0.019806,0,8.069756,1,3526.937,4865.417,9.005076,5.095757,0.9811627
Albania,ALB,Tirana,2009,41.26858,0.0532537,0.019806,0,8.058994,1,6789.507,10846.12,,7.50079,1.427109
Albania,ALB,Vlora,1990,40.1638,0.1276635,0.021625,0,6.95737,0,3230.616,3114.619,8.150988,,
Albania,ALB,Vlora,2001,40.1638,0.1276635,0.021625,0,6.595634,0,3526.937,3927.93,8.075002,0.771863,0.9811627
Albania,ALB,Vlora,2009,40.1638,0.1276635,0.021625,0,6.583147,0,6789.507,6565.899,,1.234023,1.427109
Argentina,ARG,Buenos Aires,1953,36.67899,0.008912,0,0,2.874623,0,5167.087,5339.904,,,
Argentina,ARG,Buenos Aires,1970,36.67899,0.008912,0,0,3.355618,0,7615.497,6809.35,4.562317,,
Argentina,ARG,Buenos Aires,1980,36.67899,0.008912,0,0,3.569349,0,8486.968,6554.638,5.559296,,
Argentina,ARG,Buenos Aires,1995,36.67899,0.008912,0,0,3.75545,0,8328.856,7404.272,7.288034,1.705807,0.8239863
Argentina,ARG,Buenos Aires,2000,36.67899,0.008912,0,0,3.801451,0,8901.756,7913.473,7.882899,1.826973,0.8205838
Argentina,ARG,Buenos Aires,2005,36.67899,0.008912,0,0,3.866583,0,9670.71,8457.894,8.106348,1.673666,0.7510113
Argentina,ARG,Catamarca,1953,27.28557,0.0046249,0,0,0.4587441,0,5167.087,1757.981,,,
Argentina,ARG,Catamarca,1970,27.28557,0.0046249,0,0,0.5524193,0,7615.497,2991.684,3.664862,,
Argentina,ARG,Catamarca,1980,27.28557,0.0046249,0,0,0.7392252,0,8486.968,4224.439,4.939321,,
Argentina,ARG,Catamarca,1995,27.28557,0.0046249,0,0,1.081061,0,8328.856,4967.984,7.117282,0.511505,0.8239863
Argentina,ARG,Catamarca,2000,27.28557,0.0046249,0,0,1.194642,0,8901.756,6058.925,7.812987,0.53829,0.8205838
Argentina,ARG,Catamarca,2005,27.28557,0.0046249,0,0,1.259124,0,9670.71,14428.48,8.131413,0.4704165,0.7510113
Argentina,ARG,Chaco,1953,26.39709,0.0018947,0,0,1.582738,0,5167.087,3429.523,,,
Argentina,ARG,Chaco,1970,26.39709,0.0018947,0,0,1.743215,0,7615.497,3200.181,2.586329,,
Argentina,ARG,Chaco,1980,26.39709,0.0018947,0,0,1.956606,0,8486.968,4226.576,3.678929,,
Argentina,ARG,Chaco,1995,26.39709,0.0018947,0,0,2.203246,0,8328.856,4262.716,5.610957,0.918743,0.8239863
Argentina,ARG,Chaco,2000,26.39709,0.0018947,0,0,2.280803,0,8901.756,3972.168,6.221376,0.976751,0.8205838
Argentina,ARG,Chaco,2005,26.39709,0.0018947,0,0,2.327087,0,9670.71,4259.468,6.669382,0.90532,0.7510113
Argentina,ARG,Chubut,1953,43.78595,0.0098968,0,0.0054537,-0.6635311,0,5167.087,7960.202,,,
Argentina,ARG,Chubut,1970,43.78595,0.0098968,0,0.0054537,-0.1663079,0,7615.497,10764.36,3.751735,,
Argentina,ARG,Chubut,1980,43.78595,0.0098968,0,0.0054537,0.1596841,0,8486.968,15503.17,5.179467,,
Argentina,ARG,Chubut,1995,43.78595,0.0098968,0,0.0054537,0.5262288,0,8328.856,9969.828,7.105177,0.229505,0.8239863
Argentina,ARG,Chubut,2000,43.78595,0.0098968,0,0.0054537,0.5974544,0,8901.756,11251.94,7.682945,0.2072,0.8205838
Argentina,ARG,Chubut,2005,43.78595,0.0098968,0,0.0054537,0.7092449,0,9670.71,16100.35,8.015346,0.21385,0.7510113
Argentina,ARG,Ciudad de Bs. As.,1953,34.6179,0.236034,0,0,9.722231,1,5167.087,9274.2,,,
Argentina,ARG,Ciudad de Bs. As.,1970,34.6179,0.236034,0,0,9.721579,1,7615.497,17361.73,6.730461,,
Argentina,ARG,Ciudad de Bs. As.,1980,34.6179,0.236034,0,0,9.704743,1,8486.968,22889.65,8.108448,,
Argentina,ARG,Ciudad de Bs. As.,1995,34.6179,0.236034,0,0,9.693342,1,8328.856,23898.13,9.976614,62.99335,0.8239863
Argentina,ARG,Ciudad de Bs. As.,2000,34.6179,0.236034,0,0,9.660047,1,8901.756,28673.48,10.54275,62.99624,0.8205838
Argentina,ARG,Ciudad de Bs. As.,2005,34.6179,0.236034,0,0,9.67134,1,9670.71,28358.07,10.75552,62.95048,0.7510113
Argentina,ARG,Corrientes,1953,28.7732,0.0027314,0,0,1.793502,0,5167.087,2433.311,,,
Argentina,ARG,Corrientes,1970,28.7732,0.0027314,0,0,1.857764,0,7615.497,4380.094,2.975552,,
Argentina,ARG,Corrientes,1980,28.7732,0.0027314,0,0,2.016889,0,8486.968,5485.689,4.23482,,
Argentina,ARG,Corrientes,1995,28.7732,0.0027314,0,0,2.267394,0,8328.856,4394.324,6.229492,0.954724,0.8239863
Argentina,ARG,Corrientes,2000,28.7732,0.0027314,0,0,2.344049,0,8901.756,4378.75,6.794467,0.892573,0.8205838
Argentina,ARG,Corrientes,2005,28.7732,0.0027314,0,0,2.387683,0,9670.71,4467.052,7.129144,0.783968,0.7510113
Argentina,ARG,Córdoba,1953,32.09515,0.0031384,0,0,2.265255,0,5167.087,3755.244,,,
Argentina,ARG,Córdoba,1970,32.09515,0.0031384,0,0,2.507997,0,7615.497,5781.69,4.307537,,
Argentina,ARG,Córdoba,1980,32.09515,0.0031384,0,0,2.663954,0,8486.968,7485.846,5.476913,,
Argentina,ARG,Córdoba,1995,32.09515,0.0031384,0,0,2.845384,0,8328.856,7554.694,7.51127,1.245537,0.8239863
Argentina,ARG,Córdoba,2000,32.09515,0.0031384,0,0,2.89606,0,8901.756,7952.462,8.17571,1.295695,0.8205838
Argentina,ARG,Córdoba,2005,32.09515,0.0031384,0,0,2.940375,0,9670.71,9314.196,8.527492,1.166342,0.7510113
