,iso,adm0_id,adm1_id,adm2_id,st_name,district_name,NAME_1,STATE_UT,NAME,DIST91_ID
0,IND,60000000,60030000,60030018,MEGHALAYA,EAST KHASI HILLS,Meghalaya,MEGHALAYA,EAST_KHASI_HILLS,267
1,IND,60000000,60030000,60030023,MEGHALAYA,JAINTIA-HILLS,Meghalaya,MEGHALAYA,JAINTIA-HILLS,266
2,IND,60000000,60030000,60030017,MEGHALAYA,EAST GARO HILLS,Meghalaya,MEGHALAYA,EAST_GARO_HILLS,269
3,IND,60000000,60030000,60030049,MEGHALAYA,WEST GARO HILLS,Meghalaya,MEGHALAYA,WEST_GARO_HILLS,270
4,IND,60000000,60010000,60010040,HARYANA,SIRSA,Haryana,HARYANA,SIRSA,136
5,IND,60000000,60010000,60010051,HARYANA,YAMUNANAGAR,Haryana,HARYANA,YAMUNANAGAR,122
6,IND,60000000,60010000,60010021,HARYANA,HISSAR,Haryana,HARYANA,HISSAR,135
7,IND,60000000,60010000,60010029,HARYANA,KURUKSHETRA,Haryana,HARYANA,KURUKSHETRA,123
8,IND,60000000,60010000,60010020,HARYANA,GURGAON,Haryana,HARYANA,GURGAON,130
9,IND,60000000,60010000,60010036,HARYANA,REWARI,Haryana,HARYANA,REWARI,131
10,IND,60000000,60020000,60020039,MADHYA PRADESH,SIDHI,Madhya Pradesh,MADHYA_PRADESH,SIDHI,197
11,IND,60000000,60020000,60020015,MADHYA PRADESH,DHAR,Madhya Pradesh,MADHYA_PRADESH,DHAR,204
12,IND,60000000,60020000,60020007,MADHYA PRADESH,BHIND,Madhya Pradesh,MADHYA_PRADESH,BHIND,184
13,IND,60000000,60020000,60020035,MADHYA PRADESH,REWA,Madhya Pradesh,MADHYA_PRADESH,REWA,195
14,IND,60000000,60020000,60020014,MADHYA PRADESH,DATIA,Madhya Pradesh,MADHYA_PRADESH,DATIA,186
15,IND,60000000,60020000,60020010,MADHYA PRADESH,CHHATAPUR,Madhya Pradesh,MADHYA_PRADESH,CHHATAPUR,190
16,IND,60000000,60020000,60020005,MADHYA PRADESH,BETUL,Madhya Pradesh,MADHYA_PRADESH,BETUL,213
17,IND,60000000,60020000,60020033,MADHYA PRADESH,RAISEN,Madhya Pradesh,MADHYA_PRADESH,RAISEN,212
18,IND,60000000,60020000,60020038,MADHYA PRADESH,SEHORE,Madhya Pradesh,MADHYA_PRADESH,SEHORE,211
19,IND,60000000,60020000,60020008,MADHYA PRADESH,BHOPAL,Madhya Pradesh,MADHYA_PRADESH,BHOPAL,210
20,IND,60000000,60020000,60020050,MADHYA PRADESH,WEST NIMAR,Madhya Pradesh,MADHYA_PRADESH,WEST_NIMAR,206
21,IND,60000000,60020000,60020044,MADHYA PRADESH,SURGUJA,Madhya Pradesh,MADHYA_PRADESH,SURGUJA,221
22,IND,60000000,60020000,60020001,MADHYA PRADESH,BALAGHAT,Madhya Pradesh,MADHYA_PRADESH,BALAGHAT,220
23,IND,60000000,60020000,60020022,MADHYA PRADESH,JABALPUR,Madhya Pradesh,MADHYA_PRADESH,JABALPUR,215
24,IND,60000000,60020000,60020011,MADHYA PRADESH,CHHINDWARA,Madhya Pradesh,MADHYA_PRADESH,CHHINDWARA,218
25,IND,60000000,60040000,60040016,ORISSA,DHENKANAL,Orissa,ORISSA,DHENKANAL,287
26,IND,60000000,60040000,60040002,ORISSA,BALANGIR,Orissa,ORISSA,BALANGIR,289
27,IND,60000000,60040000,60040042,ORISSA,SUNDARGARH,Orissa,ORISSA,SUNDARGARH,282
28,IND,60000000,60040000,60040027,ORISSA,KENDUJHAR,Orissa,ORISSA,KENDUJHAR,283
29,IND,60000000,60040000,60040013,ORISSA,CUTTACK,Orissa,ORISSA,CUTTACK,286
30,IND,60000000,60040000,60040003,ORISSA,BALESHWAR,Orissa,ORISSA,BALESHWAR,285
31,IND,60000000,60040000,60040032,ORISSA,PURI,Orissa,ORISSA,PURI,293
32,IND,60000000,60040000,60040025,ORISSA,KALAHANDI,Orissa,ORISSA,KALAHANDI,290
33,IND,60000000,60040000,60040019,ORISSA,GANJAM,Orissa,ORISSA,GANJAM,292
34,IND,60000000,60040000,60040028,ORISSA,KORAPUT,Orissa,ORISSA,KORAPUT,291
35,IND,60000000,60050000,60050041,TAMIL NADU,SOUTH ARCOT,Tamil Nadu,TAMIL_NADU,SOUTH_ARCOT,342
36,IND,60000000,60050000,60050009,TAMIL NADU,CHENGAI ANNA,Tamil Nadu,TAMIL_NADU,CHENGAI_ANNA,338
37,IND,60000000,60050000,60050047,TAMIL NADU,TIRUVANNAMALAI SAMBU,Tamil Nadu,TAMIL_NADU,TIRUVANNAMALAI_SAMBU,341
38,IND,60000000,60050000,60050046,TAMIL NADU,TIRUCHCHIRAPPALLI,Tamil Nadu,TAMIL_NADU,TIRUCHCHIRAPPALLI,348
39,IND,60000000,60050000,60050031,TAMIL NADU,PERIYAR,Tamil Nadu,TAMIL_NADU,PERIYAR,344
40,IND,60000000,60050000,60050037,TAMIL NADU,SALEM,Tamil Nadu,TAMIL_NADU,SALEM,343
41,IND,60000000,60050000,60050026,TAMIL NADU,KAMARAJAR,Tamil Nadu,TAMIL_NADU,KAMARAJAR,353
42,IND,60000000,60050000,60050012,TAMIL NADU,CHIDAMBARANAR,Tamil Nadu,TAMIL_NADU,CHIDAMBARANAR,355
43,IND,60000000,60050000,60050045,TAMIL NADU,THANJAVUR,Tamil Nadu,TAMIL_NADU,THANJAVUR,349
44,IND,60000000,60000000,60000000,GUJARAT,AHMEDABAD,Gujarat,GUJARAT,AHMEDABAD,113
45,IND,60000000,60000000,60000004,GUJARAT,BANAS-KANTHA,Gujarat,GUJARAT,BANAS-KANTHA,109
46,IND,60000000,60000000,60000048,GUJARAT,VADODARA,Gujarat,GUJARAT,VADODARA,116
47,IND,60000000,60000000,60000034,GUJARAT,RAJKOT,Gujarat,GUJARAT,RAJKOT,103
48,IND,60000000,60000000,60000006,GUJARAT,BHAVNAGAR,Gujarat,GUJARAT,BHAVNAGAR,105
49,IND,60000000,60000000,60000024,GUJARAT,JUNAGARH,Gujarat,GUJARAT,JUNAGARH,107
50,IND,60000000,60000000,60000043,GUJARAT,SURAT,Gujarat,GUJARAT,SURAT,118
51,IND,60000000,60050000,60050030,TAMIL NADU,MADRAS,Tamil Nadu,TAMIL_NADU,MADRAS,337
