variable,batch,rcp,gcm,model,year,ssp,global_damages_constant_model_collapsed,anomaly
damages,batch0,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-23737907048.019115,0.368346631526947
damages,batch0,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-22445862341.832874,0.368346631526947
damages,batch1,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-23409378925.833344,0.368346631526947
damages,batch1,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-22089521627.098633,0.368346631526947
damages,batch10,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-23379145806.979893,0.368346631526947
damages,batch10,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-22111468261.688442,0.368346631526947
damages,batch11,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-23304476349.043674,0.368346631526947
damages,batch11,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-22015574688.46098,0.368346631526947
damages,batch12,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-23032995889.769485,0.368346631526947
damages,batch12,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-21741441344.116734,0.368346631526947
damages,batch13,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-23227387031.151836,0.368346631526947
damages,batch13,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-21943850214.883667,0.368346631526947
damages,batch14,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-23156910125.04799,0.368346631526947
damages,batch14,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-21874815609.27041,0.368346631526947
damages,batch2,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-23520897108.677155,0.368346631526947
damages,batch2,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-22239546289.25054,0.368346631526947
damages,batch3,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-23392672472.78542,0.368346631526947
damages,batch3,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-22102223927.442104,0.368346631526947
damages,batch4,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-23441570123.543636,0.368346631526947
damages,batch4,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-22142338785.940285,0.368346631526947
damages,batch5,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-23076706477.15847,0.368346631526947
damages,batch5,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-21760092333.145824,0.368346631526947
damages,batch6,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-23488788418.186104,0.368346631526947
damages,batch6,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-22177377947.081875,0.368346631526947
damages,batch7,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-23606994065.162395,0.368346631526947
damages,batch7,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-22313332308.348755,0.368346631526947
damages,batch8,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-23418167193.59537,0.368346631526947
damages,batch8,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-22136866540.960365,0.368346631526947
damages,batch9,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-23505774226.454758,0.368346631526947
damages,batch9,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-22205710215.898514,0.368346631526947
