variable,batch,rcp,gcm,model,year,ssp,global_damages_constant_model_collapsed,anomaly
damages,batch0,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-30.230841811235592,0.368346631526947
damages,batch0,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-28.58538928474505,0.368346631526947
damages,batch1,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-29.81245270590083,0.368346631526947
damages,batch1,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-28.131580119672414,0.368346631526947
damages,batch10,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-29.773950042979873,0.368346631526947
damages,batch10,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-28.159529729435032,0.368346631526947
damages,batch11,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-29.67885654689219,0.368346631526947
damages,batch11,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-28.037406770696958,0.368346631526947
damages,batch12,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-29.33311912351457,0.368346631526947
damages,batch12,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-27.688290829207606,0.368346631526947
damages,batch13,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-29.580681296234673,0.368346631526947
damages,batch13,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-27.946063788759936,0.368346631526947
damages,batch14,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-29.490927123911867,0.368346631526947
damages,batch14,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-27.858146423611707,0.368346631526947
damages,batch2,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-29.95447401122518,0.368346631526947
damages,batch2,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-28.32264042756408,0.368346631526947
damages,batch3,rcp45,ACCESS1-0,IIASA GDP,2018,SSP3,-29.791176603576524,0.368346631526947
damages,batch3,rcp45,ACCESS1-0,OECD Env-Growth,2018,SSP3,-28.14775682941963,0.368346631526947
