year,iso,adm1_id,getal_admin_name,gdppc_adm0_PWT,gdppc_adm1_PWT_downscaled,adm0_pop
2002,BRA,10050000,S<c3><83><c2><a3>o Paulo,10266.253,16334.231049583625,179537520
2003,BRA,10050000,S<c3><83><c2><a3>o Paulo,10243.375,16173.656976961252,181809246
2004,BRA,10050000,S<c3><83><c2><a3>o Paulo,10682.45,16740.435573586747,184006481
2005,BRA,10050000,S<c3><83><c2><a3>o Paulo,10875.534,16917.059786832986,186127103
2006,BRA,10050000,S<c3><83><c2><a3>o Paulo,11178.943,17315.41552731642,188167356
2007,BRA,10050000,S<c3><83><c2><a3>o Paulo,11721.444,18084.372637891556,190130443
2008,BRA,10050000,S<c3><83><c2><a3>o Paulo,12182.072,18724.77532845662,192030362
2009,BRA,10050000,S<c3><83><c2><a3>o Paulo,12038.32,18437.164130437097,193886508
2010,BRA,10050000,S<c3><83><c2><a3>o Paulo,12828.477,19580.191627253174,195713635
2002,BRA,10040000,Rio de Janeiro,10266.253,14061.249660156986,179537520
2003,BRA,10040000,Rio de Janeiro,10243.375,14026.952473349887,181809246
2004,BRA,10040000,Rio de Janeiro,10682.45,14625.278266791072,184006481
2005,BRA,10040000,Rio de Janeiro,10875.534,14886.688342081294,186127103
2006,BRA,10040000,Rio de Janeiro,11178.943,15092.797851519312,188167356
2007,BRA,10040000,Rio de Janeiro,11721.444,15619.606054609765,190130443
2008,BRA,10040000,Rio de Janeiro,12182.072,16031.318060675909,192030362
2009,BRA,10040000,Rio de Janeiro,12038.32,15652.356803072806,193886508
2010,BRA,10040000,Rio de Janeiro,12828.477,16488.232795415217,195713635
2002,BRA,10010000,Minas Gerais,10266.253,8374.785456866395,179537520
2003,BRA,10010000,Minas Gerais,10243.375,8466.324708518796,181809246
2004,BRA,10010000,Minas Gerais,10682.45,8941.635909370156,184006481
2005,BRA,10010000,Minas Gerais,10875.534,9215.147913270204,186127103
2006,BRA,10010000,Minas Gerais,11178.943,9616.173925711199,188167356
2007,BRA,10010000,Minas Gerais,11721.444,10225.986008210744,190130443
2008,BRA,10010000,Minas Gerais,12182.072,10768.282304839186,192030362
2009,BRA,10010000,Minas Gerais,12038.32,10771.987922560438,193886508
2010,BRA,10010000,Minas Gerais,12828.477,11611.1846678835,195713635
2002,BRA,10030000,Rio Grande do Sul,10266.253,11683.85025805928,179537520
2003,BRA,10030000,Rio Grande do Sul,10243.375,11682.24397829714,181809246
2004,BRA,10030000,Rio Grande do Sul,10682.45,12207.978127601886,184006481
2005,BRA,10030000,Rio Grande do Sul,10875.534,12453.48795408173,186127103
2006,BRA,10030000,Rio Grande do Sul,11178.943,12917.156249876054,188167356
2007,BRA,10030000,Rio Grande do Sul,11721.444,13660.041660335552,190130443
2008,BRA,10030000,Rio Grande do Sul,12182.072,14310.617075960055,192030362
2009,BRA,10030000,Rio Grande do Sul,12038.32,14247.403984266439,193886508
2010,BRA,10030000,Rio Grande do Sul,12828.477,15289.38526202552,195713635
2002,BRA,10000000,Bahia,10266.253,5345.923586444552,179537520
2003,BRA,10000000,Bahia,10243.375,5425.431821073162,181809246
2004,BRA,10000000,Bahia,10682.45,5751.230318837554,184006481
2005,BRA,10000000,Bahia,10875.534,5947.999666772327,186127103
2006,BRA,10000000,Bahia,11178.943,6135.982910100376,188167356
2007,BRA,10000000,Bahia,11721.444,6456.068178849076,190130443
2008,BRA,10000000,Bahia,12182.072,6731.607887095655,192030362
2009,BRA,10000000,Bahia,12038.32,6672.246391560225,193886508
2010,BRA,10000000,Bahia,12828.477,7130.525234254972,195713635
2002,BRA,10020000,Pernambuco,10266.253,5008.735254386021,179537520
2003,BRA,10020000,Pernambuco,10243.375,5034.5847362086315,181809246
2004,BRA,10020000,Pernambuco,10682.45,5288.154932842125,184006481
2005,BRA,10020000,Pernambuco,10875.534,5421.327223360238,186127103
2006,BRA,10020000,Pernambuco,11178.943,5691.633252003842,188167356
2007,BRA,10020000,Pernambuco,11721.444,6086.060318432694,190130443
2008,BRA,10020000,Pernambuco,12182.072,6441.236541832971,192030362
2009,BRA,10020000,Pernambuco,12038.32,6473.377089754087,193886508
2010,BRA,10020000,Pernambuco,12828.477,7007.538593808231,195713635
1989,CHN,20000000,Beijing,2081.6675,5788.58490430383,1118650000
1990,CHN,20000000,Beijing,2057.0237,5510.35686307092,1135185000
1991,CHN,20000000,Beijing,2151.9565,5598.80273376507,1150780000
1992,CHN,20000000,Beijing,2324.4766,5901.471273319772,1164970000
1993,CHN,20000000,Beijing,2543.9551,6320.47646090999,1178440000
1994,CHN,20000000,Beijing,2727.0481,6648.6513278186685,1191835000
1995,CHN,20000000,Beijing,3065.0068,7349.605576489116,1204855000
1996,CHN,20000000,Beijing,3152.4414,7822.50125447072,1217550000
1997,CHN,20000000,Beijing,3350.0996,8570.134541877005,1230075000
1998,CHN,20000000,Beijing,3342.2668,8786.825377985637,1241935000
1999,CHN,20000000,Beijing,3519.6196,9478.820282323197,1252735000
2000,CHN,20000000,Beijing,3721.8508,10243.984625706891,1262645000
2001,CHN,20000000,Beijing,3957.9678,10987.144951989214,1271850000
2002,CHN,20000000,Beijing,4360.1079,12191.542691431761,1280400000
2003,CHN,20000000,Beijing,4727.0625,13299.019396147058,1288400000
2004,CHN,20000000,Beijing,5199.8809,14700.061156172718,1296075000
2005,CHN,20000000,Beijing,5637.0957,16007.002404605879,1303720000
2006,CHN,20000000,Beijing,6272.9785,16651.592272440907,1311020000
2007,CHN,20000000,Beijing,6990.625,17517.688291626426,1317885000
2008,CHN,20000000,Beijing,7309.3281,17424.604826914783,1324655000
2009,CHN,20000000,Beijing,7862.9229,17940.912598411724,1331260000
2010,CHN,20000000,Beijing,8483.165,18624.236954231754,1337705000
2011,CHN,20000000,Beijing,9098.6035,19975.102839494917,1344130000
1989,CHN,20900000,Liaoning,2081.6675,3463.165448288713,1118650000
1990,CHN,20900000,Liaoning,2057.0237,3402.650434383601,1135185000
1991,CHN,20900000,Liaoning,2151.9565,3421.1764758462045,1150780000
1992,CHN,20900000,Liaoning,2324.4766,3572.558472022267,1164970000
1993,CHN,20900000,Liaoning,2543.9551,3794.2564464088164,1178440000
1994,CHN,20900000,Liaoning,2727.0481,3961.188573157773,1191835000
1995,CHN,20900000,Liaoning,3065.0068,4348.887542955254,1204855000
1996,CHN,20900000,Liaoning,3152.4414,4462.543965246519,1217550000
1997,CHN,20900000,Liaoning,3350.0996,4733.379473447206,1230075000
1998,CHN,20900000,Liaoning,3342.2668,4715.014937964488,1241935000
1999,CHN,20900000,Liaoning,3519.6196,4956.267505140934,1252735000
2000,CHN,20900000,Liaoning,3721.8508,5232.513094297572,1262645000
2001,CHN,20900000,Liaoning,3957.9678,5356.174089670043,1271850000
2002,CHN,20900000,Liaoning,4360.1079,5711.36779518557,1280400000
2003,CHN,20900000,Liaoning,4727.0625,6019.652075670285,1288400000
2004,CHN,20900000,Liaoning,5199.8809,6457.148008843293,1296075000
2005,CHN,20900000,Liaoning,5637.0957,6847.865578786909,1303720000
2006,CHN,20900000,Liaoning,6272.9785,7751.619318000801,1311020000
2007,CHN,20900000,Liaoning,6990.625,8756.022798226168,1317885000
2008,CHN,20900000,Liaoning,7309.3281,9256.033524628663,1324655000
2009,CHN,20900000,Liaoning,7862.9229,10046.580937207289,1331260000
2010,CHN,20900000,Liaoning,8483.165,10922.690917870108,1337705000
2011,CHN,20900000,Liaoning,9098.6035,11714.943001940057,1344130000
1989,CHN,20500000,Henan,2081.6675,1440.8846491099132,1118650000
1990,CHN,20500000,Henan,2057.0237,1415.5153410584767,1135185000
1991,CHN,20500000,Henan,2151.9565,1493.7876093939929,1150780000
1992,CHN,20500000,Henan,2324.4766,1626.2075624523438,1164970000
1993,CHN,20500000,Henan,2543.9551,1790.85519854189,1178440000
1994,CHN,20500000,Henan,2727.0481,1930.1352125315696,1191835000
1995,CHN,20500000,Henan,3065.0068,2179.6832708883244,1204855000
1996,CHN,20500000,Henan,3152.4414,2238.084945021564,1217550000
1997,CHN,20500000,Henan,3350.0996,2375.312109405561,1230075000
1998,CHN,20500000,Henan,3342.2668,2367.374974273737,1241935000
1999,CHN,20500000,Henan,3519.6196,2489.746158346212,1252735000
2000,CHN,20500000,Henan,3721.8508,2629.727793955201,1262645000
2001,CHN,20500000,Henan,3957.9678,2828.351067690394,1271850000
2002,CHN,20500000,Henan,4360.1079,3145.5028982597623,1280400000
2003,CHN,20500000,Henan,4727.0625,3437.6945651788997,1288400000
2004,CHN,20500000,Henan,5199.8809,3805.882986816642,1296075000
2005,CHN,20500000,Henan,5637.0957,4149.8754536710585,1303720000
2006,CHN,20500000,Henan,6272.9785,4641.819318150849,1311020000
2007,CHN,20500000,Henan,6990.625,5194.2352884149295,1317885000
2008,CHN,20500000,Henan,7309.3281,5449.332061315144,1324655000
2009,CHN,20500000,Henan,7862.9229,5877.848748173706,1331260000
2010,CHN,20500000,Henan,8483.165,6356.964637596552,1337705000
2011,CHN,20500000,Henan,9098.6035,6818.052342218368,1344130000
1989,CHN,20800000,Jiangsu,2081.6675,2680.3254168389,1118650000
1990,CHN,20800000,Jiangsu,2057.0237,2655.117527535503,1135185000
1991,CHN,20800000,Jiangsu,2151.9565,2907.2303715194425,1150780000
1992,CHN,20800000,Jiangsu,2324.4766,3259.236812869472,1164970000
1993,CHN,20800000,Jiangsu,2543.9551,3676.134191454543,1178440000
1994,CHN,20800000,Jiangsu,2727.0481,4041.591885277071,1191835000
1995,CHN,20800000,Jiangsu,3065.0068,4641.380146871209,1204855000
1996,CHN,20800000,Jiangsu,3152.4414,4742.030716944079,1217550000
1997,CHN,20800000,Jiangsu,3350.0996,5009.762171771,1230075000
1998,CHN,20800000,Jiangsu,3342.2668,4971.945751235132,1241935000
1999,CHN,20800000,Jiangsu,3519.6196,5208.519593725216,1252735000
2000,CHN,20800000,Jiangsu,3721.8508,5481.408178119219,1262645000
2001,CHN,20800000,Jiangsu,3957.9678,5954.440604290526,1271850000
2002,CHN,20800000,Jiangsu,4360.1079,6675.470904358105,1280400000
2003,CHN,20800000,Jiangsu,4727.0625,7343.87536391621,1288400000
2004,CHN,20800000,Jiangsu,5199.8809,8175.469991106432,1296075000
2005,CHN,20800000,Jiangsu,5637.0957,8956.333710603016,1303720000
2006,CHN,20800000,Jiangsu,6272.9785,9998.939772555797,1311020000
2007,CHN,20800000,Jiangsu,6990.625,11171.878549969546,1317885000
2008,CHN,20800000,Jiangsu,7309.3281,11706.000711117591,1324655000
2009,CHN,20800000,Jiangsu,7862.9229,12613.49255703187,1331260000
2010,CHN,20800000,Jiangsu,8483.165,13629.758922203244,1337705000
2011,CHN,20800000,Jiangsu,9098.6035,14618.361913571589,1344130000
1989,CHN,20400000,Heilongjiang,2081.6675,2607.8733203761667,1118650000
1990,CHN,20400000,Heilongjiang,2057.0237,2555.438092604676,1135185000
1991,CHN,20400000,Heilongjiang,2151.9565,2607.7267997959143,1150780000
1992,CHN,20400000,Heilongjiang,2324.4766,2759.182614828743,1164970000
1993,CHN,20400000,Heilongjiang,2543.9551,2965.0651300371533,1178440000
1994,CHN,20400000,Heilongjiang,2727.0481,3128.412032978345,1191835000
1995,CHN,20400000,Heilongjiang,3065.0068,3467.579687878224,1204855000
1996,CHN,20400000,Heilongjiang,3152.4414,3515.382296924909,1217550000
1997,CHN,20400000,Heilongjiang,3350.0996,3687.122965361395,1230075000
1998,CHN,20400000,Heilongjiang,3342.2668,3634.704643862019,1241935000
1999,CHN,20400000,Heilongjiang,3519.6196,3783.717933726823,1252735000
2000,CHN,20400000,Heilongjiang,3721.8508,3958.493249305704,1262645000
2001,CHN,20400000,Heilongjiang,3957.9678,4069.1807620190807,1271850000
2002,CHN,20400000,Heilongjiang,4360.1079,4355.29904014838,1280400000
2003,CHN,20400000,Heilongjiang,4727.0625,4605.755608911198,1288400000
2004,CHN,20400000,Heilongjiang,5199.8809,4955.351661570786,1296075000
2005,CHN,20400000,Heilongjiang,5637.0957,5269.472838603798,1303720000
2006,CHN,20400000,Heilongjiang,6272.9785,5667.0927266939725,1311020000
2007,CHN,20400000,Heilongjiang,6990.625,6139.370617197934,1317885000
2008,CHN,20400000,Heilongjiang,7309.3281,6268.118847044866,1324655000
2009,CHN,20400000,Heilongjiang,7862.9229,6606.286964691767,1331260000
2010,CHN,20400000,Heilongjiang,8483.165,7003.6033627525085,1337705000
2011,CHN,20400000,Heilongjiang,9098.6035,7511.593509446341,1344130000
1989,CHN,20600000,Hubei,2081.6675,2006.5062023235832,1118650000
1990,CHN,20600000,Hubei,2057.0237,1977.6882018093195,1135185000
1991,CHN,20600000,Hubei,2151.9565,1976.643347226173,1150780000
1992,CHN,20600000,Hubei,2324.4766,2053.0046528744406,1164970000
1993,CHN,20600000,Hubei,2543.9551,2169.7368313995794,1178440000
1994,CHN,20600000,Hubei,2727.0481,2255.070709140376,1191835000
1995,CHN,20600000,Hubei,3065.0068,2465.6338092353167,1204855000
1996,CHN,20600000,Hubei,3152.4414,2534.5445932579237,1217550000
1997,CHN,20600000,Hubei,3350.0996,2692.7142344643717,1230075000
1998,CHN,20600000,Hubei,3342.2668,2686.2477584110893,1241935000
1999,CHN,20600000,Hubei,3519.6196,2827.5552567640366,1252735000
2000,CHN,20600000,Hubei,3721.8508,2988.9257787967194,1262645000
2001,CHN,20600000,Hubei,3957.9678,3120.2076704636083,1271850000
2002,CHN,20600000,Hubei,4360.1079,3384.70864030866,1280400000
2003,CHN,20600000,Hubei,4727.0625,3621.7986238464828,1288400000
2004,CHN,20600000,Hubei,5199.8809,3937.610998403343,1296075000
2005,CHN,20600000,Hubei,5637.0957,4226.397566326739,1303720000
2006,CHN,20600000,Hubei,6272.9785,4885.339090655455,1311020000
2007,CHN,20600000,Hubei,6990.625,5607.348611386318,1317885000
2008,CHN,20600000,Hubei,7309.3281,6002.904671964889,1324655000
2009,CHN,20600000,Hubei,7862.9229,6582.581624835676,1331260000
2010,CHN,20600000,Hubei,8483.165,7217.339690386319,1337705000
2011,CHN,20600000,Hubei,9098.6035,7740.832706495803,1344130000
1989,CHN,21100000,Shanghai,2081.6675,7572.143221337726,1118650000
1990,CHN,21100000,Shanghai,2057.0237,7026.891462560196,1135185000
1991,CHN,21100000,Shanghai,2151.9565,7302.645352287723,1150780000
1992,CHN,21100000,Shanghai,2324.4766,7848.990622383478,1164970000
1993,CHN,21100000,Shanghai,2543.9551,8550.563009019435,1178440000
1994,CHN,21100000,Shanghai,2727.0481,9130.337671649575,1191835000
1995,CHN,21100000,Shanghai,3065.0068,10228.045132110698,1204855000
1996,CHN,21100000,Shanghai,3152.4414,10687.578695572045,1217550000
1997,CHN,21100000,Shanghai,3350.0996,11523.010975596057,1230075000
1998,CHN,21100000,Shanghai,3342.2668,11649.396549315188,1241935000
1999,CHN,21100000,Shanghai,3519.6196,12411.390406200306,1252735000
2000,CHN,21100000,Shanghai,3721.8508,13265.288401556818,1262645000
2001,CHN,21100000,Shanghai,3957.9678,13808.020687700176,1271850000
2002,CHN,21100000,Shanghai,4360.1079,14941.365124531287,1280400000
2003,CHN,21100000,Shanghai,4727.0625,15953.46059550489,1288400000
2004,CHN,21100000,Shanghai,5199.8809,17311.7032085595,1296075000
2005,CHN,21100000,Shanghai,5637.0957,18550.202091767882,1303720000
2006,CHN,21100000,Shanghai,6272.9785,18811.59181674522,1311020000
2007,CHN,21100000,Shanghai,6990.625,19325.127309585347,1317885000
2008,CHN,21100000,Shanghai,7309.3281,18799.81614968413,1324655000
2009,CHN,21100000,Shanghai,7862.9229,18957.644806208125,1331260000
2010,CHN,21100000,Shanghai,8483.165,19298.11315509096,1337705000
2011,CHN,21100000,Shanghai,9098.6035,20697.857089879293,1344130000
1989,CHN,20700000,Hunan,2081.6675,1590.005103973094,1118650000
1990,CHN,20700000,Hunan,2057.0237,1575.005797038276,1135185000
1991,CHN,20700000,Hunan,2151.9565,1621.011334843611,1150780000
1992,CHN,20700000,Hunan,2324.4766,1727.918167559346,1164970000
1993,CHN,20700000,Hunan,2543.9551,1868.9511507684667,1178440000
1994,CHN,20700000,Hunan,2727.0481,1983.2632494064505,1191835000
1995,CHN,20700000,Hunan,3065.0068,2209.538006878107,1204855000
1996,CHN,20700000,Hunan,3152.4414,2269.124772279796,1217550000
1997,CHN,20700000,Hunan,3350.0996,2408.629174546717,1230075000
1998,CHN,20700000,Hunan,3342.2668,2400.923112949809,1241935000
1999,CHN,20700000,Hunan,3519.6196,2525.360316616546,1252735000
2000,CHN,20700000,Hunan,3721.8508,2667.668421812211,1262645000
2001,CHN,20700000,Hunan,3957.9678,2787.6486380680276,1271850000
2002,CHN,20700000,Hunan,4360.1079,3026.5737901922885,1280400000
2003,CHN,20700000,Hunan,4727.0625,3241.005659140353,1288400000
2004,CHN,20700000,Hunan,5199.8809,3525.926231714212,1296075000
2005,CHN,20700000,Hunan,5637.0957,3786.7116740340507,1303720000
2006,CHN,20700000,Hunan,6272.9785,4345.991249894333,1311020000
2007,CHN,20700000,Hunan,6990.625,4961.485946777619,1317885000
2008,CHN,20700000,Hunan,7309.3281,5289.148398785848,1324655000
2009,CHN,20700000,Hunan,7862.9229,5780.298986659802,1331260000
