city,country,Region_ID,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031,year_2032,year_2033,year_2034,year_2035,year_2036,year_2037,year_2038,year_2039,year_2040,year_2041,year_2042,year_2043,year_2044,year_2045,year_2046,year_2047,year_2048,year_2049,year_2050,year_2051,year_2052,year_2053,year_2054,year_2055,year_2056,year_2057,year_2058,year_2059,year_2060,year_2061,year_2062,year_2063,year_2064,year_2065,year_2066,year_2067,year_2068,year_2069,year_2070,year_2071,year_2072,year_2073,year_2074,year_2075,year_2076,year_2077,year_2078,year_2079,year_2080,year_2081,year_2082,year_2083,year_2084,year_2085,year_2086,year_2087,year_2088,year_2089,year_2090,year_2091,year_2092,year_2093,year_2094,year_2095,year_2096,year_2097,year_2098,year_2099
Tokyo,Japan,JPN.41.R5148cbf71a2651b4,43116.972435904,43187.4122227403,43257.9670864047,43328.6372149972,43399.4227966173,43470.324020001804,43705.5270620262,43942.002707380896,44179.7578413844,44418.7993870513,44659.1343047107,44999.2495220527,45341.9549902881,45687.270436207305,46035.215736876795,46385.8109209125,46791.5366335025,47200.81113301309,47613.66545960269,48030.130925455094,48450.2391160529,48905.974141484294,49365.99592407481,49830.3447863319,50299.0614296372,50772.1869384488,51283.2323219469,51799.4216120801,52320.806584430095,52847.439535959806,53379.373290108204,53951.1642147175,54529.0800680009,55113.1864593433,55703.5497007343,56300.2368145361,56951.3501726898,57609.9936698889,58276.254392133604,58950.220432910595,59631.9809043998,60350.23791245309,61077.146203326396,61812.8099802283,62557.3347014271,63310.8270955333,64070.76390548889,64839.8224405518,65618.1121911011,66405.7439619221,67202.8298878705,67984.1143600247,68774.4818638731,69574.0379963712,70382.8895826627,71201.1446893246,72000.101186945,72808.0228702765,73625.0103388312,74451.1653207197,75286.59068564151,76139.72988550599,77002.5367631783,77875.1208714401,78757.5930050157,79650.06521368951,80580.5469847364,81521.8987571343,82474.2475158164,83437.7217287368,84412.4513648272,85428.4251583569,86456.6270381804,87497.2041797119,88550.3055292034,89616.0818261591,90705.78615402721,91808.74095537119,92925.107352116,94055.048425124
New York,United States,USA.33.1854,68622.2262046446,69402.0628239376,70190.7616616902,70988.4234297394,71795.1499845674,72611.0443404188,73413.7454876549,74225.3203418288,75045.867000101,75875.4846441672,76714.2735518466,77518.64414928861,78331.4487973437,79152.7759292754,79982.7149057287,80821.3560242817,81667.5005885204,82522.5037102135,83386.4581323639,84259.4575690377,85141.59671542571,86037.3277202351,86942.4822508528,87857.1594473299,88781.4594927355,89715.4836241085,90645.8171420834,91585.7980523797,92535.5263964504,93495.1032536721,94464.630751151,95442.1655660238,96429.81606451991,97427.6869252552,98435.8839101066,99454.5138755467,100482.68110565699,101521.477595366,102571.01323061199,103631.39903369699,104702.747173989,105791.990409288,106892.56525568699,108004.589598391,109128.18254863401,110263.464456913,111425.960671366,112600.71296230401,113787.850544094,114987.50399377801,116199.805264821,117430.64085699801,118674.513960323,119931.56267340599,121201.926557634,122485.746652826,123780.527451801,125088.995209115,126411.29460801801,127747.57186050301,129097.97472487699,130452.739038838,131821.720356479,133205.067871371,134602.932344795,136015.466117207,137435.040241898,138869.43025988,140318.79080395302,141783.278117928,143263.05007700302,144754.15650535098,146260.78262585198,147783.089968722,149321.241749053,150875.402877002,152442.729105446,154026.337056881,155626.39587084,157243.07643923198
Mexico City,Mexico,MEX.9.250,21231.266751821102,21744.7468358366,22270.645481698903,22809.263033195,23360.9070984317,23925.892724563197,24421.0118246494,24926.3768504623,25442.1998299445,25968.697178463397,26506.0897899952,26990.0369404278,27482.819978787902,27984.6002307646,28495.541966821,29015.812457210697,29468.4201326012,29928.0878795484,30394.925825448998,30869.0458158138,31350.5614407565,31790.5429298283,32236.6992272576,32689.1169917765,33147.8840985894,33613.0896558011,34097.438224176,34588.7660241156,35087.173623039,35592.763037383396,36105.637753616604,36624.5219831925,37150.863243270804,37684.7687009369,38226.347063479,38775.708600164304,39278.8099001458,39788.438764107,40304.6798848381,40827.6190541823,41357.343176789705,41818.4671669694,42284.7325737863,42756.1967227207,43232.9175785633,43714.9537521645,44135.3204061375,44559.7293411577,44988.21942791309,45420.8299111262,45857.6004129925,46265.65734116019,46677.345302213,47092.6966063971,47511.7438513933,47934.519924864406,48348.21878016,48765.488063276105,49186.3585887025,49610.8614370958,50039.027957062804,50468.506506305304,50901.6712147889,51338.5537203379,51779.185932292196,52223.6000339276,52673.3983161835,53127.0706801958,53584.6504929824,54046.17140937821,54511.6673738178,54982.350145780896,55457.0970434553,55935.9431588499,56418.92388656361,56906.0749270959,57406.477823516696,57911.2810067179,58420.5231708768,58934.2433499474
Mumbai,India,IND.21.317.1249,13546.4627572575,14330.799409835101,15160.5489495506,16038.340770647199,16966.9565088687,17949.3388555331,18631.3886330323,19339.355348260302,20074.2238088119,20837.016243315502,21628.793723578998,22150.391286642902,22684.567638062203,23231.6261265086,23791.877415914598,24365.639662748,24719.4916753217,25078.482533156002,25442.6868651294,25812.1803846549,26187.0399043258,26409.941169384703,26634.739745959,26861.4517837592,27090.0935700367,27320.681530602404,27447.293830066003,27574.4928890594,27702.28142707,27830.6621758112,27959.637879731497,28043.294628353102,28127.2016823972,28211.359790951603,28295.769705142004,28380.4321783864,28454.4968821266,28528.7548733651,28603.2066562909,28677.8527370033,28752.6936222381,28835.014721879503,28917.571512850296,29000.364670119303,29083.394870311,29166.6627922146,29259.8095538712,29353.253789296698,29446.9964485415,29541.0384848399,29635.380853973198,29735.551384308998,29836.0605010168,29936.909348359903,30038.0990749311,30139.6308328896,30242.231416901202,30345.1812712766,30448.4815849795,30552.1335510492,30656.1383666,30760.246760822203,30864.7087077666,30969.525407986297,31074.6980662367,31180.227891348903,31287.60822666,31395.358364885098,31503.4795794229,31611.973148256602,31720.8403538271,31832.1949641517,31943.940479970897,32056.0782735089,32168.609721829303,32281.5362068353,32399.417963041098,32517.7301852984,32636.474445647797,32755.6523217331
São Paulo,Brazil,BRA.25.5212.R3fd4ed07b36dfd9c,18574.2509424305,18879.1716595077,19189.0980506326,19504.1122901979,19824.2979022788,20149.739781519398,20412.993887622,20679.6873792855,20949.8651917286,21223.5728472656,21500.8564626926,21769.8661195308,22042.2415117564,22318.024750034703,22597.2584721436,22879.9858488315,23185.8228752522,23495.7480286372,23809.8159549686,24128.0820307225,24450.602372676,24797.2277623447,25148.7671071008,25505.290069707797,25866.8673009309,26233.5704529088,26632.936862066603,27038.3830204173,27450.001482991298,27867.8862137207,28292.132606962,28724.5025953602,29163.480208969,29609.1664275752,30061.6637746065,30521.076339800296,30961.475791572597,31408.2299234958,31861.430429441898,32321.1703264764,32787.5439737065,33200.8904039872,33619.4478154798,34043.2819018768,34472.459185172,34907.047026231005,35289.2835582186,35675.7056279009,36066.3590676956,36461.290211535095,36860.5459008518,37242.6514380825,37628.717975728396,38018.7865746875,38412.8987212155,38811.0963317651,39193.6877847513,39580.0507420687,39970.2223825259,40364.240251070296,40762.1422632452,41141.6526547853,41524.6964262557,41911.3064747432,42301.516003490404,42695.3585252065,43073.9568879788,43455.9124476559,43841.2549736723,44230.0144999738,44622.2213265455,45013.0784689889,45407.3592265387,45805.093587293704,46206.3118022084,46611.0443875129,47034.579441854505,47461.9629819902,47893.229977543,48328.415715753494
Delhi,India,IND.10.121.371,13110.8731816601,13869.9893117216,14673.0580672043,15522.6242935973,16421.3801825833,17372.173802498703,18032.2921151421,18717.4940005371,19428.732599418,20166.9972704521,20933.314966667098,21438.1404420495,21955.1402320193,22484.6079309307,23026.844213432796,23582.1570052498,23924.630826365,24272.078251850802,24624.5715112628,24982.1838830322,25344.9897100033,25560.7235343114,25778.2936617445,25997.7157227965,26219.005480663,26442.178833150898,26564.7198854731,26687.8288300374,26811.508298585297,26935.7609353389,27060.589396236603,27141.5561431307,27222.7651470175,27304.2171325333,27385.9128267343,27467.852958968502,27539.536095478903,27611.406304171298,27683.4640733157,27755.7098922006,27828.144251897902,27907.8182979477,27987.7204567011,28067.8513812223,28148.2117266129,28228.8021496304,28318.9537560466,28409.3932709052,28500.1216138195,28591.139707077004,28682.4484760216,28779.3980001956,28876.6752234952,28974.2812533786,29072.217201506803,29170.484182724198,29269.785621730698,29369.4251001298,29469.403768934302,29569.722782595498,29670.3832997675,29771.144065085602,29872.2470144867,29973.693309935898,30075.4841176011,30177.620607215697,30281.548103564503,30385.833511660498,30490.4780641492,30595.482997752002,30700.8495536471,30808.6235312601,30916.7758447934,31025.3078221525,31134.2207963371,31243.5161046768,31357.6073462468,31472.1152122963,31587.041224052,31702.386908598997
Shanghai,China,CHN.25.262.1764,29920.2049600469,31353.5953639113,32855.6553525805,34429.6746868287,36079.100730857004,37807.5460017562,39014.5009988081,40259.9864089719,41545.2322636412,42871.5078617288,44240.123022433094,45275.8258072579,46335.7753659217,47420.5393382538,48530.6986528178,49666.8478384164,50547.8020315189,51444.3819451997,52356.864737176795,53285.5324809787,54230.6722535627,54974.870472623,55729.28119626691,56494.0445688992,57269.3026582033,58055.1994815036,58668.6162144607,59288.5143665839,59914.9624213516,60548.0295856054,61187.785797445096,61698.8467733588,62214.17630252361,62733.8100372998,63257.7839279255,63786.1342248089,64195.0353455991,64606.5577277682,65020.718174854905,65437.5335981384,65857.0210174021,66190.717124748,66526.1040630182,66863.1903996043,67201.9847455796,67542.4957550628,67830.27896221919,68119.28834822589,68409.5291374688,68701.0065766201,68993.7259347664,69272.9495851949,69553.3032782884,69834.7915871514,70117.4191039913,70401.1904390996,70680.6422846288,70961.2033916805,71242.8781634707,71525.67102053559,71809.58640098589,72086.4990629956,72364.47955758071,72643.5320026875,72923.6605319269,73204.8692948285,73478.4453607445,73753.043815753,74028.6684808141,74305.3231907692,74583.0117952327,74866.49771584441,75151.0611508857,75436.7061958887,75723.43696192281,76011.2575758489,76316.0024214053,76621.96905201991,76929.1623661832,77237.5872817433
Kolkata,India,IND.35.592.2293,9085.24424722004,9611.277514217321,10167.7679698735,10756.4790774337,11379.2764042368,12038.133533461201,12495.565774512199,12970.3798010538,13463.236096704799,13974.8202424481,14505.843870221699,14855.6651737695,15213.9227285834,15580.819982352199,15956.565289150902,16341.372027624198,16578.6909514645,16819.4563588629,17063.718301810903,17311.527558846497,17562.935646388898,17712.429464288,17863.195757273603,18015.2453569387,18168.5891863161,18323.2382617876,18408.153688497,18493.4626388157,18579.166936815,18665.2684143346,18751.7689121291,18807.8752187243,18864.1493985878,18920.591953743402,18977.2033881254,19033.9842069415,19083.6573899152,19133.4602056098,19183.3929921464,19233.4560887926,19283.6498357069,19338.8603588866,19394.2289538964,19449.7560733474,19505.442171124298,19561.2877022579,19623.758702738898,19686.4292106193,19749.299863426102,19812.3713002148,19875.6441620783,19942.8258131022,20010.2345448915,20077.8711247458,20145.7363230208,20213.830912492198,20282.6423344723,20351.6880025846,20420.968714311002,20490.4852696806,20560.2384716515,20630.0611410272,20700.120928590903,20770.4186394658,20840.955081704,20911.7310660322,20983.7481373609,21056.013225331,21128.5271840965,21201.2908708676,21274.3051455292,21348.9876550707,21423.932334202902,21499.1401033028,21574.611886059,21650.3486090889,21729.4086976783,21808.7574883715,21888.396035138798,21968.3253962802
Los Angeles,United States,USA.5.202,56333.0674400311,56973.2476163174,57620.702927425096,58275.516049261394,58937.770597722694,59607.551138374,60266.5011661496,60932.735759843395,61606.3354489617,62287.3816532057,62975.9566925317,63636.2771983134,64303.5213491791,64977.7617414595,65659.0717326721,66347.5254495437,67042.1388632406,67744.0244063649,68453.2582133575,69169.9172152495,69894.0791489594,70629.3988535213,71372.45447906309,72123.327411028,72882.0998915601,73648.8550275277,74412.58048079991,75184.2256304574,75963.87260224401,76751.60437363769,77547.504782638,78349.9785247416,79160.756390935,79979.9243137858,80807.5691146558,81643.77851376099,82487.8172036784,83340.5816205054,84202.1619714,85072.6493958682,85952.1359759527,86846.3129215634,87749.7921655329,88662.6704814466,89585.0456496118,90517.0164678833,91471.32793911711,92435.70061660721,93410.2405748814,94395.0550063682,95390.2522337509,96400.6645776991,97421.7796200152,98453.71072820081,99496.57247018289,100550.480627941,101613.386600293,102687.528412678,103773.02483744301,104869.99590288401,105978.562905986,107090.71029155099,108214.52863934,109350.14042549301,110497.669411141,111657.240656282,112822.59143711,114000.104818633,115189.90774032,116392.12846623301,117606.89659942,118830.969376291,120067.78251287,121317.46861288599,122580.161660444,123855.99703415901,125142.63984726,126442.648583427,127756.162090105,129083.320659809
Dhaka,Bangladesh,BGD.3.9.18.132,3695.7383107419105,3728.50063480885,3761.5533933698603,3794.8991610997296,3828.54053548209,3862.4801370386404,3881.5884661535706,3900.7913273332792,3920.0891882547203,3939.48251888719,3958.9717915432793,3975.1608264452293,3991.4160615719607,4007.73776764961,4024.1262164740997,4040.58168096206,4059.9375755845795,4079.38619217118,4098.92797488951,4118.56337004675,4138.29282606416,4157.17210737629,4176.13751774848,4195.1894501017,4214.32829916534,4233.5544614644505,4251.2245629257895,4268.96841623902,4286.78632922811,4304.67861100329,4322.645571986521,4341.83025725033,4361.10008762254,4380.45544099652,4399.89669694668,4419.424236715789,4441.8198963861,4464.329047217379,4486.95226432122,4509.69012573834,4532.5432124513,4557.469649299871,4582.53316753193,4607.7345210112,4633.07446774036,4658.55376992471,4685.2670837428905,4712.1335784018,4739.15413226504,4766.32962873939,4793.66095632574,4823.78955155089,4854.10750773903,4884.616015038429,4915.31627108566,4946.209481031121,4977.64444141043,5009.27918238589,5041.11497366292,5073.153092970139,5105.39482617404,5136.87980365024,5168.558949026071,5200.433459747071,5232.50454061978,5264.773403900879,5296.25017453357,5327.9151369559795,5359.76941630286,5391.814144471379,5424.05046009566,5456.552238699721,5489.24877316488,5522.14123049943,5555.230784703311,5588.518616819069,5623.391589121421,5658.4821726192395,5693.79172522236,5729.32161332228
