city,country,Region_ID,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031,year_2032,year_2033,year_2034,year_2035,year_2036,year_2037,year_2038,year_2039,year_2040,year_2041,year_2042,year_2043,year_2044,year_2045,year_2046,year_2047,year_2048,year_2049,year_2050,year_2051,year_2052,year_2053,year_2054,year_2055,year_2056,year_2057,year_2058,year_2059,year_2060,year_2061,year_2062,year_2063,year_2064,year_2065,year_2066,year_2067,year_2068,year_2069,year_2070,year_2071,year_2072,year_2073,year_2074,year_2075,year_2076,year_2077,year_2078,year_2079,year_2080,year_2081,year_2082,year_2083,year_2084,year_2085,year_2086,year_2087,year_2088,year_2089,year_2090,year_2091,year_2092,year_2093,year_2094,year_2095,year_2096,year_2097,year_2098,year_2099
Tokyo,Japan,JPN.41.R5148cbf71a2651b4,630230.972881,630230.972881,630230.972881,630230.972881,630230.972881,612477.221621,612477.221621,612477.221621,612477.221621,612477.221621,590659.038042,590659.038042,590659.038042,590659.038042,590659.038042,566718.43431,566718.43431,566718.43431,566718.43431,566718.43431,541399.3719970001,541399.3719970001,541399.3719970001,541399.3719970001,541399.3719970001,515249.69648900005,515249.69648900005,515249.69648900005,515249.69648900005,515249.69648900005,488498.08047600003,488498.08047600003,488498.08047600003,488498.08047600003,488498.08047600003,461537.38268900005,461537.38268900005,461537.38268900005,461537.38268900005,461537.38268900005,433812.30644899997,433812.30644899997,433812.30644899997,433812.30644899997,433812.30644899997,405488.215287,405488.215287,405488.215287,405488.215287,405488.215287,377439.829379,377439.829379,377439.829379,377439.829379,377439.829379,350427.882719,350427.882719,350427.882719,350427.882719,350427.882719,325129.806662,325129.806662,325129.806662,325129.806662,325129.806662,301328.931984,301328.931984,301328.931984,301328.931984,301328.931984,278853.219278,278853.219278,278853.219278,278853.219278,278853.219278,257437.44963699998,257437.44963699998,257437.44963699998,257437.44963699998,257437.44963699998
New York,United States,USA.33.1854,2376812.61168,2376812.61168,2376812.61168,2376812.61168,2376812.61168,2417740.46727,2417740.46727,2417740.46727,2417740.46727,2417740.46727,2438705.31035,2438705.31035,2438705.31035,2438705.31035,2438705.31035,2451278.65487,2451278.65487,2451278.65487,2451278.65487,2451278.65487,2449992.46866,2449992.46866,2449992.46866,2449992.46866,2449992.46866,2439504.11378,2439504.11378,2439504.11378,2439504.11378,2439504.11378,2416103.8333900003,2416103.8333900003,2416103.8333900003,2416103.8333900003,2416103.8333900003,2389926.6639099997,2389926.6639099997,2389926.6639099997,2389926.6639099997,2389926.6639099997,2357395.69559,2357395.69559,2357395.69559,2357395.69559,2357395.69559,2322811.4353099996,2322811.4353099996,2322811.4353099996,2322811.4353099996,2322811.4353099996,2279442.66304,2279442.66304,2279442.66304,2279442.66304,2279442.66304,2231543.08424,2231543.08424,2231543.08424,2231543.08424,2231543.08424,2173088.22474,2173088.22474,2173088.22474,2173088.22474,2173088.22474,2110608.3687,2110608.3687,2110608.3687,2110608.3687,2110608.3687,2040795.0777599998,2040795.0777599998,2040795.0777599998,2040795.0777599998,2040795.0777599998,1969909.62668,1969909.62668,1969909.62668,1969909.62668,1969909.62668
Mexico City,Mexico,MEX.9.250,732738.3414899999,732738.3414899999,732738.3414899999,732738.3414899999,732738.3414899999,780409.3172810001,780409.3172810001,780409.3172810001,780409.3172810001,780409.3172810001,827853.9207060001,827853.9207060001,827853.9207060001,827853.9207060001,827853.9207060001,872490.7391440001,872490.7391440001,872490.7391440001,872490.7391440001,872490.7391440001,915118.258686,915118.258686,915118.258686,915118.258686,915118.258686,956456.104434,956456.104434,956456.104434,956456.104434,956456.104434,996469.4845309999,996469.4845309999,996469.4845309999,996469.4845309999,996469.4845309999,1034310.04008,1034310.04008,1034310.04008,1034310.04008,1034310.04008,1070028.80312,1070028.80312,1070028.80312,1070028.80312,1070028.80312,1105101.64589,1105101.64589,1105101.64589,1105101.64589,1105101.64589,1140183.08716,1140183.08716,1140183.08716,1140183.08716,1140183.08716,1175375.31464,1175375.31464,1175375.31464,1175375.31464,1175375.31464,1210344.6241799998,1210344.6241799998,1210344.6241799998,1210344.6241799998,1210344.6241799998,1245076.40322,1245076.40322,1245076.40322,1245076.40322,1245076.40322,1279939.44553,1279939.44553,1279939.44553,1279939.44553,1279939.44553,1315522.588,1315522.588,1315522.588,1315522.588,1315522.588
Mumbai,India,IND.21.317.1249,4799495.08297,4799495.08297,4799495.08297,4799495.08297,4799495.08297,5126171.3802,5126171.3802,5126171.3802,5126171.3802,5126171.3802,5450780.96462,5450780.96462,5450780.96462,5450780.96462,5450780.96462,5764556.728209999,5764556.728209999,5764556.728209999,5764556.728209999,5764556.728209999,6076825.704,6076825.704,6076825.704,6076825.704,6076825.704,6390346.45713,6390346.45713,6390346.45713,6390346.45713,6390346.45713,6697621.80948,6697621.80948,6697621.80948,6697621.80948,6697621.80948,6983386.788639999,6983386.788639999,6983386.788639999,6983386.788639999,6983386.788639999,7244512.304610001,7244512.304610001,7244512.304610001,7244512.304610001,7244512.304610001,7484582.43123,7484582.43123,7484582.43123,7484582.43123,7484582.43123,7709774.20594,7709774.20594,7709774.20594,7709774.20594,7709774.20594,7925778.8648,7925778.8648,7925778.8648,7925778.8648,7925778.8648,8132195.28274,8132195.28274,8132195.28274,8132195.28274,8132195.28274,8327282.6614,8327282.6614,8327282.6614,8327282.6614,8327282.6614,8514100.29424,8514100.29424,8514100.29424,8514100.29424,8514100.29424,8694164.37438,8694164.37438,8694164.37438,8694164.37438,8694164.37438
São Paulo,Brazil,BRA.25.5212.R3fd4ed07b36dfd9c,1058618.08883,1058618.08883,1058618.08883,1058618.08883,1058618.08883,1103138.98984,1103138.98984,1103138.98984,1103138.98984,1103138.98984,1144004.36772,1144004.36772,1144004.36772,1144004.36772,1144004.36772,1179058.8160899999,1179058.8160899999,1179058.8160899999,1179058.8160899999,1179058.8160899999,1209542.20047,1209542.20047,1209542.20047,1209542.20047,1209542.20047,1236382.6373299998,1236382.6373299998,1236382.6373299998,1236382.6373299998,1236382.6373299998,1259183.88228,1259183.88228,1259183.88228,1259183.88228,1259183.88228,1277026.90151,1277026.90151,1277026.90151,1277026.90151,1277026.90151,1290476.5448,1290476.5448,1290476.5448,1290476.5448,1290476.5448,1300742.06782,1300742.06782,1300742.06782,1300742.06782,1300742.06782,1309205.43049,1309205.43049,1309205.43049,1309205.43049,1309205.43049,1316710.9735299998,1316710.9735299998,1316710.9735299998,1316710.9735299998,1316710.9735299998,1324469.67877,1324469.67877,1324469.67877,1324469.67877,1324469.67877,1333296.44359,1333296.44359,1333296.44359,1333296.44359,1333296.44359,1343762.115,1343762.115,1343762.115,1343762.115,1343762.115,1356504.9405,1356504.9405,1356504.9405,1356504.9405,1356504.9405
Delhi,India,IND.10.121.371,18462930.126,18462930.126,18462930.126,18462930.126,18462930.126,19719604.3272,19719604.3272,19719604.3272,19719604.3272,19719604.3272,20968328.1975,20968328.1975,20968328.1975,20968328.1975,20968328.1975,22175376.0011,22175376.0011,22175376.0011,22175376.0011,22175376.0011,23376627.4205,23376627.4205,23376627.4205,23376627.4205,23376627.4205,24582694.2375,24582694.2375,24582694.2375,24582694.2375,24582694.2375,25764735.9444,25764735.9444,25764735.9444,25764735.9444,25764735.9444,26864030.5059,26864030.5059,26864030.5059,26864030.5059,26864030.5059,27868540.7871,27868540.7871,27868540.7871,27868540.7871,27868540.7871,28792054.1768,28792054.1768,28792054.1768,28792054.1768,28792054.1768,29658332.8019,29658332.8019,29658332.8019,29658332.8019,29658332.8019,30489269.9848,30489269.9848,30489269.9848,30489269.9848,30489269.9848,31283322.6581,31283322.6581,31283322.6581,31283322.6581,31283322.6581,32033794.2344,32033794.2344,32033794.2344,32033794.2344,32033794.2344,32752453.3521,32752453.3521,32752453.3521,32752453.3521,32752453.3521,33445132.5761,33445132.5761,33445132.5761,33445132.5761,33445132.5761
Shanghai,China,CHN.25.262.1764,7608091.723660001,7608091.723660001,7608091.723660001,7608091.723660001,7608091.723660001,7671434.76333,7671434.76333,7671434.76333,7671434.76333,7671434.76333,7680508.04797,7680508.04797,7680508.04797,7680508.04797,7680508.04797,7625405.668430001,7625405.668430001,7625405.668430001,7625405.668430001,7625405.668430001,7513963.54213,7513963.54213,7513963.54213,7513963.54213,7513963.54213,7360789.79813,7360789.79813,7360789.79813,7360789.79813,7360789.79813,7178603.08685,7178603.08685,7178603.08685,7178603.08685,7178603.08685,6974090.456180001,6974090.456180001,6974090.456180001,6974090.456180001,6974090.456180001,6760607.7859,6760607.7859,6760607.7859,6760607.7859,6760607.7859,6551767.48329,6551767.48329,6551767.48329,6551767.48329,6551767.48329,6354973.16226,6354973.16226,6354973.16226,6354973.16226,6354973.16226,6171194.48875,6171194.48875,6171194.48875,6171194.48875,6171194.48875,6006745.80009,6006745.80009,6006745.80009,6006745.80009,6006745.80009,5870115.4050199995,5870115.4050199995,5870115.4050199995,5870115.4050199995,5870115.4050199995,5766459.58065,5766459.58065,5766459.58065,5766459.58065,5766459.58065,5693090.743969999,5693090.743969999,5693090.743969999,5693090.743969999,5693090.743969999
Kolkata,India,IND.35.592.2293,6918684.13898,6918684.13898,6918684.13898,6918684.13898,6918684.13898,7389602.449580001,7389602.449580001,7389602.449580001,7389602.449580001,7389602.449580001,7857541.502389999,7857541.502389999,7857541.502389999,7857541.502389999,7857541.502389999,8309863.123980001,8309863.123980001,8309863.123980001,8309863.123980001,8309863.123980001,8760012.644410001,8760012.644410001,8760012.644410001,8760012.644410001,8760012.644410001,9211966.65716,9211966.65716,9211966.65716,9211966.65716,9211966.65716,9654917.64886,9654917.64886,9654917.64886,9654917.64886,9654917.64886,10066860.4875,10066860.4875,10066860.4875,10066860.4875,10066860.4875,10443284.4518,10443284.4518,10443284.4518,10443284.4518,10443284.4518,10789356.1424,10789356.1424,10789356.1424,10789356.1424,10789356.1424,11113980.0316,11113980.0316,11113980.0316,11113980.0316,11113980.0316,11425360.2875,11425360.2875,11425360.2875,11425360.2875,11425360.2875,11722918.6706,11722918.6706,11722918.6706,11722918.6706,11722918.6706,12004145.7433,12004145.7433,12004145.7433,12004145.7433,12004145.7433,12273451.6121,12273451.6121,12273451.6121,12273451.6121,12273451.6121,12533021.9364,12533021.9364,12533021.9364,12533021.9364,12533021.9364
Los Angeles,United States,USA.5.202,10462560.7711,10462560.7711,10462560.7711,10462560.7711,10462560.7711,10642722.2925,10642722.2925,10642722.2925,10642722.2925,10642722.2925,10735008.0469,10735008.0469,10735008.0469,10735008.0469,10735008.0469,10790355.0189,10790355.0189,10790355.0189,10790355.0189,10790355.0189,10784693.3183,10784693.3183,10784693.3183,10784693.3183,10784693.3183,10738524.322999999,10738524.322999999,10738524.322999999,10738524.322999999,10738524.322999999,10635517.9461,10635517.9461,10635517.9461,10635517.9461,10635517.9461,10520287.9001,10520287.9001,10520287.9001,10520287.9001,10520287.9001,10377088.8817,10377088.8817,10377088.8817,10377088.8817,10377088.8817,10224851.4175,10224851.4175,10224851.4175,10224851.4175,10224851.4175,10033945.1537,10033945.1537,10033945.1537,10033945.1537,10033945.1537,9823094.60049,9823094.60049,9823094.60049,9823094.60049,9823094.60049,9565780.44923,9565780.44923,9565780.44923,9565780.44923,9565780.44923,9290748.54828,9290748.54828,9290748.54828,9290748.54828,9290748.54828,8983435.38632,8983435.38632,8983435.38632,8983435.38632,8983435.38632,8671402.651360001,8671402.651360001,8671402.651360001,8671402.651360001,8671402.651360001
Dhaka,Bangladesh,BGD.3.9.18.132,8807376.18248,8807376.18248,8807376.18248,8807376.18248,8807376.18248,9377020.84984,9377020.84984,9377020.84984,9377020.84984,9377020.84984,9915522.62994,9915522.62994,9915522.62994,9915522.62994,9915522.62994,10393168.6625,10393168.6625,10393168.6625,10393168.6625,10393168.6625,10819714.6023,10819714.6023,10819714.6023,10819714.6023,10819714.6023,11207224.0807,11207224.0807,11207224.0807,11207224.0807,11207224.0807,11549823.2927,11549823.2927,11549823.2927,11549823.2927,11549823.2927,11839046.6103,11839046.6103,11839046.6103,11839046.6103,11839046.6103,12069754.6099,12069754.6099,12069754.6099,12069754.6099,12069754.6099,12260414.6586,12260414.6586,12260414.6586,12260414.6586,12260414.6586,12435619.9738,12435619.9738,12435619.9738,12435619.9738,12435619.9738,12602409.3863,12602409.3863,12602409.3863,12602409.3863,12602409.3863,12773347.017,12773347.017,12773347.017,12773347.017,12773347.017,12955917.9543,12955917.9543,12955917.9543,12955917.9543,12955917.9543,13156540.6269,13156540.6269,13156540.6269,13156540.6269,13156540.6269,13380332.7981,13380332.7981,13380332.7981,13380332.7981,13380332.7981
