hierid,ISO,diff,d_h,d_l,gdp,pop,gdppc,wage,diff_dis,h_dis,l_dis,diff_dis_p,h_dis_p,l_dis_p,pop_w,diff_dis_p_pw
ABW,ABW,-521.564961240459,-548.086200152396,-26.521238911937,192741020,107244,1797.2196,0.011981464,12.4982236135279,13.1337501520454,0.635526538517544,0.695419948320611,0.730781600203194,0.0353616518825826,1.54894609396598e-05,1.07716801261724e-05
AFG.1.12,AFG,-5904.38649025785,-6369.18400249947,-464.797512241629,24899318,17932.482,1388.5037,0.00925669133333333,109.31016650604,117.915140712684,8.60497420664395,7.87251532034379,8.49224533666596,0.619730016322171,2.59002349306398e-06,2.03899996291965e-05
AFG.1.R8abddb145b8788ee,AFG,-3777.15129442706,-4088.59373904825,-311.442444621189,543406800,391355.56,1388.5245,0.00925683,69.9288948335824,75.694834362868,5.76593952928553,5.03620172590274,5.451458318731,0.415256592828252,5.65242499360216e-05,0.00028466752508315
AFG.1.R91a8634efe8e02a7,AFG,-4608.53692162034,-4969.17723957612,-360.640317955782,175789140,126602.09,1388.5168,0.00925677866666667,85.3204125212016,91.9971477243875,6.67673520318594,6.14471589549378,6.62556965276816,0.480853757274376,1.82853877879816e-05,0.000112358512996078
AFG.1.Ra6a2bba0a271cb4a,AFG,-3323.14658373221,-3596.81440631693,-273.667822584714,653380400,470324.78,1389.211,0.00926140666666667,61.5540238497762,66.6231218428526,5.06909799307643,4.43086211164295,4.7957525417559,0.364890430112951,6.79299290287952e-05,0.000300988148780283
AFG.1.Rcf29900a4c191e96,AFG,-5740.51203632278,-6191.94371151954,-451.431675196757,21986844,15834.921,1388.5035,0.00925669,106.276280723017,114.633806869972,8.35752614695413,7.65401604843037,8.25592494869272,0.601908900262342,2.28706865010723e-06,1.75052601517827e-05
AFG.1.Rd0d6327d56611fba,AFG,-4997.66384945275,-5388.57252905953,-390.908679606781,81688880,58811.062,1389.0054,0.009260036,92.5570943236621,99.7967512154046,7.23965689174251,6.66355179927033,7.18476337207937,0.521211572809041,8.49419685641074e-06,5.66015207458922e-05
AFG.10.103,AFG,-4250.66729151388,-5170.89719706301,-920.229905549126,138163890,98998.25,1395.6195,0.00930413,79.0975221339861,96.2213994762197,17.1238773422336,5.66755638868517,6.89452959608401,1.22697320739884,1.42985111192205e-05,8.1037618042424e-05
AFG.10.106,AFG,-4296.85155819021,-5233.68660350499,-936.835045314784,197453700,141872.72,1391.7665,0.00927844333333333,79.7361873888257,97.1209291500937,17.384741761268,5.72913541092027,6.97824880467332,1.24911339375305,2.04909547838881e-05,0.00011739545465594
AFG.10.109,AFG,-3333.53686633057,-3968.89273845263,-635.355872122054,27817502,19818.56,1403.6086,0.00935739066666667,62.3864135199819,74.2769597355954,11.8905462156135,4.4447158217741,5.2918569846035,0.847141162829406,2.86243343217621e-06,1.27227031647687e-05
AFG.10.98,AFG,-4793.38204883538,-5893.58591551303,-1100.20386667764,20193902,14543.644,1388.5037,0.00925669133333333,88.7417161376201,109.11021133277,20.3684951951495,6.39117606511384,7.85811455401737,1.46693848890353,2.10056698424451e-06,1.34250934328719e-05
AFG.10.R01090b16282376f5,AFG,-4661.59912290477,-5712.61841200037,-1051.0192890956,205838020,148115.58,1389.7122,0.009264748,86.3770823014675,105.851940014687,19.4748577132197,6.21546549720636,7.61682454933383,1.40135905212746,2.13926232792983e-05,0.000132965111887212
AFG.10.R4231d3df78d3772c,AFG,-2926.0784101981,-3382.37501927558,-456.296609077479,428425500,308042.78,1390.7987,0.00927199133333333,54.2611473200211,62.7227037296127,8.46155640959155,3.90143788026413,4.50983335903411,0.608395478769972,4.44912219663033e-05,0.000173579738718575
AFG.10.R7fc4ac9564655b4c,AFG,-3906.14308051508,-4720.87935936577,-814.736278850686,459122140,326840.53,1404.7283,0.00936485533333333,73.1609297206496,88.4207044931596,15.25977477251,5.20819077402011,6.29450581248769,1.08631503846758,4.72062178110917e-05,0.000245858988080112
AFG.11.116,AFG,-2811.62112134702,-3247.54538324419,-435.924261897166,690015040,321610.34,2145.5002,0.0143033346666667,80.4311157089902,92.9014569234598,12.4703412144696,3.74882816179603,4.33006051099225,0.581232349196221,4.64508112269285e-05,0.000174136109265781
AFG.11.117,AFG,-2792.42111065675,-3218.38033067685,-425.959220020099,1183569500,810251.94,1460.7427,0.00973828466666667,54.3867833695698,62.6830076514639,8.29622428189404,3.72322814754233,4.2911737742358,0.567945626693465,0.00011702627443879,0.000435715518992517
AFG.11.124,AFG,-2942.15805710919,-3435.38296247438,-493.224905365188,317611230,228192.05,1391.8594,0.00927906266666667,54.6009379743089,63.7542675855975,9.15332961128862,3.92287740947892,4.58051061663251,0.657633207153583,3.2958224657938e-05,0.000129291074967156
AFG.11.R888b226f710b3709,AFG,-2711.48055750335,-3107.59157164181,-396.111014138454,582080830,418244.66,1391.7233,0.00927815533333333,50.3150755916588,57.6654346285003,7.35035903684155,3.61530741000447,4.14345542885575,0.528148018851272,6.04078953068825e-05,0.000218393111525747
AFG.11.R8c077254fc886fac,AFG,-2901.46976586414,-3134.34075302569,-232.870987161555,81731040,58837.496,1389.0979,0.00926065266666667,53.7390074490048,58.0520821054987,4.31307465649391,3.86862635448551,4.17912100403425,0.31049464954874,8.49801477079736e-06,3.28756439031138e-05
AFG.11.R95ece0d29da8aba1,AFG,-2617.59836980727,-2924.10655298687,-306.5081831796,859642100,616673.25,1393.9994,0.00929332933333333,48.6524074260308,54.3493704053302,5.69696297929936,3.49013115974302,3.89880873731582,0.4086775775728,8.90673251502004e-05,0.000310856646821678
AFG.12.Rc50339f5954ae669,AFG,-3175.47603366482,-3684.87384847667,-509.397814811855,784882400,564082.7,1391.4315,0.00927621,58.9127650764839,68.3633272839556,9.45056220747175,4.23396804488643,4.91316513130223,0.679197086415806,8.14715690237949e-05,0.000344948019813506
AFG.12.Rd2a3753cae07169e,AFG,-3085.80979157475,-3595.53829251216,-509.728500937407,102514560,73809.195,1388.9131,0.00925942066666667,57.1456219150192,66.5852031469569,9.4395812319377,4.114413055433,4.79405105668288,0.679638001249876,1.06604065769669e-05,4.38613159964964e-05
AFG.13.140,AFG,-3151.15806866341,-3392.90331988704,-241.745251223632,7502228000,3472861.2,2160.2441,0.0144016273333333,90.7636083466337,97.7266583820853,6.96305003545159,4.20154409155121,4.52387109318272,0.32232700163151,0.000501592144141026,0.00210746150958423
AFG.13.R0d3e2743dd7da761,AFG,-3627.48274015407,-3907.49686761414,-280.014127460066,614255800,418205,1468.7911,0.00979194066666667,71.0401915218922,76.523954965727,5.4837634438348,4.83664365353876,5.20999582348552,0.373352169946755,6.0402167135415e-05,0.000292143758335493
AFG.13.R2fd01f61b0993bc3,AFG,-3209.48274953695,-3455.82302160841,-246.340272071461,921211260,576554.2,1597.7878,0.0106519186666667,68.3742984202747,73.6222915051341,5.24799308485948,4.27931033271594,4.60776402881122,0.328453696095282,8.32728521921677e-05,0.00035635037682067
AFG.13.Rc172c1175351df3c,AFG,-3050.07266470268,-3288.13339844029,-238.060733737613,104476856,74727.32,1398.1079,0.00932071933333333,56.8577425079316,61.295537074843,4.43779456691137,4.06676355293691,4.38417786458706,0.31741431165015,1.0793013168713e-05,4.38926325808903e-05
AFG.14.149,AFG,-3038.24398511117,-3599.80251555198,-561.558530440803,71132390,50049.695,1421.2352,0.00947490133333333,57.5741239710437,68.2155473086802,10.6414233376365,4.05099198014823,4.79973668740263,0.748744707254404,7.22877546291064e-06,2.92837114265433e-05
AFG.14.153,AFG,-3127.99452233499,-3720.34261238719,-592.348090052203,1029922400,645084.4,1596.5701,0.0106438006666667,66.5875003643176,79.1971703559103,12.6096699915927,4.17065936311331,4.96045681651625,0.789797453402936,9.31708031832448e-05,0.000388583682664988
AFG.14.158,AFG,-3898.31218837593,-4756.73987555653,-858.427687180598,13616547,9806.589,1388.51,0.00925673333333333,72.1712727557581,88.0637451281199,15.8924723723618,5.19774958450124,6.34231983407537,1.14457024957413,1.41638485385474e-06,7.36201378561732e-06
AFG.14.160,AFG,-3364.07747748265,-4072.06637779836,-707.988900315712,21062138,15168.947,1388.5037,0.00925669133333333,62.2804536609509,75.3877230962482,13.1072694352973,4.48543663664353,5.42942183706448,0.94398520042095,2.19088072108715e-06,9.82705665288029e-06
AFG.14.161,AFG,-2747.19414799041,-3239.95615506649,-492.762007076083,338839780,242961.4,1394.6239,0.00929749266666667,51.0840348897008,60.2469371841044,9.16290229440366,3.66292553065388,4.31994154008865,0.657016009434777,3.50913908017705e-05,0.000128537151273958
AFG.14.R125e4bb8260ea315,AFG,-3044.01907919211,-3601.73940191287,-557.720322720759,1651086300,1180608.5,1398.5045,0.00932336333333333,56.7609917378136,67.1606501520328,10.3996584142191,4.05869210558948,4.80231920255049,0.743627096961012,0.000170517597681739,0.000692078427574956
AFG.15.167,AFG,-2950.29380605734,-3178.15279723489,-227.858991177553,137175660,98771.51,1388.8181,0.00925878733333333,54.6322858422709,58.8516817248726,4.21939588260168,3.93372507474312,4.23753706297985,0.303811988236737,1.42657626169876e-05,5.61175881167772e-05
AFG.15.R49ce84ced4420d4c,AFG,-3223.73060808897,-3470.77128328123,-247.040675192267,314842560,221947.14,1418.5475,0.00945698333333333,60.9735332637078,65.6460523596051,4.67251909589736,4.29830747745195,4.62769504437498,0.329387566923023,3.20562600770133e-05,0.000137787662388171
AFG.15.R9f61a8d4b0fea672,AFG,-3761.84069279834,-4053.09363576816,-291.252942969821,255690080,184117.81,1388.7308,0.00925820533333333,69.6557871304319,75.0487462303363,5.39295909990445,5.01578759039778,5.40412484769088,0.388337257293095,2.6592495862619e-05,0.000133382310745429
AFG.16.R56f62a5b11d7a76e,AFG,-2144.20138479678,-2339.83064311207,-195.629258315284,556829250,400990.34,1388.635,0.00925756666666667,39.7001745330304,43.322276334639,3.6221018016086,2.85893517972905,3.11977419081609,0.260839011087046,5.79158200795468e-05,0.000165577575488274
AFG.16.R679857e5b8c74688,AFG,-1854.21711240767,-2044.73781232563,-190.52069991796,318575170,227395.92,1400.9713,0.00933980866666667,34.6360661126936,38.1949198812399,3.55885376854632,2.47228948321023,2.72631708310084,0.254027599890613,3.28432380429489e-05,8.11979920081526e-05
AFG.17,AFG,-2418.51803449815,-2642.91302908146,-224.394994583315,728247200,524374.4,1388.7925,0.00925861666666667,44.7842627656769,48.9394372392082,4.15517447353132,3.22469071266419,3.52388403877528,0.299193326111087,7.57364214926482e-05,0.000244226534997764
AFG.18.197,AFG,-3079.29814685553,-3591.34736744058,-512.049220585052,527857150,357620.72,1476.0251,0.00984016733333333,60.6016180685633,70.6789180954829,10.0773000269196,4.10573086247404,4.78846315658744,0.682732294113402,5.16518609307097e-05,0.000212068639527432
AFG.18.R02a221614471fb78,AFG,-2853.55866840681,-3287.76608487098,-434.207416464171,771061900,554373.7,1390.8702,0.009272468,52.9190628778495,60.9714116269029,8.05234874905339,3.80474489120908,4.3836881131613,0.578943221952227,8.00692791403221e-05,0.000304643180751934
AFG.18.R3945a21254a36b53,AFG,-2992.51816697967,-3467.95979707385,-475.441630094184,316995650,227933.78,1390.7357,0.00927157133333333,55.4906913028958,64.3068732794048,8.81618197650901,3.99002422263956,4.62394639609847,0.633922173458912,3.29209222160589e-05,0.000131355277073708
AFG.19.201,AFG,-3985.99543895419,-4297.19744095797,-311.202002003782,56971820,41031.09,1388.5037,0.00925669133333333,73.7942588689469,79.5556606186757,5.76140174972878,5.31466058527226,5.72959658794396,0.414936002671709,5.9262006813124e-06,3.14957451813846e-05
AFG.19.Rb70c80870c4e3972,AFG,-2119.74468195537,-2372.4337492663,-252.689067310922,371985060,266659.9,1394.9794,0.00929986266666667,39.426668861164,44.1266161078833,4.69994724671933,2.82632624260716,3.16324499902173,0.336918756414562,3.85142115663683e-05,0.000108853726863351
AFG.19.Rcd8a19e4e02eef13,AFG,-2474.21562128077,-2697.69844587569,-223.482824594917,276141440,198877,1388.5037,0.00925669133333333,45.8061005966153,49.9435236477686,4.13742305115324,3.2989541617077,3.59693126116759,0.297977099459889,2.87241945777548e-05,9.47598012439857e-05
AFG.2.16,AFG,-2826.43446933202,-3068.72368216792,-242.289212835899,159437810,114827.07,1388.5037,0.00925669133333333,52.3268629130007,56.8124558262371,4.48559291323645,3.7685792924427,4.09163157622389,0.323052283781199,1.65846985899499e-05,6.25007516774887e-05
