"","city","diff_dis_p","h_dis_p","l_dis_p"
"2033","Dhaka",0.591799590693745,0.721206110676428,0.129406519982683
"4177","Sao Paulo",1.48471552537968,1.58417217243782,0.0994566470581374
"6868","Beijing",4.07736444108472,4.43654315029719,0.359178709212471
"8005","Guangzhou",1.50051559977867,1.66111898545806,0.160603385679391
"9276","Berlin",5.35804038095512,5.76221831662496,0.404177935669841
"10171","France",4.64571000744539,4.99325026465671,0.347540257211318
"11193","Delhi",3.35453684063678,4.06014906224999,0.705612221613209
"13777","Baghdad",8.27382399377324,9.95151771843939,1.67769372466615
"16543","Lagos",0.87271511521673,1.10212641198201,0.229411296765278
"16866","Oslo",6.7362157959392,7.24846626743159,0.512250471492384
"20858","Chicago",4.80095520230923,5.16600233300494,0.365047130695711
"21505","Boston",4.64814398532015,5.00046164448037,0.35231765916022
"22046","Pheonix (Maricopa County)",4.44882879781037,5.299240377812,0.850411580001633
"23457","San Fransicso",3.19449070228823,3.42572215951421,0.231231457225979
