,discrate,year,ce_damages,pulse,rcp,variable
0,1.0,2015.0,0.0,pulse,rcp45,ce_df_coeffs_SSP3
1,1.0,2016.0,0.0,pulse,rcp45,ce_df_coeffs_SSP3
2,1.0,2017.0,0.0,pulse,rcp45,ce_df_coeffs_SSP3
3,1.0,2018.0,0.0,pulse,rcp45,ce_df_coeffs_SSP3
4,1.0,2019.0,0.0,pulse,rcp45,ce_df_coeffs_SSP3
5,1.0,2020.0,-0.005497679482869611,pulse,rcp45,ce_df_coeffs_SSP3
6,1.0,2021.0,-0.020465216427712818,pulse,rcp45,ce_df_coeffs_SSP3
7,1.0,2022.0,-0.02701501184501698,pulse,rcp45,ce_df_coeffs_SSP3
8,1.0,2023.0,-0.02943652294496868,pulse,rcp45,ce_df_coeffs_SSP3
9,1.0,2024.0,-0.024050180771508778,pulse,rcp45,ce_df_coeffs_SSP3
10,1.0,2025.0,-0.022314874490918513,pulse,rcp45,ce_df_coeffs_SSP3
11,1.0,2026.0,-0.019598571044999957,pulse,rcp45,ce_df_coeffs_SSP3
12,1.0,2027.0,-0.006300995248148311,pulse,rcp45,ce_df_coeffs_SSP3
13,1.0,2028.0,-0.0023986755698448547,pulse,rcp45,ce_df_coeffs_SSP3
14,1.0,2029.0,-0.01582862834488985,pulse,rcp45,ce_df_coeffs_SSP3
15,1.0,2030.0,-0.026023093912888484,pulse,rcp45,ce_df_coeffs_SSP3
16,1.0,2031.0,-0.00011151110043705614,pulse,rcp45,ce_df_coeffs_SSP3
17,1.0,2032.0,0.017092094178483563,pulse,rcp45,ce_df_coeffs_SSP3
18,1.0,2033.0,0.012578743907436518,pulse,rcp45,ce_df_coeffs_SSP3
19,1.0,2034.0,0.025991823501907874,pulse,rcp45,ce_df_coeffs_SSP3
20,1.0,2035.0,0.042217548150269124,pulse,rcp45,ce_df_coeffs_SSP3
21,1.0,2036.0,0.035105885145515714,pulse,rcp45,ce_df_coeffs_SSP3
22,1.0,2037.0,0.0348132873483209,pulse,rcp45,ce_df_coeffs_SSP3
23,1.0,2038.0,0.044120127323438396,pulse,rcp45,ce_df_coeffs_SSP3
24,1.0,2039.0,0.04317895944799233,pulse,rcp45,ce_df_coeffs_SSP3
25,1.0,2040.0,0.028142695714741706,pulse,rcp45,ce_df_coeffs_SSP3
26,1.0,2041.0,0.02460530612767542,pulse,rcp45,ce_df_coeffs_SSP3
27,1.0,2042.0,0.02481835666572607,pulse,rcp45,ce_df_coeffs_SSP3
28,1.0,2043.0,0.019021597058120676,pulse,rcp45,ce_df_coeffs_SSP3
29,1.0,2044.0,0.025181255608295317,pulse,rcp45,ce_df_coeffs_SSP3
30,1.0,2045.0,0.0336212725804117,pulse,rcp45,ce_df_coeffs_SSP3
31,1.0,2046.0,0.029823749825062862,pulse,rcp45,ce_df_coeffs_SSP3
32,1.0,2047.0,0.034895825884888154,pulse,rcp45,ce_df_coeffs_SSP3
33,1.0,2048.0,0.03931548529492801,pulse,rcp45,ce_df_coeffs_SSP3
34,1.0,2049.0,0.04415665971443161,pulse,rcp45,ce_df_coeffs_SSP3
35,1.0,2050.0,0.0377531331120764,pulse,rcp45,ce_df_coeffs_SSP3
36,1.0,2051.0,0.039612122079525136,pulse,rcp45,ce_df_coeffs_SSP3
37,1.0,2052.0,0.0475458230911201,pulse,rcp45,ce_df_coeffs_SSP3
38,1.0,2053.0,0.041200303606899524,pulse,rcp45,ce_df_coeffs_SSP3
39,1.0,2054.0,0.0360875759548378,pulse,rcp45,ce_df_coeffs_SSP3
40,1.0,2055.0,0.04900425207389958,pulse,rcp45,ce_df_coeffs_SSP3
41,1.0,2056.0,0.04876135963369421,pulse,rcp45,ce_df_coeffs_SSP3
42,1.0,2057.0,0.04632437832944447,pulse,rcp45,ce_df_coeffs_SSP3
43,1.0,2058.0,0.05753017785056613,pulse,rcp45,ce_df_coeffs_SSP3
44,1.0,2059.0,0.05905299855247392,pulse,rcp45,ce_df_coeffs_SSP3
45,1.0,2060.0,0.056861525170020855,pulse,rcp45,ce_df_coeffs_SSP3
46,1.0,2061.0,0.058061511766098306,pulse,rcp45,ce_df_coeffs_SSP3
47,1.0,2062.0,0.05802317512191735,pulse,rcp45,ce_df_coeffs_SSP3
48,1.0,2063.0,0.048443059839542,pulse,rcp45,ce_df_coeffs_SSP3
49,1.0,2064.0,0.05025026757033402,pulse,rcp45,ce_df_coeffs_SSP3
50,1.0,2065.0,0.05072433834862977,pulse,rcp45,ce_df_coeffs_SSP3
51,1.0,2066.0,0.04564692426160377,pulse,rcp45,ce_df_coeffs_SSP3
52,1.0,2067.0,0.05196935982844764,pulse,rcp45,ce_df_coeffs_SSP3
53,1.0,2068.0,0.05929034683485668,pulse,rcp45,ce_df_coeffs_SSP3
54,1.0,2069.0,0.06235110961874568,pulse,rcp45,ce_df_coeffs_SSP3
55,1.0,2070.0,0.06223233693184227,pulse,rcp45,ce_df_coeffs_SSP3
56,1.0,2071.0,0.06647970910943002,pulse,rcp45,ce_df_coeffs_SSP3
57,1.0,2072.0,0.06907966495640494,pulse,rcp45,ce_df_coeffs_SSP3
58,1.0,2073.0,0.06789514362782256,pulse,rcp45,ce_df_coeffs_SSP3
59,1.0,2074.0,0.06893292562347142,pulse,rcp45,ce_df_coeffs_SSP3
60,1.0,2075.0,0.06976999469553391,pulse,rcp45,ce_df_coeffs_SSP3
61,1.0,2076.0,0.07007063207245778,pulse,rcp45,ce_df_coeffs_SSP3
62,1.0,2077.0,0.07218971850559797,pulse,rcp45,ce_df_coeffs_SSP3
63,1.0,2078.0,0.07448975706132899,pulse,rcp45,ce_df_coeffs_SSP3
64,1.0,2079.0,0.07520432285068068,pulse,rcp45,ce_df_coeffs_SSP3
65,1.0,2080.0,0.07262553747094103,pulse,rcp45,ce_df_coeffs_SSP3
66,1.0,2081.0,0.07477407287176163,pulse,rcp45,ce_df_coeffs_SSP3
67,1.0,2082.0,0.07442736801935723,pulse,rcp45,ce_df_coeffs_SSP3
68,1.0,2083.0,0.07384452609993275,pulse,rcp45,ce_df_coeffs_SSP3
69,1.0,2084.0,0.07370622239773184,pulse,rcp45,ce_df_coeffs_SSP3
70,1.0,2085.0,0.0753101749989753,pulse,rcp45,ce_df_coeffs_SSP3
71,1.0,2086.0,0.07276263007592831,pulse,rcp45,ce_df_coeffs_SSP3
72,1.0,2087.0,0.07056441463505791,pulse,rcp45,ce_df_coeffs_SSP3
73,1.0,2088.0,0.06855860432335703,pulse,rcp45,ce_df_coeffs_SSP3
74,1.0,2089.0,0.07034426428711527,pulse,rcp45,ce_df_coeffs_SSP3
75,1.0,2090.0,0.0710066513813814,pulse,rcp45,ce_df_coeffs_SSP3
76,1.0,2091.0,0.07279050250707542,pulse,rcp45,ce_df_coeffs_SSP3
77,1.0,2092.0,0.07538240496715787,pulse,rcp45,ce_df_coeffs_SSP3
78,1.0,2093.0,0.07532414548265365,pulse,rcp45,ce_df_coeffs_SSP3
79,1.0,2094.0,0.07401766636765217,pulse,rcp45,ce_df_coeffs_SSP3
80,1.0,2095.0,0.07531757194814759,pulse,rcp45,ce_df_coeffs_SSP3
81,1.0,2096.0,0.07691735533104804,pulse,rcp45,ce_df_coeffs_SSP3
