year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax
2015,"ss","value",.0152966,-.071975,.1316097,.0913345,.4047082
2016,"ss","value",.0116288,-.0102694,-.0187119,.1043945,.452688
2017,"ss","value",.0130862,-.0196582,-.0206956,.1150177,.4898569
2018,"ss","value",.0214214,-.0591474,.0201625,.1313385,.5439752
2019,"ss","value",.0077321,.0314172,-.1058284,.1356659,.5908411
2020,"ss","value",.0206981,-.0232317,-.0283357,.1499573,.6357951
2021,"ss","value",.0496598,-.1718348,.1885867,.1627564,.6857845
2022,"ss","value",.061341,-.1737279,.1633402,.185022,.7193935
2023,"ss","value",.0741063,-.2038818,.2020361,.2035401,.7588283
2024,"ss","value",.0787199,-.1901374,.193009,.2167926,.8046947
2025,"ss","value",.0889596,-.2265052,.2414535,.2303988,.8440318
2026,"ss","value",.0836645,-.175924,.1702874,.25,.8832209
2027,"ss","value",.0630668,-.0765158,.0780397,.27,.9260995
2028,"ss","value",.0668255,-.0957536,.1112021,.2737382,.983
2029,"ss","value",.1005391,-.2125808,.2053369,.2793244,1.043
2030,"ss","value",.1313471,-.2952642,.2619834,.296344,1.103
2031,"ss","value",.0950296,-.1705573,.189763,.3052537,1.173
2032,"ss","value",.0668533,-.0549631,.1087415,.3230438,1.233
2033,"ss","value",.0819,-.0989654,.1373732,.34,1.303
2034,"ss","value",.0517242,.0095507,.0618756,.3436951,1.363
2035,"ss","value",.0203288,.0837787,.0344945,.3410126,1.443
2036,"ss","value",.0450623,.0186792,.0741633,.3475724,1.513
2037,"ss","value",.0499367,.0130085,.0768858,.3653474,1.593
2038,"ss","value",.0310106,.0867086,.0382389,.3843217,1.663
2039,"ss","value",.0455409,.0801921,.04188,.4037126,1.733
2040,"ss","value",.1035188,-.02727,.0895637,.4052308,1.813
2041,"ss","value",.1265575,-.0526438,.0995792,.4187425,1.893
2042,"ss","value",.149014,-.0761212,.1164318,.4325287,1.983
2043,"ss","value",.1892406,-.144736,.1506863,.46,2.073
2044,"ss","value",.1783353,-.1220148,.1460191,.47,2.173
2045,"ss","value",.1587331,-.0788043,.1323705,.48,2.273
2046,"ss","value",.1960068,-.1403547,.1612543,.49,2.353
2047,"ss","value",.1882314,-.1173076,.1531936,.5,2.443
2048,"ss","value",.1818282,-.104895,.1514981,.51,2.533
2049,"ss","value",.1771561,-.0883858,.1495402,.52,2.623
2050,"ss","value",.2276685,-.1549705,.1736866,.53,2.703
2051,"ss","value",.2408413,-.160166,.1791581,.54,2.783
2052,"ss","value",.2024698,-.0884439,.153782,.55,2.863
2053,"ss","value",.2608954,-.1461051,.1721262,.56,2.983
2054,"ss","value",.3061669,-.1911976,.1849081,.57,3.083
2055,"ss","value",.2448878,-.1041974,.1627464,.58,3.173
2056,"ss","value",.2527815,-.1186801,.167997,.59,3.273
2057,"ss","value",.2895463,-.1568887,.1810207,.59,3.373
2058,"ss","value",.2332786,-.0865249,.1662029,.6,3.463
2059,"ss","value",.2459184,-.0888082,.1692223,.61,3.583
2060,"ss","value",.2768542,-.1048631,.1718777,.61,3.713
2061,"ss","value",.287134,-.1066436,.1748967,.62,3.803
2062,"ss","value",.3044087,-.1086965,.1756995,.63,3.903
2063,"ss","value",.3796342,-.1840718,.1920436,.63,3.993
2064,"ss","value",.3789812,-.1651092,.1861041,.64,4.123
2065,"ss","value",.393239,-.1752542,.1912419,.64,4.263
2066,"ss","value",.4579428,-.228443,.2041198,.65,4.423
2067,"ss","value",.4273098,-.1826789,.1940787,.65,4.603
2068,"ss","value",.3885542,-.1295631,.1832776,.66,4.753
2069,"ss","value",.3698183,-.1285671,.188185,.66,4.863
2070,"ss","value",.3901421,-.1429241,.193857,.66,4.983
2071,"ss","value",.3552802,-.1004851,.1840329,.67,5.093
2072,"ss","value",.3425072,-.081844,.181696,.67,5.203
2073,"ss","value",.3670492,-.0971249,.1865096,.67,5.313
2074,"ss","value",.3687454,-.0945014,.1883633,.67,5.423
2075,"ss","value",.3735665,-.098067,.1925159,.68,5.553
2076,"ss","value",.3885156,-.0929116,.191716,.68,5.703
2077,"ss","value",.3832114,-.0857342,.1938317,.68,5.863
2078,"ss","value",.3855341,-.0841369,.198411,.68,6.043
2079,"ss","value",.3957437,-.0842607,.1999249,.68,6.243
2080,"ss","value",.4313746,-.1112255,.2054662,.68,6.403
2081,"ss","value",.4281563,-.1192168,.2135179,.68,6.573
2082,"ss","value",.4431258,-.1303526,.2175049,.68,6.723
2083,"ss","value",.4384976,-.1439117,.2224828,.68,6.883
2084,"ss","value",.4619812,-.1508001,.2258297,.68,7.033
2085,"ss","value",.4508587,-.1365648,.2248693,.68,7.183
2086,"ss","value",.4759689,-.1537033,.2276945,.68,7.303
2087,"ss","value",.5097294,-.1780427,.2340269,.68,7.433
2088,"ss","value",.5591235,-.1965164,.2381548,.69,7.553
2089,"ss","value",.5451964,-.1853396,.2381845,.69,7.773
2090,"ss","value",.5624743,-.1953769,.2435877,.69,7.902999
2091,"ss","value",.556024,-.1946613,.2468463,.69,8.033
2092,"ss","value",.5416586,-.1804774,.246212,.69,8.163
2093,"ss","value",.553948,-.1964816,.2521179,.69,8.283
2094,"ss","value",.5902279,-.2122273,.2556883,.69,8.403
2095,"ss","value",.5742984,-.197855,.2541496,.69,8.513
2096,"ss","value",.575773,-.1823067,.2534266,.69,8.653
2097,"ss","value",.5974765,-.1915535,.2574683,.69,8.873
2098,"ss","value",.5942021,-.1796294,.255125,.69,9.073
2099,"ss","value",.5655001,-.1646675,.2549187,.69,9.243
2100,"ss","value",.6096564,-.1872218,.262782,0,11
2101,"ss","value",.6177223,-.1882169,.2649839,0,11
2102,"ss","value",.6257883,-.189212,.2671857,0,11
2103,"ss","value",.6338543,-.1902071,.2693875,0,11
2104,"ss","value",.6419202,-.1912022,.2715894,0,11
2105,"ss","value",.6499862,-.1921973,.2737912,0,11
2106,"ss","value",.6580521,-.1931924,.275993,0,11
2107,"ss","value",.6661181,-.1941875,.2781948,0,11
2108,"ss","value",.6741841,-.1951826,.2803967,0,11
2109,"ss","value",.6822501,-.1961777,.2825985,0,11
2110,"ss","value",.690316,-.1971728,.2848003,0,11
2111,"ss","value",.698382,-.1981679,.2870022,0,11
2112,"ss","value",.706448,-.199163,.289204,0,11
2113,"ss","value",.7145139,-.2001581,.2914058,0,11
2114,"ss","value",.7225799,-.2011532,.2936077,0,11
2115,"ss","value",.7306458,-.2021483,.2958095,0,11
2116,"ss","value",.7387118,-.2031434,.2980113,0,11
2117,"ss","value",.7467778,-.2041385,.3002131,0,11
2118,"ss","value",.7548437,-.2051336,.302415,0,11
2119,"ss","value",.7629097,-.2061287,.3046168,0,11
2120,"ss","value",.7709756,-.2071238,.3068186,0,11
2121,"ss","value",.7790416,-.2081189,.3090205,0,11
2122,"ss","value",.7871076,-.209114,.3112223,0,11
2123,"ss","value",.7951736,-.2101091,.3134241,0,11
2124,"ss","value",.8032395,-.2111042,.3156259,0,11
2125,"ss","value",.8113055,-.2120993,.3178278,0,11
2126,"ss","value",.8193715,-.2130944,.3200296,0,11
2127,"ss","value",.8274374,-.2140895,.3222314,0,11
2128,"ss","value",.8355034,-.2150846,.3244333,0,11
2129,"ss","value",.8435693,-.2160797,.3266351,0,11
2130,"ss","value",.8516353,-.2170748,.3288369,0,11
2131,"ss","value",.8597013,-.2180699,.3310387,0,11
2132,"ss","value",.8677672,-.219065,.3332406,0,11
2133,"ss","value",.8758332,-.2200601,.3354424,0,11
2134,"ss","value",.8838992,-.2210552,.3376442,0,11
2135,"ss","value",.8919652,-.2220502,.3398461,0,11
2136,"ss","value",.9000311,-.2230453,.3420479,0,11
2137,"ss","value",.908097,-.2240404,.3442497,0,11
2138,"ss","value",.916163,-.2250355,.3464516,0,11
2139,"ss","value",.924229,-.2260306,.3486534,0,11
