,discrate,year,mc_damages,pulse,rcp,variable
0,1.0,2015.0,0.0,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
1,1.0,2016.0,0.0,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
2,1.0,2017.0,0.0,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
3,1.0,2018.0,0.0,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
4,1.0,2019.0,0.0,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
5,1.0,2020.0,-0.0055408610292855265,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
6,1.0,2021.0,-0.020521792126538152,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
7,1.0,2022.0,-0.027083710945705164,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
8,1.0,2023.0,-0.02952176479218771,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
9,1.0,2024.0,-0.024165518655836493,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
10,1.0,2025.0,-0.022437024028965524,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
11,1.0,2026.0,-0.019732186045503752,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
12,1.0,2027.0,-0.006445308252466475,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
13,1.0,2028.0,-0.0025753891990110134,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
14,1.0,2029.0,-0.016033599687196087,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
15,1.0,2030.0,-0.026217682508081097,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
16,1.0,2031.0,-0.00033773737230902157,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
17,1.0,2032.0,0.016864245639114372,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
18,1.0,2033.0,0.012373206975956563,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
19,1.0,2034.0,0.02577559327461998,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
20,1.0,2035.0,0.041998782772310506,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
21,1.0,2036.0,0.034904292958859884,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
22,1.0,2037.0,0.034584430888553896,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
23,1.0,2038.0,0.04390096291030687,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
24,1.0,2039.0,0.04296360593735571,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
25,1.0,2040.0,0.027930437588299384,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
26,1.0,2041.0,0.024411013723906194,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
27,1.0,2042.0,0.024621830157212088,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
28,1.0,2043.0,0.018803948477675192,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
29,1.0,2044.0,0.024958208758476985,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
30,1.0,2045.0,0.0334057638645433,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
31,1.0,2046.0,0.02963062685169149,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
32,1.0,2047.0,0.03468226128180163,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
33,1.0,2048.0,0.039095486963333315,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
34,1.0,2049.0,0.04394823510467205,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
35,1.0,2050.0,0.03757544075827468,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
36,1.0,2051.0,0.0394475214667267,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
37,1.0,2052.0,0.04735117451511428,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
38,1.0,2053.0,0.04101823405616756,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
39,1.0,2054.0,0.03589577417010048,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
40,1.0,2055.0,0.04879106471128836,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
41,1.0,2056.0,0.04855183064191948,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
42,1.0,2057.0,0.04610670342982104,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
43,1.0,2058.0,0.05730049801889692,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
44,1.0,2059.0,0.058859052006489776,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
45,1.0,2060.0,0.056670815454275214,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
46,1.0,2061.0,0.0578875708382256,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
47,1.0,2062.0,0.0578589357502608,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
48,1.0,2063.0,0.04832364980777015,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
49,1.0,2064.0,0.05011341270504488,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
50,1.0,2065.0,0.050590573573998654,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
51,1.0,2066.0,0.04553945294323114,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
52,1.0,2067.0,0.05185974784315306,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
53,1.0,2068.0,0.05915124745224887,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
54,1.0,2069.0,0.06224552583955756,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
55,1.0,2070.0,0.0621675279399625,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
56,1.0,2071.0,0.0664061677907597,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
57,1.0,2072.0,0.06899174946792641,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
58,1.0,2073.0,0.06784678333696093,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
59,1.0,2074.0,0.06891930519837786,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
60,1.0,2075.0,0.06979528237377508,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
61,1.0,2076.0,0.0701073764524267,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
62,1.0,2077.0,0.07224932780663096,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
63,1.0,2078.0,0.07458601614349902,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
64,1.0,2079.0,0.07532283459256917,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
65,1.0,2080.0,0.0728007327296325,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
66,1.0,2081.0,0.07501667294548042,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
67,1.0,2082.0,0.07469434901764771,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
68,1.0,2083.0,0.07417188527938379,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
69,1.0,2084.0,0.07408359782988327,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
70,1.0,2085.0,0.07571255827360801,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
71,1.0,2086.0,0.07323574492652085,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
72,1.0,2087.0,0.07113045984239363,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
73,1.0,2088.0,0.0692404406671443,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
74,1.0,2089.0,0.07107595727754301,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
75,1.0,2090.0,0.07181188615027168,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
76,1.0,2091.0,0.07365111609232144,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
77,1.0,2092.0,0.07628507868399481,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
78,1.0,2093.0,0.07630693823261936,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
79,1.0,2094.0,0.07505158022294722,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
80,1.0,2095.0,0.07643800304707327,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
81,1.0,2096.0,0.07814149723860453,pulse,rcp45,smooth_anomalies_df_mean_output_SSP3
