year,fair_temperatures_anomaly_pulse,fair_temperatures_anomaly_rcp,rcp
1765,-.96893203,-.96893203,rcp85
1766,-.96452773,-.96452773,rcp85
1767,-.96001327,-.96001327,rcp85
1768,-.95149118,-.95149118,rcp85
1769,-.94168258,-.94168258,rcp85
1770,-.93118292,-.93118292,rcp85
1771,-.92573428,-.92573428,rcp85
1772,-.92661142,-.92661142,rcp85
1773,-.92738611,-.92738611,rcp85
1774,-.92869365,-.92869365,rcp85
1775,-.9329164,-.9329164,rcp85
1776,-.93671823,-.93671823,rcp85
1777,-.93870312,-.93870312,rcp85
1778,-.93954325,-.93954325,rcp85
1779,-.94543165,-.94543165,rcp85
1780,-.94972444,-.94972444,rcp85
1781,-.95084971,-.95084971,rcp85
1782,-.94865191,-.94865191,rcp85
1783,-1.4835322,-1.4835322,rcp85
1784,-1.3940067,-1.3940067,rcp85
1785,-1.2975117,-1.2975117,rcp85
1786,-1.2153635,-1.2153635,rcp85
1787,-1.1490747,-1.1490747,rcp85
1788,-1.1040483,-1.1040483,rcp85
1789,-1.0700815,-1.0700815,rcp85
1790,-1.0444808,-1.0444808,rcp85
1791,-1.0242233,-1.0242233,rcp85
1792,-1.0082046,-1.0082046,rcp85
1793,-.997334,-.997334,rcp85
1794,-.99956137,-.99956137,rcp85
1795,-.98695767,-.98695767,rcp85
1796,-1.0308616,-1.0308616,rcp85
1797,-1.017185,-1.017185,rcp85
1798,-1.0031809,-1.0031809,rcp85
1799,-.99169356,-.99169356,rcp85
1800,-.98351651,-.98351651,rcp85
1801,-.98432261,-.98432261,rcp85
1802,-.97659755,-.97659755,rcp85
1803,-.97035956,-.97035956,rcp85
1804,-.98108888,-.98108888,rcp85
1805,-.97888392,-.97888392,rcp85
1806,-.97246373,-.97246373,rcp85
1807,-.96860206,-.96860206,rcp85
1808,-.96621197,-.96621197,rcp85
1809,-1.4355557,-1.4355557,rcp85
1810,-1.4762323,-1.4762323,rcp85
1811,-1.4115841,-1.4115841,rcp85
1812,-1.3266412,-1.3266412,rcp85
1813,-1.2481538,-1.2481538,rcp85
1814,-1.180437,-1.180437,rcp85
1815,-1.9174562,-1.9174562,rcp85
1816,-1.9997967,-1.9997967,rcp85
1817,-1.9181895,-1.9181895,rcp85
1818,-1.754949,-1.754949,rcp85
1819,-1.5916648,-1.5916648,rcp85
1820,-1.4475944,-1.4475944,rcp85
1821,-1.3357402,-1.3357402,rcp85
1822,-1.2505447,-1.2505447,rcp85
1823,-1.1857293,-1.1857293,rcp85
1824,-1.135342,-1.135342,rcp85
1825,-1.0961241,-1.0961241,rcp85
1826,-1.0653026,-1.0653026,rcp85
1827,-1.039102,-1.039102,rcp85
1828,-1.0179743,-1.0179743,rcp85
1829,-1.0014857,-1.0014857,rcp85
1830,-.98793441,-.98793441,rcp85
1831,-1.0817313,-1.0817313,rcp85
1832,-1.1344254,-1.1344254,rcp85
1833,-1.1337242,-1.1337242,rcp85
1834,-1.1074927,-1.1074927,rcp85
1835,-1.4065242,-1.4065242,rcp85
1836,-1.3933232,-1.3933232,rcp85
1837,-1.3170958,-1.3170958,rcp85
1838,-1.2368832,-1.2368832,rcp85
1839,-1.1695259,-1.1695259,rcp85
1840,-1.1166161,-1.1166161,rcp85
1841,-1.0757325,-1.0757325,rcp85
1842,-1.0449291,-1.0449291,rcp85
1843,-1.0252036,-1.0252036,rcp85
1844,-1.0084077,-1.0084077,rcp85
1845,-.99478692,-.99478692,rcp85
1846,-.98855275,-.98855275,rcp85
1847,-.98380423,-.98380423,rcp85
1848,-.97459459,-.97459459,rcp85
1849,-.96105289,-.96105289,rcp85
1850,-.95255464,-.95255464,rcp85
1851,-.94682711,-.94682711,rcp85
1852,-.94635981,-.94635981,rcp85
1853,-.94288832,-.94288832,rcp85
1854,-.94156331,-.94156331,rcp85
1855,-.94140714,-.94140714,rcp85
1856,-.94131857,-.94131857,rcp85
1857,-.9401058,-.9401058,rcp85
1858,-.93658632,-.93658632,rcp85
1859,-.93170053,-.93170053,rcp85
1860,-.92623687,-.92623687,rcp85
1861,-.95594913,-.95594913,rcp85
1862,-.98984832,-.98984832,rcp85
1863,-.98824883,-.98824883,rcp85
1864,-.97567379,-.97567379,rcp85
1865,-.96288419,-.96288419,rcp85
1866,-.95324945,-.95324945,rcp85
1867,-.94624084,-.94624084,rcp85
1868,-.93931818,-.93931818,rcp85
1869,-.93137628,-.93137628,rcp85
1870,-.92485219,-.92485219,rcp85
1871,-.91826189,-.91826189,rcp85
1872,-.91415715,-.91415715,rcp85
1873,-.91820562,-.91820562,rcp85
