ph1,ph2,ph3,year,cons,beta1,beta2,anomalymin,anomalymax
"vv","aa","ss",2015,.0017849,.0091445,.1570202,-.1475855,.6120303
"vv","aa","ss",2016,.0026857,.0281878,.0937949,-.1465827,.5393157
"vv","aa","ss",2017,.0008889,.0882788,-.1139435,-.0514101,.5996702
"vv","aa","ss",2018,.0044641,.0700571,-.1401454,-.0322141,.5642603
"vv","aa","ss",2019,.004384,.0850874,-.1766953,-.1148715,.674127
"vv","aa","ss",2020,.0099593,.0962113,-.1803851,-.0691401,.714441
"vv","aa","ss",2021,.0206365,.0531399,-.0878021,.0586825,.750299
"vv","aa","ss",2022,.0212024,.1107884,-.1784966,-.0393405,.7959229
"vv","aa","ss",2023,.0421796,.0483132,-.0959063,.0350583,.831049
"vv","aa","ss",2024,.0469273,.0317508,-.0474987,.1639829,.7773013
"vv","aa","ss",2025,.034601,.0571543,-.0345618,.1467255,.8871613
"vv","aa","ss",2026,.05626,-.0028489,.0019351,.1196255,1.026382
"vv","aa","ss",2027,.0399784,.0837466,-.0618668,.1614349,1.07991
"vv","aa","ss",2028,.0446124,.0881156,-.054399,.1199315,1.121271
"vv","aa","ss",2029,.0548861,.0490156,-.0088625,.2484673,1.072992
"vv","aa","ss",2030,.1203971,-.154342,.1409993,.1377079,1.201318
"vv","aa","ss",2031,.1161287,-.1379663,.1512291,.2831849,1.173
"vv","aa","ss",2032,.0959355,-.0597183,.0992717,.2354705,1.288705
"vv","aa","ss",2033,.0882726,-.0596135,.1152527,.1482515,1.361282
"vv","aa","ss",2034,.0858491,-.0130035,.0804643,.2427335,1.368209
"vv","aa","ss",2035,.0653193,.0641727,.0428339,.2774935,1.443
"vv","aa","ss",2036,.045388,.1077586,.0205702,.2354095,1.513
"vv","aa","ss",2037,.0706158,.0688241,.0334813,.1182525,1.593
"vv","aa","ss",2038,.0679717,.0916518,.0333141,.1167265,1.663
"vv","aa","ss",2039,.0895542,.0706677,.0430488,.2255215,1.733
"vv","aa","ss",2040,.1322149,-.0171744,.0914296,.1780675,1.813
"vv","aa","ss",2041,.1738105,-.0881701,.135377,.4144865,1.893
"vv","aa","ss",2042,.1454671,.0008962,.1023031,.3137175,1.983
"vv","aa","ss",2043,.1968409,-.1034192,.1484047,.2821935,2.073
"vv","aa","ss",2044,.1644983,-.0550773,.1380565,.2434665,2.173
"vv","aa","ss",2045,.1284306,.004259,.1132971,.2779205,2.273
"vv","aa","ss",2046,.1989405,-.1248792,.1644213,.4751255,2.353
"vv","aa","ss",2047,.1968907,-.1271576,.1715815,.5,2.443
"vv","aa","ss",2048,.1638876,-.0837541,.1615077,.5077485,2.533
"vv","aa","ss",2049,.1293199,-.0326505,.1467621,.3319065,2.623
"vv","aa","ss",2050,.1534973,-.0636502,.1617519,.5136995,2.703
"vv","aa","ss",2051,.1515137,-.0570097,.1627492,.54,2.783
"vv","aa","ss",2052,.1267662,-.0147291,.147087,.55,2.863
"vv","aa","ss",2053,.2200933,-.1088366,.1746382,.56,2.983
"vv","aa","ss",2054,.249463,-.1420613,.1885493,.57,3.083
"vv","aa","ss",2055,.1942343,-.0604598,.1715192,.58,3.173
"vv","aa","ss",2056,.2028881,-.0626086,.1743858,.5668915,3.273
"vv","aa","ss",2057,.255217,-.1103109,.1891794,.4566315,3.373
"vv","aa","ss",2058,.2185552,-.0519804,.1805391,.5690279,3.463
"vv","aa","ss",2059,.2655083,-.0758258,.1880994,.61,3.583
"vv","aa","ss",2060,.3067023,-.0846182,.1872525,.61,3.713
"vv","aa","ss",2061,.3136573,-.0743139,.1928204,.62,3.803
"vv","aa","ss",2062,.3359354,-.0555538,.1907723,.4280365,3.903
"vv","aa","ss",2063,.4311906,-.1264206,.2033151,.4245885,3.993
"vv","aa","ss",2064,.4241559,-.0794074,.1931235,.64,4.123
