ph1,ph2,ph3,year,cons,beta1,beta2,anomalymin,anomalymax
"vv","aa","ss",2015,1.78e+09,9.42e+09,1.57e+11,-.1475855,.6120303
"vv","aa","ss",2016,2.71e+09,2.84e+10,9.32e+10,-.1465827,.5393157
"vv","aa","ss",2017,8.90e+08,8.79e+10,-1.12e+11,-.0514101,.5996702
"vv","aa","ss",2018,4.38e+09,6.95e+10,-1.37e+11,-.0322141,.5642603
"vv","aa","ss",2019,4.20e+09,8.43e+10,-1.73e+11,-.1148715,.674127
"vv","aa","ss",2020,9.64e+09,9.46e+10,-1.75e+11,-.0691401,.714441
"vv","aa","ss",2021,2.00e+10,5.22e+10,-8.49e+10,.0586825,.750299
"vv","aa","ss",2022,2.06e+10,1.08e+11,-1.73e+11,-.0393405,.7959229
"vv","aa","ss",2023,4.12e+10,4.54e+10,-9.04e+10,.0350583,.831049
"vv","aa","ss",2024,4.59e+10,2.84e+10,-4.25e+10,.1639829,.7773013
"vv","aa","ss",2025,3.37e+10,5.32e+10,-3.12e+10,.1467255,.8871613
"vv","aa","ss",2026,5.49e+10,-7.32e+09,6.07e+09,.1196255,1.026382
"vv","aa","ss",2027,3.92e+10,7.55e+10,-5.60e+10,.1614349,1.07991
"vv","aa","ss",2028,4.27e+10,8.02e+10,-4.91e+10,.1199315,1.121271
"vv","aa","ss",2029,5.19e+10,4.31e+10,-6.48e+09,.2484673,1.072992
"vv","aa","ss",2030,1.12e+11,-1.45e+11,1.32e+11,.1377079,1.201318
"vv","aa","ss",2031,1.06e+11,-1.25e+11,1.37e+11,.2831849,1.173
"vv","aa","ss",2032,8.70e+10,-5.26e+10,8.83e+10,.2354705,1.288705
"vv","aa","ss",2033,7.83e+10,-5.10e+10,1.02e+11,.1482515,1.361282
"vv","aa","ss",2034,7.58e+10,-1.05e+10,7.18e+10,.2427335,1.368209
"vv","aa","ss",2035,5.59e+10,6.05e+10,3.57e+10,.2774935,1.443
"vv","aa","ss",2036,3.81e+10,9.71e+10,1.68e+10,.2354095,1.513
"vv","aa","ss",2037,5.96e+10,6.28e+10,2.79e+10,.1182525,1.593
"vv","aa","ss",2038,5.84e+10,7.82e+10,2.93e+10,.1167265,1.663
"vv","aa","ss",2039,7.55e+10,5.91e+10,3.82e+10,.2255215,1.733
"vv","aa","ss",2040,1.10e+11,-1.25e+10,7.71e+10,.1780675,1.813
"vv","aa","ss",2041,1.44e+11,-7.23e+10,1.13e+11,.4144865,1.893
"vv","aa","ss",2042,1.18e+11,4.50e+09,8.32e+10,.3137175,1.983
"vv","aa","ss",2043,1.62e+11,-8.62e+10,1.23e+11,.2821935,2.073
"vv","aa","ss",2044,1.35e+11,-4.80e+10,1.14e+11,.2434665,2.173
"vv","aa","ss",2045,1.04e+11,3.35e+09,9.25e+10,.2779205,2.273
"vv","aa","ss",2046,1.57e+11,-9.52e+10,1.31e+11,.4751255,2.353
"vv","aa","ss",2047,1.56e+11,-1.00e+11,1.37e+11,.5,2.443
"vv","aa","ss",2048,1.30e+11,-6.75e+10,1.29e+11,.5077485,2.533
"vv","aa","ss",2049,1.01e+11,-2.72e+10,1.17e+11,.3319065,2.623
"vv","aa","ss",2050,1.19e+11,-5.07e+10,1.28e+11,.5136995,2.703
"vv","aa","ss",2051,1.13e+11,-3.98e+10,1.27e+11,.54,2.783
