ph1,ph2,ph3,year,cons,beta1,beta2,anomalymin,anomalymax
"vv","aa","ss",2015,-.003495,.0073765,.1340017,-.1475855,.6120303
"vv","aa","ss",2016,-.0030397,.0186984,.0804791,-.1465827,.5393157
"vv","aa","ss",2017,-.002692,.0218124,.0308327,-.0514101,.5996702
"vv","aa","ss",2018,.0029964,-.008859,.0480752,-.0322141,.5642603
"vv","aa","ss",2019,.0064133,-.0406282,.0907449,-.1148715,.674127
"vv","aa","ss",2020,.0101567,-.024795,.0435994,-.0691401,.714441
"vv","aa","ss",2021,.0167721,-.0431253,.0854729,.0586825,.750299
"vv","aa","ss",2022,.0264889,-.0417687,.0586866,-.0393405,.7959229
"vv","aa","ss",2023,.038093,-.0693906,.0931269,.0350583,.831049
"vv","aa","ss",2024,.0428191,-.0574082,.0841955,.1639829,.7773013
"vv","aa","ss",2025,.0498252,-.0869646,.1278231,.1467255,.8871613
"vv","aa","ss",2026,.0586558,-.1062249,.1275559,.1196255,1.026382
"vv","aa","ss",2027,.0429012,-.0281698,.0556993,.1614349,1.07991
"vv","aa","ss",2028,.0371398,-.0119226,.0585631,.1199315,1.121271
"vv","aa","ss",2029,.0512745,-.0664262,.1080013,.2484673,1.072992
"vv","aa","ss",2030,.0926601,-.192981,.2016832,.1377079,1.201318
"vv","aa","ss",2031,.0659034,-.0975267,.1507208,.2831849,1.173
"vv","aa","ss",2032,.0392649,.0127577,.0748913,.2354705,1.288705
"vv","aa","ss",2033,.0426632,.0028137,.0808881,.1482515,1.361282
"vv","aa","ss",2034,.0328069,.0513718,.0444277,.2427335,1.368209
"vv","aa","ss",2035,.0059681,.1182656,.0192329,.2774935,1.443
"vv","aa","ss",2036,.0220438,.074108,.0475184,.2354095,1.513
"vv","aa","ss",2037,.0288552,.0602585,.0564859,.1182525,1.593
"vv","aa","ss",2038,.0198373,.1102899,.0301653,.1167265,1.663
"vv","aa","ss",2039,.0385861,.0930578,.0391195,.2255215,1.733
"vv","aa","ss",2040,.0883076,-.0014755,.08197,.1780675,1.813
"vv","aa","ss",2041,.119513,-.0505321,.1044344,.4144865,1.893
"vv","aa","ss",2042,.1358051,-.0637075,.1167032,.3137175,1.983
"vv","aa","ss",2043,.1713015,-.128382,.1506545,.2821935,2.073
"vv","aa","ss",2044,.1547871,-.0938205,.1406459,.2434665,2.173
"vv","aa","ss",2045,.1402575,-.053072,.1253685,.2779205,2.273
"vv","aa","ss",2046,.1757029,-.1076847,.1504216,.4751255,2.353
"vv","aa","ss",2047,.1660438,-.0791428,.1404198,.5,2.443
"vv","aa","ss",2048,.1664202,-.073989,.1401299,.5077485,2.533
"vv","aa","ss",2049,.1621048,-.0576601,.1380676,.3319065,2.623
"vv","aa","ss",2050,.1958025,-.1022154,.1561746,.5136995,2.703
"vv","aa","ss",2051,.2093772,-.1125016,.1641991,.54,2.783
"vv","aa","ss",2052,.1854834,-.0657832,.1473875,.55,2.863
"vv","aa","ss",2053,.2399162,-.1217868,.1658368,.56,2.983
"vv","aa","ss",2054,.2872609,-.1685452,.1790601,.57,3.083
"vv","aa","ss",2055,.2318843,-.0869329,.1582342,.58,3.173
"vv","aa","ss",2056,.2385434,-.0954051,.1608916,.5668915,3.273
"vv","aa","ss",2057,.2802339,-.1390976,.1755073,.4566315,3.373
"vv","aa","ss",2058,.2310527,-.0764805,.1630816,.5690279,3.463
"vv","aa","ss",2059,.2372087,-.0729474,.1650584,.61,3.583
"vv","aa","ss",2060,.267521,-.0934119,.1696848,.61,3.713
"vv","aa","ss",2061,.2663083,-.0866212,.1716017,.62,3.803
"vv","aa","ss",2062,.2768098,-.0803939,.1702351,.4280365,3.903
"vv","aa","ss",2063,.3494983,-.1513135,.1852583,.4245885,3.993
"vv","aa","ss",2064,.3491394,-.1350724,.1801898,.64,4.123
"vv","aa","ss",2065,.3698711,-.1490986,.1855624,.6196865,4.263
"vv","aa","ss",2066,.4445165,-.2089969,.1996515,.65,4.423
"vv","aa","ss",2067,.4093182,-.1594255,.1893814,.65,4.603
"vv","aa","ss",2068,.3662073,-.1022206,.1779698,.5796475,4.753
"vv","aa","ss",2069,.3553847,-.1076399,.1839406,.5591405,4.863
"vv","aa","ss",2070,.3793443,-.1268736,.1907899,.5639315,4.983
"vv","aa","ss",2071,.3419257,-.0849278,.1813325,.6183445,5.093
"vv","aa","ss",2072,.3317747,-.0680385,.1792823,.67,5.203
"vv","aa","ss",2073,.3623362,-.0884888,.1850163,.67,5.313
"vv","aa","ss",2074,.3634852,-.0843453,.1865246,.5767795,5.423
"vv","aa","ss",2075,.3719149,-.0906539,.1910278,.6257295,5.553
"vv","aa","ss",2076,.3897519,-.0887633,.1909995,.5862395,5.703
"vv","aa","ss",2077,.3950365,-.092925,.1949368,.6261565,5.863
"vv","aa","ss",2078,.3860986,-.0840959,.1984643,.68,6.043
"vv","aa","ss",2079,.387284,-.0792811,.1994663,.6430325,6.243
"vv","aa","ss",2080,.4136495,-.09892,.2039336,.68,6.403
"vv","aa","ss",2081,.416389,-.1097061,.2122109,.5753445,6.573
"vv","aa","ss",2082,.4320517,-.1185672,.2157229,.5878575,6.723
"vv","aa","ss",2083,.4387995,-.1382579,.2213259,.5288975,6.883
"vv","aa","ss",2084,.4640687,-.1453144,.2245273,.6570405,7.033
"vv","aa","ss",2085,.46444,-.1389197,.2245101,.5746435,7.183
"vv","aa","ss",2086,.4848282,-.1529454,.227099,.68,7.303
"vv","aa","ss",2087,.5204603,-.180603,.2338672,.68,7.433
"vv","aa","ss",2088,.5713136,-.2003991,.2381653,.6326565,7.553
"vv","aa","ss",2089,.5676417,-.1966555,.2391454,.6408665,7.773
"vv","aa","ss",2090,.5774096,-.2023161,.2441764,.69,7.902999
"vv","aa","ss",2091,.5735652,-.2022848,.2475029,.5692105,8.033
"vv","aa","ss",2092,.5493656,-.1772392,.2457522,.5683865,8.163
"vv","aa","ss",2093,.558341,-.1902055,.2513825,.6647915,8.283
"vv","aa","ss",2094,.5867866,-.2011345,.2544632,.69,8.403
"vv","aa","ss",2095,.578201,-.1910718,.2532962,.5614595,8.513
"vv","aa","ss",2096,.5839046,-.1825959,.2533744,.5649685,8.653
"vv","aa","ss",2097,.5928196,-.1872783,.2551463,.6889615,8.873
"vv","aa","ss",2098,.5854069,-.1731318,.2517288,.69,9.073
"vv","aa","ss",2099,.5955987,-.1769665,.2587856,0,11
"vv","aa","ss",2100,.6017505,-.1766532,.2607823,0,11
"vv","aa","ss",2101,.6079023,-.1763399,.262779,0,11
"vv","aa","ss",2102,.6140542,-.1760266,.2647758,0,11
"vv","aa","ss",2103,.620206,-.1757133,.2667724,0,11
"vv","aa","ss",2104,.6263579,-.1754,.2687692,0,11
"vv","aa","ss",2105,.6325096,-.1750868,.2707659,0,11
"vv","aa","ss",2106,.6386615,-.1747735,.2727626,0,11
"vv","aa","ss",2107,.6448133,-.1744602,.2747594,0,11
"vv","aa","ss",2108,.6509652,-.1741469,.2767561,0,11
"vv","aa","ss",2109,.657117,-.1738336,.2787528,0,11
"vv","aa","ss",2110,.6632688,-.1735203,.2807495,0,11
"vv","aa","ss",2111,.6694207,-.173207,.2827463,0,11
"vv","aa","ss",2112,.6755725,-.1728937,.284743,0,11
"vv","aa","ss",2113,.6817243,-.1725804,.2867397,0,11
"vv","aa","ss",2114,.6878762,-.1722671,.2887364,0,11
"vv","aa","ss",2115,.694028,-.1719538,.2907331,0,11
"vv","aa","ss",2116,.7001798,-.1716406,.2927299,0,11
"vv","aa","ss",2117,.7063316,-.1713273,.2947266,0,11
"vv","aa","ss",2118,.7124835,-.171014,.2967233,0,11
"vv","aa","ss",2119,.7186353,-.1707007,.29872,0,11
"vv","aa","ss",2120,.7247871,-.1703874,.3007168,0,11
"vv","aa","ss",2121,.730939,-.1700741,.3027135,0,11
"vv","aa","ss",2122,.7370908,-.1697608,.3047102,0,11
"vv","aa","ss",2123,.7432426,-.1694475,.3067069,0,11
"vv","aa","ss",2124,.7493944,-.1691342,.3087037,0,11
"vv","aa","ss",2125,.7555463,-.1688209,.3107004,0,11
"vv","aa","ss",2126,.7616981,-.1685077,.3126971,0,11
"vv","aa","ss",2127,.7678499,-.1681944,.3146938,0,11
"vv","aa","ss",2128,.7740018,-.1678811,.3166905,0,11
"vv","aa","ss",2129,.7801536,-.1675678,.3186873,0,11
"vv","aa","ss",2130,.7863054,-.1672545,.320684,0,11
"vv","aa","ss",2131,.7924572,-.1669412,.3226807,0,11
"vv","aa","ss",2132,.7986091,-.1666279,.3246774,0,11
"vv","aa","ss",2133,.8047609,-.1663146,.3266742,0,11
"vv","aa","ss",2134,.8109127,-.1660013,.3286709,0,11
"vv","aa","ss",2135,.8170646,-.165688,.3306676,0,11
"vv","aa","ss",2136,.8232164,-.1653747,.3326643,0,11
"vv","aa","ss",2137,.8293682,-.1650614,.3346611,0,11
"vv","aa","ss",2138,.8355201,-.1647481,.3366578,0,11
"vv","aa","ss",2139,.8416719,-.1644349,.3386545,0,11
"vv","aa","ss",2140,.8478237,-.1641216,.3406512,0,11
"vv","aa","ss",2141,.8539755,-.1638083,.3426479,0,11
"vv","aa","ss",2142,.8601274,-.163495,.3446447,0,11
"vv","aa","ss",2143,.8662792,-.1631817,.3466414,0,11
"vv","aa","ss",2144,.872431,-.1628684,.3486381,0,11
"vv","aa","ss",2145,.8785829,-.1625551,.3506348,0,11
"vv","aa","ss",2146,.8847347,-.1622418,.3526316,0,11
"vv","aa","ss",2147,.8908865,-.1619285,.3546283,0,11
"vv","aa","ss",2148,.8970383,-.1616153,.356625,0,11
"vv","aa","ss",2149,.9031902,-.161302,.3586217,0,11
"vv","aa","ss",2150,.9093421,-.1609887,.3606184,0,11
"vv","aa","ss",2151,.9154938,-.1606754,.3626152,0,11
"vv","aa","ss",2152,.9216457,-.1603621,.3646119,0,11
"vv","aa","ss",2153,.9277975,-.1600488,.3666086,0,11
"vv","aa","ss",2154,.9339494,-.1597355,.3686053,0,11
"vv","aa","ss",2155,.9401012,-.1594222,.3706021,0,11
"vv","aa","ss",2156,.946253,-.1591089,.3725988,0,11
"vv","aa","ss",2157,.9524049,-.1587956,.3745955,0,11
"vv","aa","ss",2158,.9585567,-.1584823,.3765922,0,11
"vv","aa","ss",2159,.9647085,-.158169,.378589,0,11
"vv","aa","ss",2160,.9708603,-.1578557,.3805857,0,11
"vv","aa","ss",2161,.9770122,-.1575425,.3825824,0,11
"vv","aa","ss",2162,.983164,-.1572292,.3845791,0,11
"vv","aa","ss",2163,.9893158,-.1569159,.3865758,0,11
"vv","aa","ss",2164,.9954677,-.1566026,.3885726,0,11
"vv","aa","ss",2165,1.001619,-.1562893,.3905693,0,11
"vv","aa","ss",2166,1.007771,-.155976,.392566,0,11
"vv","aa","ss",2167,1.013923,-.1556627,.3945628,0,11
"vv","aa","ss",2168,1.020075,-.1553494,.3965595,0,11
"vv","aa","ss",2169,1.026227,-.1550361,.3985562,0,11
"vv","aa","ss",2170,1.032379,-.1547228,.4005529,0,11
"vv","aa","ss",2171,1.03853,-.1544096,.4025497,0,11
"vv","aa","ss",2172,1.044682,-.1540963,.4045464,0,11
"vv","aa","ss",2173,1.050834,-.153783,.4065431,0,11
"vv","aa","ss",2174,1.056986,-.1534697,.4085398,0,11
"vv","aa","ss",2175,1.063138,-.1531564,.4105365,0,11
"vv","aa","ss",2176,1.06929,-.1528431,.4125333,0,11
"vv","aa","ss",2177,1.075441,-.1525298,.41453,0,11
"vv","aa","ss",2178,1.081593,-.1522165,.4165267,0,11
"vv","aa","ss",2179,1.087745,-.1519032,.4185234,0,11
"vv","aa","ss",2180,1.093897,-.1515899,.4205202,0,11
"vv","aa","ss",2181,1.100049,-.1512766,.4225169,0,11
"vv","aa","ss",2182,1.106201,-.1509634,.4245136,0,11
"vv","aa","ss",2183,1.112352,-.1506501,.4265103,0,11
"vv","aa","ss",2184,1.118504,-.1503368,.4285071,0,11
"vv","aa","ss",2185,1.124656,-.1500235,.4305038,0,11
"vv","aa","ss",2186,1.130808,-.1497102,.4325005,0,11
"vv","aa","ss",2187,1.13696,-.1493969,.4344972,0,11
"vv","aa","ss",2188,1.143112,-.1490836,.4364939,0,11
"vv","aa","ss",2189,1.149263,-.1487703,.4384907,0,11
"vv","aa","ss",2190,1.155415,-.148457,.4404874,0,11
"vv","aa","ss",2191,1.161567,-.1481437,.4424841,0,11
"vv","aa","ss",2192,1.167719,-.1478304,.4444808,0,11
"vv","aa","ss",2193,1.173871,-.1475172,.4464776,0,11
"vv","aa","ss",2194,1.180023,-.1472039,.4484743,0,11
"vv","aa","ss",2195,1.186174,-.1468906,.450471,0,11
"vv","aa","ss",2196,1.192326,-.1465773,.4524677,0,11
"vv","aa","ss",2197,1.198478,-.146264,.4544644,0,11
"vv","aa","ss",2198,1.20463,-.1459507,.4564612,0,11
"vv","aa","ss",2199,1.210782,-.1456374,.4584579,0,11
"vv","aa","ss",2200,1.216933,-.1453241,.4604546,0,11
"vv","aa","ss",2201,1.223085,-.1450108,.4624513,0,11
