time_cut,discrate,rcp45,rcp85
all,1.0,-4.630865273049096e+22,-5.4793615823524824e+22
all,2.0,-9.575708628474109e+22,-8.583256847511998e+22
all,2.5,-9.780163629673252e+22,-8.480307681900879e+22
all,3.0,-9.630787361940598e+22,-8.16830273528539e+22
all,5.0,-8.421065623498024e+22,-6.820618390513869e+22
post2099,1.0,7.731867530855098e+22,5.607260943562749e+22
post2099,2.0,1.4669715779111417e+22,9.280674799787544e+21
post2099,2.5,7.078329919096717e+21,4.135653610775368e+21
post2099,3.0,3.6119537824147403e+21,1.9424770223440658e+21
post2099,5.0,3.582219912019708e+20,1.3866914603867164e+20
pre2099,1.0,-1.2362732803904192e+23,-1.1086622525915233e+23
pre2099,2.0,-1.1042680206385252e+23,-9.511324327490754e+22
pre2099,2.5,-1.0487996621582923e+23,-8.893873042978413e+22
pre2099,3.0,-9.991982740182071e+22,-8.362550437519796e+22
pre2099,5.0,-8.456887822618222e+22,-6.834485305117735e+22
share_post2099,1.0,-1.6696377620513696,-1.0233420188260973
share_post2099,2.0,-0.15319718203924756,-0.10812533010098264
share_post2099,2.5,-0.07237435064604536,-0.04876773067564398
share_post2099,3.0,-0.03750424183061741,-0.023780668827967946
share_post2099,5.0,-0.004253879582678861,-0.0020330875897049596
