,discrate,year,mc_damages,pulse,rcp,variable
0,1.0,2015.0,0.0,pulse,rcp85,df_mean_output_SSP3
1,1.0,2016.0,0.0,pulse,rcp85,df_mean_output_SSP3
2,1.0,2017.0,0.0,pulse,rcp85,df_mean_output_SSP3
3,1.0,2018.0,0.0,pulse,rcp85,df_mean_output_SSP3
4,1.0,2019.0,0.0,pulse,rcp85,df_mean_output_SSP3
5,1.0,2020.0,-0.0003423955542793955,pulse,rcp85,df_mean_output_SSP3
6,1.0,2021.0,0.0018998417401778767,pulse,rcp85,df_mean_output_SSP3
7,1.0,2022.0,-0.0008210301966879996,pulse,rcp85,df_mean_output_SSP3
8,1.0,2023.0,0.00031225759117070595,pulse,rcp85,df_mean_output_SSP3
9,1.0,2024.0,0.004407411357561841,pulse,rcp85,df_mean_output_SSP3
10,1.0,2025.0,0.010275642222504544,pulse,rcp85,df_mean_output_SSP3
11,1.0,2026.0,0.005839593055648962,pulse,rcp85,df_mean_output_SSP3
12,1.0,2027.0,0.01094063611480145,pulse,rcp85,df_mean_output_SSP3
13,1.0,2028.0,0.018718253147236297,pulse,rcp85,df_mean_output_SSP3
14,1.0,2029.0,0.019325085273903753,pulse,rcp85,df_mean_output_SSP3
15,1.0,2030.0,0.013548457937693215,pulse,rcp85,df_mean_output_SSP3
16,1.0,2031.0,0.030095502407890606,pulse,rcp85,df_mean_output_SSP3
17,1.0,2032.0,0.038469246206862096,pulse,rcp85,df_mean_output_SSP3
18,1.0,2033.0,0.039051975071117795,pulse,rcp85,df_mean_output_SSP3
19,1.0,2034.0,0.039646026597388584,pulse,rcp85,df_mean_output_SSP3
20,1.0,2035.0,0.05011116822695527,pulse,rcp85,df_mean_output_SSP3
21,1.0,2036.0,0.04932025469753398,pulse,rcp85,df_mean_output_SSP3
22,1.0,2037.0,0.04976267716783056,pulse,rcp85,df_mean_output_SSP3
23,1.0,2038.0,0.052123302165863805,pulse,rcp85,df_mean_output_SSP3
24,1.0,2039.0,0.05118725865792584,pulse,rcp85,df_mean_output_SSP3
25,1.0,2040.0,0.04578796484752701,pulse,rcp85,df_mean_output_SSP3
26,1.0,2041.0,0.044302211487242005,pulse,rcp85,df_mean_output_SSP3
27,1.0,2042.0,0.048512753945885834,pulse,rcp85,df_mean_output_SSP3
28,1.0,2043.0,0.05089737262445482,pulse,rcp85,df_mean_output_SSP3
29,1.0,2044.0,0.057096435734237616,pulse,rcp85,df_mean_output_SSP3
30,1.0,2045.0,0.061532227900443104,pulse,rcp85,df_mean_output_SSP3
31,1.0,2046.0,0.06391843813393905,pulse,rcp85,df_mean_output_SSP3
32,1.0,2047.0,0.0680151846688517,pulse,rcp85,df_mean_output_SSP3
33,1.0,2048.0,0.07149122295521693,pulse,rcp85,df_mean_output_SSP3
34,1.0,2049.0,0.07625669635337573,pulse,rcp85,df_mean_output_SSP3
35,1.0,2050.0,0.07822629151827698,pulse,rcp85,df_mean_output_SSP3
36,1.0,2051.0,0.08271111359965744,pulse,rcp85,df_mean_output_SSP3
37,1.0,2052.0,0.0845888491264759,pulse,rcp85,df_mean_output_SSP3
38,1.0,2053.0,0.08463235043562634,pulse,rcp85,df_mean_output_SSP3
39,1.0,2054.0,0.08396324907374719,pulse,rcp85,df_mean_output_SSP3
40,1.0,2055.0,0.09095213394797952,pulse,rcp85,df_mean_output_SSP3
41,1.0,2056.0,0.09261851236691143,pulse,rcp85,df_mean_output_SSP3
42,1.0,2057.0,0.09473690921042532,pulse,rcp85,df_mean_output_SSP3
43,1.0,2058.0,0.10197958064118495,pulse,rcp85,df_mean_output_SSP3
44,1.0,2059.0,0.10574731099947599,pulse,rcp85,df_mean_output_SSP3
45,1.0,2060.0,0.10587459855784687,pulse,rcp85,df_mean_output_SSP3
46,1.0,2061.0,0.10977303111073411,pulse,rcp85,df_mean_output_SSP3
47,1.0,2062.0,0.11107049520022372,pulse,rcp85,df_mean_output_SSP3
48,1.0,2063.0,0.10845144539295859,pulse,rcp85,df_mean_output_SSP3
49,1.0,2064.0,0.10925139837114273,pulse,rcp85,df_mean_output_SSP3
50,1.0,2065.0,0.11179915825071873,pulse,rcp85,df_mean_output_SSP3
51,1.0,2066.0,0.1123547579797588,pulse,rcp85,df_mean_output_SSP3
52,1.0,2067.0,0.11621258585324767,pulse,rcp85,df_mean_output_SSP3
53,1.0,2068.0,0.12034730552352357,pulse,rcp85,df_mean_output_SSP3
54,1.0,2069.0,0.12544129876138754,pulse,rcp85,df_mean_output_SSP3
55,1.0,2070.0,0.12840601791162953,pulse,rcp85,df_mean_output_SSP3
