year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax
2015,"ss","value",-.0502711,.4550792,-.8885756,.0929553,.4047082
2016,"ss","value",-.044931,.4374315,-.9036769,.1043945,.452688
2017,"ss","value",-.0412626,.3691887,-.7266029,.1150177,.4898569
2018,"ss","value",-.0310256,.2893041,-.5327411,.1313385,.5439752
2019,"ss","value",-.0358401,.3282603,-.5813269,.1356659,.5908411
2020,"ss","value",-.009203,.1520123,-.298316,.1499573,.6200281
2021,"ss","value",.0088889,.0471603,-.0998628,.1627564,.6496592
2022,"ss","value",.0293551,-.0413953,.0213027,.185022,.6868663
2023,"ss","value",.035906,-.0952677,.1222812,.2035401,.7117258
2024,"ss","value",.0278241,-.0626718,.1349318,.2167926,.7473537
2025,"ss","value",.0431077,-.1109964,.1891482,.2303988,.7808254
2026,"ss","value",.023998,-.0040986,.0693179,.25,.816
2027,"ss","value",.0223588,.0059658,.0680186,.27,.876
2028,"ss","value",.0325733,-.0128668,.0798074,.2737382,.9260001
2029,"ss","value",.1158659,-.3212584,.3467077,.2793244,.976
2030,"ss","value",.0908263,-.154057,.171281,.296344,1.036
2031,"ss","value",.1254287,-.2656351,.2800528,.3052537,1.086
2032,"ss","value",.1317382,-.2553999,.269458,.3230438,1.146
2033,"ss","value",.1351495,-.2248362,.23048,.34,1.206
2034,"ss","value",.1388604,-.2291613,.2222305,.3436951,1.256
2035,"ss","value",.128049,-.2249797,.2631237,.3410126,1.316
2036,"ss","value",.1246852,-.2020022,.251283,.3475724,1.376
2037,"ss","value",.1354299,-.1843735,.2240575,.3653474,1.426
2038,"ss","value",.0772959,-.0343382,.1497164,.3843217,1.486
2039,"ss","value",.1029232,-.0360989,.1413862,.4037126,1.536
2040,"ss","value",.1652948,-.1292046,.1685771,.4052308,1.596
2041,"ss","value",.1793237,-.1194025,.1471631,.4187425,1.656
2042,"ss","value",.1518234,-.0280326,.1089918,.4325287,1.706
2043,"ss","value",.2332802,-.1722715,.1772715,.46,1.766
2044,"ss","value",.2737071,-.2798008,.25111,.47,1.826
2045,"ss","value",.2549726,-.2355932,.2401154,.48,1.906
2046,"ss","value",.2714923,-.2366487,.2402081,.49,1.976
2047,"ss","value",.2585445,-.2189045,.2486936,.5,2.056
2048,"ss","value",.2277626,-.1495314,.2291217,.51,2.106
2049,"ss","value",.2260876,-.1142619,.217002,.52,2.156
