var_type,year,pctile,cons,beta1,beta2,anomalymin,anomalymax
"value",2015,.05,-.0874849,.1562233,-.7638963,.0913345,.4047082
"value",2016,.05,-.0601032,-.0352144,-.4704972,.1043945,.452688
"value",2017,.05,-.0670574,-.0331529,-.4155481,.1150177,.4898569
"value",2018,.05,-.0661403,-.0371488,-.4639106,.1313385,.5439752
"value",2019,.05,-.0841597,.0466361,-.5388418,.1356659,.5908411
"value",2020,.05,-.056262,-.1486671,-.2503015,.1499573,.6357951
"value",2021,.05,-.0625073,-.1134048,-.2431515,.1627564,.6857845
"value",2022,.05,-.0574089,-.1349711,-.2095376,.185022,.7193935
"value",2023,.05,-.0302824,-.2432832,-.0762153,.2035401,.7588283
"value",2024,.05,-.0167852,-.2832352,-.0208144,.2167926,.8046947
"value",2025,.05,-.0198232,-.2747453,-.0121546,.2303988,.8440318
"value",2026,.05,-.037748,-.232348,-.0491573,.25,.8832209
"value",2027,.05,-.0311054,-.2248894,-.09093,.27,.9260995
"value",2028,.05,-.0360272,-.1938086,-.1137074,.2737382,.983
"value",2029,.05,.0329997,-.4546357,.0952363,.2793244,1.043
"value",2030,.05,.0815147,-.586963,.1737864,.296344,1.103
"value",2031,.05,.097262,-.6256941,.2094392,.3052537,1.173
"value",2032,.05,.0860323,-.5747612,.1788643,.3230438,1.233
"value",2033,.05,.0485152,-.4863107,.1287356,.34,1.303
"value",2034,.05,-.0071522,-.334242,.0340826,.3436951,1.363
"value",2035,.05,-.056433,-.2349911,.0032724,.3410126,1.443
"value",2036,.05,-.0610423,-.2222749,-.0066481,.3475724,1.513
"value",2037,.05,-.0402457,-.2801355,.0306179,.3653474,1.593
"value",2038,.05,-.0680646,-.2373364,.0200481,.3843217,1.663
"value",2039,.05,-.0540619,-.2270599,-.0031216,.4037126,1.733
"value",2040,.05,-.0007612,-.310338,.0250336,.4052308,1.813
"value",2041,.05,-.0153079,-.2757902,.0103069,.4187425,1.893
"value",2042,.05,-.0329449,-.2614963,.0275635,.4325287,1.983
"value",2043,.05,.1264486,-.5516658,.1589719,.46,2.073
"value",2044,.05,.1324438,-.5564409,.1653283,.47,2.173
"value",2045,.05,.0703365,-.4435572,.1248871,.48,2.273
"value",2046,.05,.1190957,-.5365958,.1677824,.49,2.353
"value",2047,.05,.1284206,-.5583211,.1746137,.5,2.443
"value",2048,.05,.0067453,-.3880437,.1187055,.51,2.533
"value",2049,.05,-.0740166,-.2537429,.0693028,.52,2.623
"value",2050,.05,-.088803,-.2268881,.0600623,.53,2.703
"value",2051,.05,-.1234303,-.1485306,.0313555,.54,2.783
"value",2052,.05,-.1188342,-.1592748,.0363892,.55,2.863
"value",2053,.05,-.0402408,-.2214107,.0451567,.56,2.983
"value",2054,.05,.1201624,-.4169821,.1043271,.57,3.083
"value",2055,.05,.1020285,-.4016663,.1038269,.58,3.173
"value",2056,.05,.1109247,-.4449092,.1215561,.59,3.273
"value",2057,.05,.1447695,-.473893,.1278994,.59,3.373
"value",2058,.05,.1124687,-.4385479,.1219277,.6,3.463
"value",2059,.05,.0669266,-.3746729,.1073996,.61,3.583
"value",2060,.05,.0682951,-.3635133,.1019828,.61,3.713
"value",2061,.05,.033833,-.316078,.0900637,.62,3.803
"value",2062,.05,.0083592,-.2774114,.0810406,.63,3.903
"value",2063,.05,.0360732,-.302755,.0861858,.63,3.993
"value",2064,.05,.0718595,-.3334051,.092018,.64,4.123
"value",2065,.05,.1247749,-.4012214,.1139669,.64,4.263
