year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax
2015,"ss","value",.0062824,.0187055,-.0719582,.0913345,.4047082
2016,"ss","value",.002646,.0752184,-.2036164,.1043945,.452688
2017,"ss","value",.0023377,.0655872,-.1759419,.1150177,.4898569
2018,"ss","value",.0087901,.033775,-.1312979,.1313385,.5439752
2019,"ss","value",-.0104102,.1435389,-.2646695,.1356659,.5908411
2020,"ss","value",.0014507,.0870875,-.1723709,.1499573,.6357951
2021,"ss","value",.0270972,-.0471521,.0333383,.1627564,.6857845
2022,"ss","value",.0373207,-.0523621,.025525,.185022,.7193935
2023,"ss","value",.0414144,-.0426273,.0231617,.2035401,.7588283
2024,"ss","value",.0542748,-.0727185,.0696666,.2167926,.8046947
2025,"ss","value",.070761,-.1377562,.1517717,.2303988,.8440318
2026,"ss","value",.0673813,-.0970519,.0934742,.25,.8832209
2027,"ss","value",.0511864,-.0185183,.0266743,.27,.9260995
2028,"ss","value",.0546206,-.0393803,.0664623,.2737382,.983
2029,"ss","value",.0876626,-.1555945,.1646201,.2793244,1.043
2030,"ss","value",.1089094,-.2094401,.2037768,.296344,1.103
2031,"ss","value",.0685359,-.0682347,.1258723,.3052537,1.173
2032,"ss","value",.029453,.0811529,.0265051,.3230438,1.233
2033,"ss","value",.0340285,.0687729,.0374804,.34,1.303
2034,"ss","value",.0024832,.1760906,-.0325246,.3436951,1.363
2035,"ss","value",-.0230897,.2346768,-.0459941,.3410126,1.443
2036,"ss","value",-.0086364,.1915308,-.014137,.3475724,1.513
2037,"ss","value",-.0214183,.2214007,-.0270661,.3653474,1.593
2038,"ss","value",-.0361182,.2836372,-.0549649,.3843217,1.663
2039,"ss","value",-.0211998,.2787696,-.0489777,.4037126,1.733
2040,"ss","value",.0405303,.1642157,.005861,.4052308,1.813
2041,"ss","value",.0695164,.1165866,.0332572,.4187425,1.893
2042,"ss","value",.0903925,.0972795,.0534991,.4325287,1.983
2043,"ss","value",.125692,.0356049,.0893701,.46,2.073
2044,"ss","value",.0974211,.0881376,.0779822,.47,2.173
2045,"ss","value",.0662176,.1443982,.0656902,.48,2.273
2046,"ss","value",.1119011,.0700221,.1034102,.49,2.353
2047,"ss","value",.0999208,.0971234,.0987835,.5,2.443
2048,"ss","value",.0877131,.1151848,.0998612,.51,2.533
2049,"ss","value",.0777404,.1371096,.1004892,.52,2.623
2050,"ss","value",.133444,.0650939,.128886,.53,2.703
2051,"ss","value",.1486508,.0567709,.140412,.54,2.783
2052,"ss","value",.1028463,.1430269,.113664,.55,2.863
2053,"ss","value",.1594145,.0974513,.1315457,.56,2.983
2054,"ss","value",.2097608,.0482382,.1487614,.57,3.083
2055,"ss","value",.1231928,.1650034,.1232641,.58,3.173
2056,"ss","value",.1208742,.1596913,.1296677,.59,3.273
2057,"ss","value",.1582778,.1209666,.1467444,.59,3.373
2058,"ss","value",.0913866,.2027854,.132655,.6,3.463
2059,"ss","value",.1115817,.2005035,.1384919,.61,3.583
2060,"ss","value",.1570423,.1786098,.1443681,.61,3.713
2061,"ss","value",.172168,.1760752,.1510519,.62,3.803
2062,"ss","value",.1953512,.170667,.1567579,.63,3.903
2063,"ss","value",.2939052,.0763326,.1790749,.63,3.993
2064,"ss","value",.2873375,.1047968,.1738141,.64,4.123
2065,"ss","value",.3165231,.0780873,.1869187,.64,4.263
2066,"ss","value",.4125979,-.0060314,.2107221,.65,4.423
2067,"ss","value",.3717594,.0547761,.199781,.65,4.603
2068,"ss","value",.3037415,.1354401,.1863348,.66,4.753
2069,"ss","value",.2713531,.1363701,.1961279,.66,4.863
2070,"ss","value",.2971655,.1174859,.2061527,.66,4.983
2071,"ss","value",.237994,.1843173,.1936104,.67,5.093
2072,"ss","value",.2233474,.2058746,.1941988,.67,5.203
2073,"ss","value",.2639126,.1815172,.2030939,.67,5.313
2074,"ss","value",.2796778,.1777861,.2085329,.67,5.423
2075,"ss","value",.2784951,.1749607,.2170919,.68,5.553
2076,"ss","value",.3181232,.1654788,.2209818,.68,5.703
2077,"ss","value",.3255442,.1606873,.2288324,.68,5.863
2078,"ss","value",.3198293,.1735219,.2347781,.68,6.043
2079,"ss","value",.3239052,.1760529,.2390925,.68,6.243
2080,"ss","value",.3904129,.1243278,.2505964,.68,6.403
2081,"ss","value",.3898903,.1018908,.2664988,.68,6.573
2082,"ss","value",.4086983,.0822736,.2756057,.68,6.723
2083,"ss","value",.4156725,.0468123,.2872085,.68,6.883
2084,"ss","value",.4715465,.0191704,.2960805,.68,7.033
2085,"ss","value",.4491722,.041092,.2961517,.68,7.183
2086,"ss","value",.4940783,.0114724,.3024283,.68,7.303
2087,"ss","value",.5673751,-.0488839,.3171798,.68,7.433
2088,"ss","value",.6531001,-.0864979,.3260037,.69,7.553
2089,"ss","value",.6313041,-.0742365,.3278825,.69,7.773
2090,"ss","value",.6686802,-.0985516,.3384479,.69,7.902999
2091,"ss","value",.6687641,-.1141858,.3476306,.69,8.033
2092,"ss","value",.6476749,-.0967136,.3488042,.69,8.163
2093,"ss","value",.6571555,-.1204308,.3586133,.69,8.283
2094,"ss","value",.716236,-.1474381,.3651662,.69,8.403
2095,"ss","value",.7059549,-.1391898,.3658981,.69,8.513
2096,"ss","value",.7338526,-.1348554,.3682944,.69,8.653
2097,"ss","value",.7968821,-.1756928,.3793514,.69,8.873
2098,"ss","value",.796758,-.1581313,.377113,.69,9.073
2099,"ss","value",.759887,-.1394033,.3790281,.69,9.243
2100,"ss","value",.8210285,-.1811974,.3945237,0,11
2101,"ss","value",.842029,-.1924514,.4006421,0,11
2102,"ss","value",.8630294,-.2037054,.4067605,0,11
2103,"ss","value",.8840299,-.2149594,.4128788,0,11
2104,"ss","value",.9050304,-.2262133,.4189972,0,11
2105,"ss","value",.9260308,-.2374673,.4251156,0,11
2106,"ss","value",.9470313,-.2487212,.431234,0,11
2107,"ss","value",.9680317,-.2599752,.4373524,0,11
2108,"ss","value",.9890321,-.2712292,.4434708,0,11
2109,"ss","value",1.010033,-.2824831,.4495892,0,11
2110,"ss","value",1.031033,-.2937371,.4557076,0,11
2111,"ss","value",1.052034,-.3049911,.461826,0,11
2112,"ss","value",1.073034,-.316245,.4679444,0,11
2113,"ss","value",1.094034,-.327499,.4740628,0,11
2114,"ss","value",1.115035,-.338753,.4801812,0,11
2115,"ss","value",1.136035,-.3500069,.4862995,0,11
2116,"ss","value",1.157036,-.3612609,.4924179,0,11
2117,"ss","value",1.178036,-.3725149,.4985363,0,11
2118,"ss","value",1.199037,-.3837688,.5046547,0,11
2119,"ss","value",1.220037,-.3950228,.5107731,0,11
2120,"ss","value",1.241038,-.4062768,.5168915,0,11
2121,"ss","value",1.262038,-.4175307,.5230099,0,11
2122,"ss","value",1.283038,-.4287847,.5291283,0,11
2123,"ss","value",1.304039,-.4400387,.5352467,0,11
2124,"ss","value",1.325039,-.4512926,.5413651,0,11
2125,"ss","value",1.34604,-.4625466,.5474834,0,11
2126,"ss","value",1.36704,-.4738005,.5536019,0,11
2127,"ss","value",1.388041,-.4850545,.5597203,0,11
2128,"ss","value",1.409041,-.4963085,.5658386,0,11
2129,"ss","value",1.430042,-.5075625,.5719571,0,11
2130,"ss","value",1.451042,-.5188164,.5780754,0,11
2131,"ss","value",1.472043,-.5300704,.5841938,0,11
2132,"ss","value",1.493043,-.5413243,.5903122,0,11
2133,"ss","value",1.514043,-.5525783,.5964306,0,11
2134,"ss","value",1.535044,-.5638323,.602549,0,11
2135,"ss","value",1.556044,-.5750862,.6086674,0,11
2136,"ss","value",1.577045,-.5863402,.6147858,0,11
2137,"ss","value",1.598045,-.5975941,.6209041,0,11
2138,"ss","value",1.619046,-.6088482,.6270226,0,11
2139,"ss","value",1.640046,-.6201021,.633141,0,11
2140,"ss","value",1.661047,-.6313561,.6392593,0,11
2141,"ss","value",1.682047,-.64261,.6453778,0,11
2142,"ss","value",1.703048,-.653864,.6514961,0,11
2143,"ss","value",1.724048,-.665118,.6576145,0,11
2144,"ss","value",1.745049,-.6763719,.6637329,0,11
2145,"ss","value",1.766049,-.6876259,.6698513,0,11
2146,"ss","value",1.787049,-.6988798,.6759697,0,11
2147,"ss","value",1.80805,-.7101339,.6820881,0,11
2148,"ss","value",1.82905,-.7213878,.6882065,0,11
2149,"ss","value",1.850051,-.7326418,.6943249,0,11
2150,"ss","value",1.871051,-.7438957,.7004433,0,11
2151,"ss","value",1.892052,-.7551497,.7065616,0,11
2152,"ss","value",1.913052,-.7664037,.71268,0,11
2153,"ss","value",1.934053,-.7776576,.7187985,0,11
2154,"ss","value",1.955053,-.7889116,.7249168,0,11
2155,"ss","value",1.976053,-.8001655,.7310352,0,11
2156,"ss","value",1.997054,-.8114195,.7371536,0,11
2157,"ss","value",2.018054,-.8226735,.743272,0,11
2158,"ss","value",2.039055,-.8339275,.7493904,0,11
2159,"ss","value",2.060055,-.8451814,.7555088,0,11
2160,"ss","value",2.081056,-.8564354,.7616272,0,11
2161,"ss","value",2.102056,-.8676893,.7677456,0,11
2162,"ss","value",2.123057,-.8789433,.773864,0,11
2163,"ss","value",2.144057,-.8901973,.7799823,0,11
2164,"ss","value",2.165057,-.9014512,.7861007,0,11
2165,"ss","value",2.186058,-.9127052,.7922192,0,11
2166,"ss","value",2.207058,-.9239591,.7983375,0,11
2167,"ss","value",2.228059,-.9352131,.8044559,0,11
2168,"ss","value",2.249059,-.9464671,.8105743,0,11
2169,"ss","value",2.27006,-.9577211,.8166927,0,11
2170,"ss","value",2.29106,-.968975,.8228111,0,11
2171,"ss","value",2.312061,-.980229,.8289295,0,11
2172,"ss","value",2.333061,-.991483,.8350479,0,11
2173,"ss","value",2.354062,-1.002737,.8411663,0,11
2174,"ss","value",2.375062,-1.013991,.8472847,0,11
2175,"ss","value",2.396063,-1.025245,.853403,0,11
2176,"ss","value",2.417063,-1.036499,.8595214,0,11
2177,"ss","value",2.438063,-1.047753,.8656399,0,11
2178,"ss","value",2.459064,-1.059007,.8717582,0,11
2179,"ss","value",2.480064,-1.070261,.8778766,0,11
2180,"ss","value",2.501065,-1.081515,.883995,0,11
2181,"ss","value",2.522065,-1.092769,.8901134,0,11
2182,"ss","value",2.543066,-1.104023,.8962318,0,11
2183,"ss","value",2.564066,-1.115277,.9023502,0,11
2184,"ss","value",2.585067,-1.126531,.9084686,0,11
2185,"ss","value",2.606067,-1.137784,.914587,0,11
2186,"ss","value",2.627068,-1.149038,.9207054,0,11
2187,"ss","value",2.648068,-1.160292,.9268237,0,11
2188,"ss","value",2.669068,-1.171546,.9329422,0,11
2189,"ss","value",2.690069,-1.1828,.9390606,0,11
2190,"ss","value",2.711069,-1.194054,.9451789,0,11
2191,"ss","value",2.73207,-1.205308,.9512973,0,11
2192,"ss","value",2.75307,-1.216562,.9574157,0,11
2193,"ss","value",2.774071,-1.227816,.9635341,0,11
2194,"ss","value",2.795071,-1.23907,.9696525,0,11
2195,"ss","value",2.816072,-1.250324,.9757709,0,11
2196,"ss","value",2.837072,-1.261578,.9818893,0,11
2197,"ss","value",2.858073,-1.272832,.9880077,0,11
2198,"ss","value",2.879073,-1.284086,.9941261,0,11
2199,"ss","value",2.900073,-1.29534,1.000244,0,11
2200,"ss","value",2.921074,-1.306594,1.006363,0,11
2201,"ss","value",2.942074,-1.317848,1.012481,0,11
2202,"ss","value",2.963075,-1.329102,1.0186,0,11
2203,"ss","value",2.984075,-1.340356,1.024718,0,11
2204,"ss","value",3.005076,-1.35161,1.030836,0,11
2205,"ss","value",3.026076,-1.362864,1.036955,0,11
2206,"ss","value",3.047076,-1.374118,1.043073,0,11
