year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax,ssp,global_consumption,ratio
2020,"ss","value",0,.0874307,-.1616729,.1499573,.6357951,"SSP3",1.293e+14,
2021,"ss","value",0,.0760064,-.0902655,.1627564,.6857845,"SSP3",1.334e+14,
2022,"ss","value",0,.1132269,-.1393507,.185022,.7193935,"SSP3",1.378e+14,
2023,"ss","value",0,.1214307,-.1199408,.2035401,.7588283,"SSP3",1.424e+14,
2024,"ss","value",0,.1350824,-.1099424,.2167926,.8046947,"SSP3",1.471e+14,
2025,"ss","value",0,.1198487,-.0626942,.2303988,.8440318,"SSP3",1.521e+14,
2026,"ss","value",0,.1319326,-.0851527,.25,.8832209,"SSP3",1.560e+14,
2027,"ss","value",0,.1433283,-.0947334,.27,.9260995,"SSP3",1.599e+14,
2028,"ss","value",0,.1252482,-.0536224,.2737382,.983,"SSP3",1.640e+14,
2029,"ss","value",0,.1029867,-.0181209,.2793244,1.043,"SSP3",1.682e+14,
2030,"ss","value",0,.0968737,-.0022144,.296344,1.103,"SSP3",1.725e+14,
2031,"ss","value",0,.0995021,.0165003,.3052537,1.173,"SSP3",1.758e+14,
2032,"ss","value",0,.1264713,-.0024454,.3230438,1.233,"SSP3",1.793e+14,
2033,"ss","value",0,.1132003,.0132574,.34,1.303,"SSP3",1.828e+14,
2034,"ss","value",0,.1377103,-.0098351,.3436951,1.363,"SSP3",1.863e+14,
2035,"ss","value",0,.1319949,.0086728,.3410126,1.443,"SSP3",1.900e+14,
2036,"ss","value",0,.121146,.0215698,.3475724,1.513,"SSP3",1.930e+14,
2037,"ss","value",0,.1220816,.0231431,.3653474,1.593,"SSP3",1.960e+14,
2038,"ss","value",0,.1518139,.0074338,.3843217,1.663,"SSP3",1.991e+14,
2039,"ss","value",0,.172144,.0000781,.4037126,1.733,"SSP3",2.023e+14,
2040,"ss","value",0,.1737166,.001779,.4052308,1.813,"SSP3",2.055e+14,
2041,"ss","value",0,.1836884,.0004007,.4187425,1.893,"SSP3",2.082e+14,
2042,"ss","value",0,.1914745,.0085759,.4325287,1.983,"SSP3",2.109e+14,
2043,"ss","value",0,.1819886,.0242638,.46,2.073,"SSP3",2.137e+14,
2044,"ss","value",0,.1746901,.0355566,.47,2.173,"SSP3",2.165e+14,
2045,"ss","value",0,.1760269,.040989,.48,2.273,"SSP3",2.193e+14,
2046,"ss","value",0,.163778,.0560249,.49,2.353,"SSP3",2.216e+14,
2047,"ss","value",0,.1654402,.0586498,.5,2.443,"SSP3",2.240e+14,
2048,"ss","value",0,.1600546,.0656847,.51,2.533,"SSP3",2.263e+14,
2049,"ss","value",0,.1623576,.0707664,.52,2.623,"SSP3",2.287e+14,
2050,"ss","value",0,.1583584,.0780762,.53,2.703,"SSP3",2.312e+14,
2051,"ss","value",0,.1616383,.0839411,.54,2.783,"SSP3",2.333e+14,
2052,"ss","value",0,.1742467,.0783998,.55,2.863,"SSP3",2.354e+14,
2053,"ss","value",0,.182798,.0805362,.56,2.983,"SSP3",2.376e+14,
2054,"ss","value",0,.1839407,.0835279,.57,3.083,"SSP3",2.398e+14,
2055,"ss","value",0,.1874826,.0862434,.58,3.173,"SSP3",2.420e+14,
2056,"ss","value",0,.1744703,.0932448,.59,3.273,"SSP3",2.441e+14,
2057,"ss","value",0,.1699153,.1000516,.59,3.373,"SSP3",2.462e+14,
2058,"ss","value",0,.1695426,.1046238,.6,3.463,"SSP3",2.483e+14,
2059,"ss","value",0,.1741416,.1077459,.61,3.583,"SSP3",2.504e+14,
2060,"ss","value",0,.1838184,.1061953,.61,3.713,"SSP3",2.526e+14,
2061,"ss","value",0,.1856086,.1101253,.62,3.803,"SSP3",2.547e+14,
2062,"ss","value",0,.1936881,.1104377,.63,3.903,"SSP3",2.568e+14,
2063,"ss","value",0,.1838461,.1147501,.63,3.993,"SSP3",2.589e+14,
2064,"ss","value",0,.1926098,.1131126,.64,4.123,"SSP3",2.611e+14,
2065,"ss","value",0,.1855824,.1199037,.64,4.263,"SSP3",2.633e+14,
