year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax
2015,"ss","value",0,.069934,-.1656374,.0913345,.4047082
2016,"ss","value",0,.0947342,-.2359231,.1043945,.452688
2017,"ss","value",0,.081351,-.1998226,.1150177,.4898569
2018,"ss","value",0,.0884543,-.2078158,.1313385,.5439752
2019,"ss","value",0,.0836807,-.1871441,.1356659,.5908411
2020,"ss","value",0,.0948438,-.1817165,.1499573,.6357951
2021,"ss","value",0,.0880842,-.1188195,.1627564,.6857845
2022,"ss","value",0,.1222254,-.1586365,.185022,.7193935
2023,"ss","value",0,.1391739,-.1567755,.2035401,.7588283
2024,"ss","value",0,.1515102,-.1392087,.2167926,.8046947
2025,"ss","value",0,.1377436,-.090156,.2303988,.8440318
2026,"ss","value",0,.1508882,-.1122509,.25,.8832209
2027,"ss","value",0,.1599122,-.1135523,.27,.9260995
2028,"ss","value",0,.1412582,-.0682591,.2737382,.983
2029,"ss","value",0,.1195569,-.0302184,.2793244,1.043
2030,"ss","value",0,.1157097,-.0152886,.296344,1.103
2031,"ss","value",0,.1265335,.0009144,.3052537,1.173
2032,"ss","value",0,.1610859,-.0224796,.3230438,1.233
2033,"ss","value",0,.1569253,-.0140883,.34,1.303
2034,"ss","value",0,.1822433,-.0359673,.3436951,1.363
2035,"ss","value",0,.1799123,-.0166655,.3410126,1.443
2036,"ss","value",0,.1718925,-.0040572,.3475724,1.513
2037,"ss","value",0,.1746183,-.0040154,.3653474,1.593
2038,"ss","value",0,.2078088,-.0190861,.3843217,1.663
2039,"ss","value",0,.2359648,-.0295184,.4037126,1.733
2040,"ss","value",0,.2429072,-.028509,.4052308,1.813
2041,"ss","value",0,.2464009,-.0212203,.4187425,1.893
2042,"ss","value",0,.2596042,-.0119267,.4325287,1.983
2043,"ss","value",0,.2526127,.0054013,.46,2.073
2044,"ss","value",0,.2502217,.0176387,.47,2.173
2045,"ss","value",0,.2507043,.0275693,.48,2.273
2046,"ss","value",0,.2436527,.0433342,.49,2.353
2047,"ss","value",0,.2472173,.0485959,.5,2.443
2048,"ss","value",0,.2429952,.0584652,.51,2.533
2049,"ss","value",0,.247142,.0659213,.52,2.623
2050,"ss","value",0,.2487463,.0728456,.53,2.703
2051,"ss","value",0,.2553932,.0816427,.54,2.783
2052,"ss","value",0,.2764629,.075373,.55,2.863
2053,"ss","value",0,.2984203,.0755816,.56,2.983
2054,"ss","value",0,.3052527,.0793039,.57,3.083
2055,"ss","value",0,.3117354,.0847786,.58,3.173
2056,"ss","value",0,.299869,.093923,.59,3.273
2057,"ss","value",0,.299611,.1024834,.59,3.373
2058,"ss","value",0,.3030995,.1085314,.6,3.463
2059,"ss","value",0,.3198129,.1105979,.61,3.583
2060,"ss","value",0,.342361,.1071105,.61,3.713
2061,"ss","value",0,.3513121,.1122144,.62,3.803
2062,"ss","value",0,.3647192,.1148768,.63,3.903
2063,"ss","value",0,.3611672,.1192358,.63,3.993
2064,"ss","value",0,.3760137,.1184731,.64,4.123
2065,"ss","value",0,.3685292,.1294977,.64,4.263
2066,"ss","value",0,.3620694,.1402233,.65,4.423
2067,"ss","value",0,.3779531,.1396718,.65,4.603
2068,"ss","value",0,.3931614,.1396939,.66,4.753
2069,"ss","value",0,.3615029,.1563971,.66,4.863
2070,"ss","value",0,.3590192,.1644882,.66,4.983
2071,"ss","value",0,.3740666,.1615672,.67,5.093
2072,"ss","value",0,.3806835,.1652747,.67,5.203
2073,"ss","value",0,.3843237,.1702142,.67,5.313
2074,"ss","value",0,.3886651,.1750636,.67,5.423
2075,"ss","value",0,.3808006,.1851558,.68,5.553
2076,"ss","value",0,.3956808,.18613,.68,5.703
2077,"ss","value",0,.3909347,.1948975,.68,5.863
2078,"ss","value",0,.3947029,.2030332,.68,6.043
2079,"ss","value",0,.3951832,.2084516,.68,6.243
2080,"ss","value",0,.3830015,.2153088,.68,6.403
2081,"ss","value",0,.3550775,.2327705,.68,6.573
2082,"ss","value",0,.3427486,.2416594,.68,6.723
2083,"ss","value",0,.3069932,.2540081,.68,6.883
2084,"ss","value",0,.309458,.2597444,.68,7.033
2085,"ss","value",0,.313239,.2627055,.68,7.183
2086,"ss","value",0,.3063993,.266793,.68,7.303
2087,"ss","value",0,.2842487,.2776941,.68,7.433
2088,"ss","value",0,.2909811,.2820698,.69,7.553
2089,"ss","value",0,.2850818,.2868018,.69,7.773
2090,"ss","value",0,.276431,.2963112,.69,7.902999
2091,"ss","value",0,.2554989,.3067765,.69,8.033
2092,"ss","value",0,.2567562,.3103028,.69,8.163
2093,"ss","value",0,.2338302,.3205525,.69,8.283
2094,"ss","value",0,.2339166,.3247608,.69,8.403
2095,"ss","value",0,.2314197,.3272653,.69,8.513
2096,"ss","value",0,.2445253,.3294548,.69,8.653
2097,"ss","value",0,.2298634,.3386008,.69,8.873
2098,"ss","value",0,.2444119,.3370155,.69,9.073
2099,"ss","value",0,.2413965,.3414737,.69,9.243
2100,"ss","value",0,.2246867,.3554339,0,11
2101,"ss","value",0,.2197881,.361504,0,11
2102,"ss","value",0,.2148896,.3675741,0,11
2103,"ss","value",0,.209991,.3736441,0,11
2104,"ss","value",0,.2050924,.3797142,0,11
2105,"ss","value",0,.2001939,.3857842,0,11
2106,"ss","value",0,.1952953,.3918543,0,11
2107,"ss","value",0,.1903967,.3979244,0,11
2108,"ss","value",0,.1854982,.4039944,0,11
2109,"ss","value",0,.1805996,.4100645,0,11
2110,"ss","value",0,.175701,.4161346,0,11
2111,"ss","value",0,.1708025,.4222046,0,11
2112,"ss","value",0,.1659039,.4282747,0,11
2113,"ss","value",0,.1610053,.4343447,0,11
2114,"ss","value",0,.1561068,.4404148,0,11
2115,"ss","value",0,.1512082,.4464849,0,11
2116,"ss","value",0,.1463096,.4525549,0,11
2117,"ss","value",0,.1414111,.458625,0,11
2118,"ss","value",0,.1365125,.4646951,0,11
2119,"ss","value",0,.1316139,.4707651,0,11
2120,"ss","value",0,.1267153,.4768352,0,11
2121,"ss","value",0,.1218168,.4829052,0,11
2122,"ss","value",0,.1169182,.4889753,0,11
2123,"ss","value",0,.1120196,.4950454,0,11
2124,"ss","value",0,.1071211,.5011154,0,11
2125,"ss","value",0,.1022225,.5071855,0,11
2126,"ss","value",0,.0973239,.5132555,0,11
2127,"ss","value",0,.0924254,.5193256,0,11
2128,"ss","value",0,.0875268,.5253957,0,11
2129,"ss","value",0,.0826282,.5314657,0,11
2130,"ss","value",0,.0777297,.5375358,0,11
2131,"ss","value",0,.0728311,.5436059,0,11
2132,"ss","value",0,.0679325,.5496759,0,11
2133,"ss","value",0,.063034,.555746,0,11
2134,"ss","value",0,.0581354,.561816,0,11
2135,"ss","value",0,.0532368,.5678861,0,11
2136,"ss","value",0,.0483383,.5739562,0,11
2137,"ss","value",0,.0434397,.5800262,0,11
2138,"ss","value",0,.0385411,.5860963,0,11
2139,"ss","value",0,.0336426,.5921664,0,11
2140,"ss","value",0,.028744,.5982364,0,11
2141,"ss","value",0,.0238454,.6043065,0,11
2142,"ss","value",0,.0189469,.6103765,0,11
2143,"ss","value",0,.0140483,.6164466,0,11
2144,"ss","value",0,.0091497,.6225167,0,11
2145,"ss","value",0,.0042512,.6285867,0,11
2146,"ss","value",0,-.0006474,.6346568,0,11
2147,"ss","value",0,-.005546,.6407269,0,11
2148,"ss","value",0,-.0104445,.6467969,0,11
2149,"ss","value",0,-.0153431,.652867,0,11
2150,"ss","value",0,-.0202417,.658937,0,11
2151,"ss","value",0,-.0251402,.6650071,0,11
2152,"ss","value",0,-.0300388,.6710772,0,11
2153,"ss","value",0,-.0349374,.6771472,0,11
2154,"ss","value",0,-.039836,.6832173,0,11
2155,"ss","value",0,-.0447345,.6892874,0,11
2156,"ss","value",0,-.0496331,.6953574,0,11
2157,"ss","value",0,-.0545317,.7014275,0,11
2158,"ss","value",0,-.0594302,.7074975,0,11
2159,"ss","value",0,-.0643288,.7135676,0,11
2160,"ss","value",0,-.0692274,.7196376,0,11
2161,"ss","value",0,-.0741259,.7257077,0,11
2162,"ss","value",0,-.0790245,.7317778,0,11
2163,"ss","value",0,-.0839231,.7378479,0,11
2164,"ss","value",0,-.0888216,.7439179,0,11
2165,"ss","value",0,-.0937202,.749988,0,11
2166,"ss","value",0,-.0986188,.756058,0,11
2167,"ss","value",0,-.1035173,.7621281,0,11
2168,"ss","value",0,-.1084159,.7681981,0,11
2169,"ss","value",0,-.1133145,.7742682,0,11
2170,"ss","value",0,-.118213,.7803383,0,11
2171,"ss","value",0,-.1231116,.7864084,0,11
2172,"ss","value",0,-.1280102,.7924784,0,11
2173,"ss","value",0,-.1329087,.7985485,0,11
2174,"ss","value",0,-.1378073,.8046185,0,11
2175,"ss","value",0,-.1427059,.8106886,0,11
