year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax,ssp,global_consumption,ratio
2018,"ss","value",0,.0899698,-.2460199,.1313385,.5439752,"SSP1",1.217e+14,
2019,"ss","value",0,.1135605,-.2932122,.1356659,.5908411,"SSP1",1.273e+14,
2020,"ss","value",0,.1003884,-.2334377,.1499573,.6200281,"SSP1",1.333e+14,
2021,"ss","value",0,.094004,-.1551914,.1627564,.6496592,"SSP1",1.389e+14,
2022,"ss","value",0,.1042497,-.1406753,.185022,.6868663,"SSP1",1.448e+14,
2023,"ss","value",0,.0726428,-.0537865,.2035401,.7117258,"SSP1",1.511e+14,
2024,"ss","value",0,.0601638,.0132813,.2167926,.7473537,"SSP1",1.577e+14,
2025,"ss","value",0,.0683776,.0216299,.2303988,.7808254,"SSP1",1.647e+14,
2026,"ss","value",0,.090375,-.0140839,.25,.816,"SSP1",1.710e+14,
2027,"ss","value",0,.089578,-.0020385,.27,.876,"SSP1",1.775e+14,
2028,"ss","value",0,.1029708,-.0124612,.2737382,.9260001,"SSP1",1.844e+14,
2029,"ss","value",0,.0710283,.0491966,.2793244,.976,"SSP1",1.916e+14,
2030,"ss","value",0,.1388779,-.0403844,.296344,1.036,"SSP1",1.991e+14,
2031,"ss","value",0,.1197602,.0146169,.3052537,1.086,"SSP1",2.058e+14,
2032,"ss","value",0,.1319139,.0142249,.3230438,1.146,"SSP1",2.127e+14,
2033,"ss","value",0,.1557438,-.0097486,.34,1.206,"SSP1",2.200e+14,
2034,"ss","value",0,.1458857,-.0047539,.3436951,1.256,"SSP1",2.275e+14,
2035,"ss","value",0,.1075828,.0696234,.3410126,1.316,"SSP1",2.353e+14,
2036,"ss","value",0,.1098775,.0765547,.3475724,1.376,"SSP1",2.420e+14,
2037,"ss","value",0,.1425381,.0473858,.3653474,1.426,"SSP1",2.490e+14,
2038,"ss","value",0,.1458862,.0557163,.3843217,1.486,"SSP1",2.563e+14,
2039,"ss","value",0,.1957191,.0246605,.4037126,1.536,"SSP1",2.638e+14,
2040,"ss","value",0,.2310145,-.0068433,.4052308,1.596,"SSP1",2.715e+14,
2041,"ss","value",0,.2588652,-.0310546,.4187425,1.656,"SSP1",2.783e+14,
2042,"ss","value",0,.282049,-.0323498,.4325287,1.706,"SSP1",2.853e+14,
2043,"ss","value",0,.2882142,-.0253545,.46,1.766,"SSP1",2.925e+14,
2044,"ss","value",0,.2425504,.0291992,.47,1.826,"SSP1",3.000e+14,
2045,"ss","value",0,.2344554,.047602,.48,1.906,"SSP1",3.077e+14,
2046,"ss","value",0,.2485772,.0479179,.49,1.976,"SSP1",3.143e+14,
2047,"ss","value",0,.2304374,.0758513,.5,2.056,"SSP1",3.211e+14,
2048,"ss","value",0,.2364631,.0845518,.51,2.106,"SSP1",3.281e+14,
2049,"ss","value",0,.2601734,.080122,.52,2.156,"SSP1",3.353e+14,
2050,"ss","value",0,.3187135,.0457941,.53,2.206,"SSP1",3.427e+14,
2051,"ss","value",0,.3287586,.0618223,.54,2.256,"SSP1",3.492e+14,
2052,"ss","value",0,.3291856,.0722357,.55,2.306,"SSP1",3.558e+14,
2053,"ss","value",0,.3889615,.0453843,.56,2.346,"SSP1",3.627e+14,
2054,"ss","value",0,.3978827,.048458,.57,2.396,"SSP1",3.697e+14,
