year,cons,beta1,beta2
2018,0,.0963968,-.2139271
2019,0,.098556,-.209911
2020,0,.1132389,-.2075283
2021,0,.0986299,-.1163759
2022,0,.1460189,-.1787865
2023,0,.1564069,-.153874
2024,0,.1737907,-.1410805
2025,0,.1543407,-.0807596
2026,0,.1697526,-.1093443
2027,0,.1842023,-.1213923
2028,0,.16108,-.0688443
2029,0,.1327322,-.0235884
2030,0,.1248649,-.0031749
2031,0,.1281902,.0207205
2032,0,.1625507,-.0034055
2033,0,.1455874,.0166706
2034,0,.1767786,-.0126935
2035,0,.1694744,.0109246
2036,0,.1555817,.0274479
2037,0,.1568486,.0293908
2038,0,.1947516,.0093872
2039,0,.2206172,.0000806
2040,0,.2225653,.0023142
2041,0,.23523,.0006138
2042,0,.2451462,.0110419
2043,0,.2330084,.031075
2044,0,.2236374,.0455107
2045,0,.2252548,.0524996
2046,0,.2095241,.0717512
2047,0,.2116264,.0751194
2048,0,.2047551,.0841022
2049,0,.207609,.0906575
2050,0,.2024473,.1000198
2051,0,.2065215,.1075758
2052,0,.2225817,.1005286
2053,0,.2333616,.1033404
2054,0,.2348035,.1071581
2055,0,.2392991,.1106356
2056,0,.2226897,.1195751
2057,0,.2168512,.1282764
2058,0,.2163163,.1341371
2059,0,.2220114,.1382137
2060,0,.2342952,.1362778
2061,0,.2364631,.141349
2062,0,.2466952,.1417834
2063,0,.2340041,.1473529
2064,0,.245185,.1452687
2065,0,.2360977,.1539915
2066,0,.2289718,.1616787
2067,0,.2399191,.1606074
2068,0,.254365,.1588604
2069,0,.2262041,.1722774
2070,0,.2207735,.1789086
2071,0,.2316991,.1751457
2072,0,.2360732,.1766176
2073,0,.2342056,.1810926
2074,0,.23222,.1855749
2075,0,.2248878,.1926427
2076,0,.2377071,.1920384
2077,0,.2337198,.1981803
2078,0,.2297825,.2063126
2079,0,.2308003,.2093877
2080,0,.2191457,.2145752
2081,0,.1984174,.2275627
2082,0,.1894564,.2330589
2083,0,.1614715,.2418549
2084,0,.1649082,.2455409
2085,0,.1684899,.2469816
2086,0,.160198,.2497248
2087,0,.1478299,.2565477
2088,0,.1540347,.2592841
2089,0,.1514255,.2621776
2090,0,.1443689,.269357
2091,0,.1343617,.2755872
2092,0,.1369759,.2771593
2093,0,.119612,.2850686
2094,0,.1189125,.2882235
2095,0,.1203296,.2887927
2096,0,.1344956,.2892815
2097,0,.129854,.294607
2098,0,.1399176,.2924775
2099,0,.1369904,.2948555
2100,0,.1376005,.2961688
2101,0,.1382134,.2974879
2102,0,.138829,.298813
2103,0,.1394474,.3001439
2104,0,.1400685,.3014808
2105,0,.1406924,.3028236
2106,0,.141319,.3041724
2107,0,.1419484,.3055272
2108,0,.1425807,.306888
2109,0,.1432158,.3082549
2110,0,.1438537,.309628
2111,0,.1444944,.311007
2112,0,.145138,.3123923
2113,0,.1457844,.3137837
2114,0,.1464338,.3151813
2115,0,.147086,.3165852
2116,0,.1477411,.3179953
2117,0,.1483992,.3194116
2118,0,.1490602,.3208343
2119,0,.1497241,.3222633
2120,0,.150391,.3236987
2121,0,.1510608,.3251405
2122,0,.1517337,.3265887
2123,0,.1524095,.3280433
2124,0,.1530883,.3295045
2125,0,.1537702,.3309721
2126,0,.1544551,.3324462
2127,0,.1551431,.333927
2128,0,.1558341,.3354143
2129,0,.1565282,.3369083
2130,0,.1572254,.3384089
2131,0,.1579256,.3399162
2132,0,.1586291,.3414302
2133,0,.1593356,.342951
2134,0,.1600453,.3444785
2135,0,.1607582,.3460129
2136,0,.1614742,.347554
2137,0,.1621934,.349102
2138,0,.1629158,.350657
2139,0,.1636415,.3522188
2140,0,.1643703,.3537876
