,discrate,year,rcp,variable,pulse,damages
0,1.0,2020.0,rcp45,ce_betas_SSP3,pulse,0.0032208551494106153
1,1.0,2020.0,rcp85,ce_betas_SSP3,pulse,-0.0006123309998514415
2,1.0,2021.0,rcp45,ce_betas_SSP3,pulse,0.010910441587165403
3,1.0,2021.0,rcp85,ce_betas_SSP3,pulse,0.00690725621757343
4,1.0,2022.0,rcp45,ce_betas_SSP3,pulse,0.015770353352704106
5,1.0,2022.0,rcp85,ce_betas_SSP3,pulse,0.007380697981863357
6,1.0,2023.0,rcp45,ce_betas_SSP3,pulse,0.02326168818623636
7,1.0,2023.0,rcp85,ce_betas_SSP3,pulse,0.014267813647671788
8,1.0,2024.0,rcp45,ce_betas_SSP3,pulse,0.03144477944412078
9,1.0,2024.0,rcp85,ce_betas_SSP3,pulse,0.021748004405687492
10,1.0,2025.0,rcp45,ce_betas_SSP3,pulse,0.03919368009896072
11,1.0,2025.0,rcp85,ce_betas_SSP3,pulse,0.03271227141234622
12,1.0,2026.0,rcp45,ce_betas_SSP3,pulse,0.035942711055503104
13,1.0,2026.0,rcp85,ce_betas_SSP3,pulse,0.026518843524255698
14,1.0,2027.0,rcp45,ce_betas_SSP3,pulse,0.036569641916099176
15,1.0,2027.0,rcp85,ce_betas_SSP3,pulse,0.025278689129950266
16,1.0,2028.0,rcp45,ce_betas_SSP3,pulse,0.04278291230753503
17,1.0,2028.0,rcp85,ce_betas_SSP3,pulse,0.035626663968883504
18,1.0,2029.0,rcp45,ce_betas_SSP3,pulse,0.04549628009348394
19,1.0,2029.0,rcp85,ce_betas_SSP3,pulse,0.042460091755098045
20,1.0,2030.0,rcp45,ce_betas_SSP3,pulse,0.04858673609238388
21,1.0,2030.0,rcp85,ce_betas_SSP3,pulse,0.04753210110572945
22,1.0,2031.0,rcp45,ce_betas_SSP3,pulse,0.05760634084343031
23,1.0,2031.0,rcp85,ce_betas_SSP3,pulse,0.05906831394874987
24,1.0,2032.0,rcp45,ce_betas_SSP3,pulse,0.061408169176128194
25,1.0,2032.0,rcp85,ce_betas_SSP3,pulse,0.05999645086556043
26,1.0,2033.0,rcp45,ce_betas_SSP3,pulse,0.06135154285432195
27,1.0,2033.0,rcp85,ce_betas_SSP3,pulse,0.06238662753107698
28,1.0,2034.0,rcp45,ce_betas_SSP3,pulse,0.06087431056097879
29,1.0,2034.0,rcp85,ce_betas_SSP3,pulse,0.05808428235735745
30,1.0,2035.0,rcp45,ce_betas_SSP3,pulse,0.06626724435032086
31,1.0,2035.0,rcp85,ce_betas_SSP3,pulse,0.06649733975861169
32,1.0,2036.0,rcp45,ce_betas_SSP3,pulse,0.06707118513347474
33,1.0,2036.0,rcp85,ce_betas_SSP3,pulse,0.06968001957287355
34,1.0,2037.0,rcp45,ce_betas_SSP3,pulse,0.06758265770540518
35,1.0,2037.0,rcp85,ce_betas_SSP3,pulse,0.070580850156161
36,1.0,2038.0,rcp45,ce_betas_SSP3,pulse,0.0714566483404517
37,1.0,2038.0,rcp85,ce_betas_SSP3,pulse,0.07131031184439447
38,1.0,2039.0,rcp45,ce_betas_SSP3,pulse,0.07512988407812457
39,1.0,2039.0,rcp85,ce_betas_SSP3,pulse,0.07332734124270984
40,1.0,2040.0,rcp45,ce_betas_SSP3,pulse,0.07547115584454672
41,1.0,2040.0,rcp85,ce_betas_SSP3,pulse,0.07394586628881224
42,1.0,2041.0,rcp45,ce_betas_SSP3,pulse,0.07765012712863437
43,1.0,2041.0,rcp85,ce_betas_SSP3,pulse,0.07567173786451313
44,1.0,2042.0,rcp45,ce_betas_SSP3,pulse,0.08415252573622628
45,1.0,2042.0,rcp85,ce_betas_SSP3,pulse,0.08382454962698269
46,1.0,2043.0,rcp45,ce_betas_SSP3,pulse,0.08787589528292572
47,1.0,2043.0,rcp85,ce_betas_SSP3,pulse,0.09126103265172578
48,1.0,2044.0,rcp45,ce_betas_SSP3,pulse,0.09032973103481312
49,1.0,2044.0,rcp85,ce_betas_SSP3,pulse,0.09661154319916972
50,1.0,2045.0,rcp45,ce_betas_SSP3,pulse,0.09323145277888455
51,1.0,2045.0,rcp85,ce_betas_SSP3,pulse,0.10104134244622508
52,1.0,2046.0,rcp45,ce_betas_SSP3,pulse,0.09671745775609593
53,1.0,2046.0,rcp85,ce_betas_SSP3,pulse,0.10875765943528135
54,1.0,2047.0,rcp45,ce_betas_SSP3,pulse,0.09864830030333337
55,1.0,2047.0,rcp85,ce_betas_SSP3,pulse,0.11170851143775026
56,1.0,2048.0,rcp45,ce_betas_SSP3,pulse,0.10060243596966975
57,1.0,2048.0,rcp85,ce_betas_SSP3,pulse,0.11600827761610844
58,1.0,2049.0,rcp45,ce_betas_SSP3,pulse,0.10415882361958491
59,1.0,2049.0,rcp85,ce_betas_SSP3,pulse,0.12138923902583588
60,1.0,2050.0,rcp45,ce_betas_SSP3,pulse,0.10655706646894168
61,1.0,2050.0,rcp85,ce_betas_SSP3,pulse,0.12642382036753105
62,1.0,2051.0,rcp45,ce_betas_SSP3,pulse,0.11065017318517585
63,1.0,2051.0,rcp85,ce_betas_SSP3,pulse,0.13275042651533656
64,1.0,2052.0,rcp45,ce_betas_SSP3,pulse,0.11086541628382411
65,1.0,2052.0,rcp85,ce_betas_SSP3,pulse,0.13168958986459517
66,1.0,2053.0,rcp45,ce_betas_SSP3,pulse,0.11430324159346347
67,1.0,2053.0,rcp85,ce_betas_SSP3,pulse,0.13620898317584856
68,1.0,2054.0,rcp45,ce_betas_SSP3,pulse,0.11573780364227583
69,1.0,2054.0,rcp85,ce_betas_SSP3,pulse,0.13912430393167136
70,1.0,2055.0,rcp45,ce_betas_SSP3,pulse,0.11803340446963305
71,1.0,2055.0,rcp85,ce_betas_SSP3,pulse,0.14280092959361992
72,1.0,2056.0,rcp45,ce_betas_SSP3,pulse,0.11765638697499044
73,1.0,2056.0,rcp85,ce_betas_SSP3,pulse,0.1455699813987255
74,1.0,2057.0,rcp45,ce_betas_SSP3,pulse,0.12008373394435086
75,1.0,2057.0,rcp85,ce_betas_SSP3,pulse,0.1510336117267066
76,1.0,2058.0,rcp45,ce_betas_SSP3,pulse,0.12253222842247703
77,1.0,2058.0,rcp85,ce_betas_SSP3,pulse,0.15576022687456048
78,1.0,2059.0,rcp45,ce_betas_SSP3,pulse,0.12567254732504451
79,1.0,2059.0,rcp85,ce_betas_SSP3,pulse,0.16064061684017486
80,1.0,2060.0,rcp45,ce_betas_SSP3,pulse,0.12716975444568568
81,1.0,2060.0,rcp85,ce_betas_SSP3,pulse,0.162099146778536
82,1.0,2061.0,rcp45,ce_betas_SSP3,pulse,0.1294498648608305
83,1.0,2061.0,rcp85,ce_betas_SSP3,pulse,0.16652595171429302
84,1.0,2062.0,rcp45,ce_betas_SSP3,pulse,0.1312642993838081
85,1.0,2062.0,rcp85,ce_betas_SSP3,pulse,0.1690151606563777
86,1.0,2063.0,rcp45,ce_betas_SSP3,pulse,0.1300692731343195
87,1.0,2063.0,rcp85,ce_betas_SSP3,pulse,0.1704578403526138
88,1.0,2064.0,rcp45,ce_betas_SSP3,pulse,0.13086459950152038
89,1.0,2064.0,rcp85,ce_betas_SSP3,pulse,0.17112789074663898
90,1.0,2065.0,rcp45,ce_betas_SSP3,pulse,0.13230724142142963
91,1.0,2065.0,rcp85,ce_betas_SSP3,pulse,0.1761851486178657
92,1.0,2066.0,rcp45,ce_betas_SSP3,pulse,0.13404167369928413
93,1.0,2066.0,rcp85,ce_betas_SSP3,pulse,0.1812249956530274
94,1.0,2067.0,rcp45,ce_betas_SSP3,pulse,0.13581636537411096
95,1.0,2067.0,rcp85,ce_betas_SSP3,pulse,0.18313313891726773
96,1.0,2068.0,rcp45,ce_betas_SSP3,pulse,0.1380193968733153
97,1.0,2068.0,rcp85,ce_betas_SSP3,pulse,0.18512668436592034
98,1.0,2069.0,rcp45,ce_betas_SSP3,pulse,0.13801277837303785
99,1.0,2069.0,rcp85,ce_betas_SSP3,pulse,0.190877836541711
100,1.0,2070.0,rcp45,ce_betas_SSP3,pulse,0.1395593438832903
101,1.0,2070.0,rcp85,ce_betas_SSP3,pulse,0.19553602671467715
102,1.0,2071.0,rcp45,ce_betas_SSP3,pulse,0.13923120317184512
103,1.0,2071.0,rcp85,ce_betas_SSP3,pulse,0.19444233792232893
104,1.0,2072.0,rcp45,ce_betas_SSP3,pulse,0.13997546613923564
105,1.0,2072.0,rcp85,ce_betas_SSP3,pulse,0.19635040928783107
106,1.0,2073.0,rcp45,ce_betas_SSP3,pulse,0.14080528383370852
107,1.0,2073.0,rcp85,ce_betas_SSP3,pulse,0.19955835081101178
108,1.0,2074.0,rcp45,ce_betas_SSP3,pulse,0.1415298804504481
109,1.0,2074.0,rcp85,ce_betas_SSP3,pulse,0.20270809861438766
110,1.0,2075.0,rcp45,ce_betas_SSP3,pulse,0.14239469834288945
111,1.0,2075.0,rcp85,ce_betas_SSP3,pulse,0.20710453351978828
