,discrate,year,rcp,variable,pulse,damages
0,1.0,2020.0,rcp45,nocons_betas_SSP3,pulse,0.0023804864270749178
1,1.0,2020.0,rcp85,nocons_betas_SSP3,pulse,-0.0006041217274251682
2,1.0,2021.0,rcp45,nocons_betas_SSP3,pulse,0.00833093547095933
3,1.0,2021.0,rcp85,nocons_betas_SSP3,pulse,0.005227480303595175
4,1.0,2022.0,rcp45,nocons_betas_SSP3,pulse,0.012099053796686991
5,1.0,2022.0,rcp85,nocons_betas_SSP3,pulse,0.0055621574715074475
6,1.0,2023.0,rcp45,nocons_betas_SSP3,pulse,0.01795303867942197
7,1.0,2023.0,rcp85,nocons_betas_SSP3,pulse,0.010944568504815393
8,1.0,2024.0,rcp45,nocons_betas_SSP3,pulse,0.024367087258968696
9,1.0,2024.0,rcp85,nocons_betas_SSP3,pulse,0.016812065579509743
10,1.0,2025.0,rcp45,nocons_betas_SSP3,pulse,0.03043965081348676
11,1.0,2025.0,rcp85,nocons_betas_SSP3,pulse,0.02540793623524437
12,1.0,2026.0,rcp45,nocons_betas_SSP3,pulse,0.0278827927491602
13,1.0,2026.0,rcp85,nocons_betas_SSP3,pulse,0.02054518387456274
14,1.0,2027.0,rcp45,nocons_betas_SSP3,pulse,0.02836583301454555
15,1.0,2027.0,rcp85,nocons_betas_SSP3,pulse,0.019556654744503153
16,1.0,2028.0,rcp45,nocons_betas_SSP3,pulse,0.03323529026187291
17,1.0,2028.0,rcp85,nocons_betas_SSP3,pulse,0.02766249668567682
18,1.0,2029.0,rcp45,nocons_betas_SSP3,pulse,0.03536233850684519
19,1.0,2029.0,rcp85,nocons_betas_SSP3,pulse,0.03302417301527076
20,1.0,2030.0,rcp45,nocons_betas_SSP3,pulse,0.03778174646526016
21,1.0,2030.0,rcp85,nocons_betas_SSP3,pulse,0.03698905212114507
22,1.0,2031.0,rcp45,nocons_betas_SSP3,pulse,0.04486275287110145
23,1.0,2031.0,rcp85,nocons_betas_SSP3,pulse,0.04604260840598414
24,1.0,2032.0,rcp45,nocons_betas_SSP3,pulse,0.047852302485479115
25,1.0,2032.0,rcp85,nocons_betas_SSP3,pulse,0.04677713776875211
26,1.0,2033.0,rcp45,nocons_betas_SSP3,pulse,0.047813468009476154
27,1.0,2033.0,rcp85,nocons_betas_SSP3,pulse,0.04865351979336772
28,1.0,2034.0,rcp45,nocons_betas_SSP3,pulse,0.04744148893386858
29,1.0,2034.0,rcp85,nocons_betas_SSP3,pulse,0.045274700198262526
30,1.0,2035.0,rcp45,nocons_betas_SSP3,pulse,0.051677370048495125
31,1.0,2035.0,rcp85,nocons_betas_SSP3,pulse,0.0518780571909298
32,1.0,2036.0,rcp45,nocons_betas_SSP3,pulse,0.05230662429295255
33,1.0,2036.0,rcp85,nocons_betas_SSP3,pulse,0.05436497585734625
34,1.0,2037.0,rcp45,nocons_betas_SSP3,pulse,0.05271393672216234
35,1.0,2037.0,rcp85,nocons_betas_SSP3,pulse,0.0550856752811937
36,1.0,2038.0,rcp45,nocons_betas_SSP3,pulse,0.05575181418346448
37,1.0,2038.0,rcp85,nocons_betas_SSP3,pulse,0.055655047106939984
38,1.0,2039.0,rcp45,nocons_betas_SSP3,pulse,0.058629179411318004
39,1.0,2039.0,rcp85,nocons_betas_SSP3,pulse,0.05722504405715914
40,1.0,2040.0,rcp45,nocons_betas_SSP3,pulse,0.05889487757081142
41,1.0,2040.0,rcp85,nocons_betas_SSP3,pulse,0.057699954627574636
42,1.0,2041.0,rcp45,nocons_betas_SSP3,pulse,0.06060180856756872
43,1.0,2041.0,rcp85,nocons_betas_SSP3,pulse,0.05904371911625445
44,1.0,2042.0,rcp45,nocons_betas_SSP3,pulse,0.06570711968112067
45,1.0,2042.0,rcp85,nocons_betas_SSP3,pulse,0.06544250594553885
46,1.0,2043.0,rcp45,nocons_betas_SSP3,pulse,0.06863140259838245
47,1.0,2043.0,rcp85,nocons_betas_SSP3,pulse,0.0712740672797353
48,1.0,2044.0,rcp45,nocons_betas_SSP3,pulse,0.07056237328642714
49,1.0,2044.0,rcp85,nocons_betas_SSP3,pulse,0.07547055653516556
50,1.0,2045.0,rcp45,nocons_betas_SSP3,pulse,0.07283951480952087
51,1.0,2045.0,rcp85,nocons_betas_SSP3,pulse,0.07893544288558588
52,1.0,2046.0,rcp45,nocons_betas_SSP3,pulse,0.07557283652634952
53,1.0,2046.0,rcp85,nocons_betas_SSP3,pulse,0.08497220765935298
54,1.0,2047.0,rcp45,nocons_betas_SSP3,pulse,0.07708345974658848
55,1.0,2047.0,rcp85,nocons_betas_SSP3,pulse,0.0872779417991505
56,1.0,2048.0,rcp45,nocons_betas_SSP3,pulse,0.07861240694600016
57,1.0,2048.0,rcp85,nocons_betas_SSP3,pulse,0.0906429469049182
58,1.0,2049.0,rcp45,nocons_betas_SSP3,pulse,0.08139244499723647
59,1.0,2049.0,rcp85,nocons_betas_SSP3,pulse,0.09483879890246552
60,1.0,2050.0,rcp45,nocons_betas_SSP3,pulse,0.08327262217967574
61,1.0,2050.0,rcp85,nocons_betas_SSP3,pulse,0.0987767607489346
62,1.0,2051.0,rcp45,nocons_betas_SSP3,pulse,0.08647820841569313
63,1.0,2051.0,rcp85,nocons_betas_SSP3,pulse,0.10371676672568919
64,1.0,2052.0,rcp45,nocons_betas_SSP3,pulse,0.08664488550183554
65,1.0,2052.0,rcp85,nocons_betas_SSP3,pulse,0.10287649065490341
66,1.0,2053.0,rcp45,nocons_betas_SSP3,pulse,0.08933551571234288
67,1.0,2053.0,rcp85,nocons_betas_SSP3,pulse,0.10639465866473188
68,1.0,2054.0,rcp45,nocons_betas_SSP3,pulse,0.09046321052940336
69,1.0,2054.0,rcp85,nocons_betas_SSP3,pulse,0.10867974938217208
70,1.0,2055.0,rcp45,nocons_betas_SSP3,pulse,0.09226172780802115
71,1.0,2055.0,rcp85,nocons_betas_SSP3,pulse,0.1115550078613738
72,1.0,2056.0,rcp45,nocons_betas_SSP3,pulse,0.09196366723579151
73,1.0,2056.0,rcp85,nocons_betas_SSP3,pulse,0.11371848419487049
74,1.0,2057.0,rcp45,nocons_betas_SSP3,pulse,0.09386387602404477
75,1.0,2057.0,rcp85,nocons_betas_SSP3,pulse,0.1179917753266388
76,1.0,2058.0,rcp45,nocons_betas_SSP3,pulse,0.09578300147101342
77,1.0,2058.0,rcp85,nocons_betas_SSP3,pulse,0.12168694699848454
78,1.0,2059.0,rcp45,nocons_betas_SSP3,pulse,0.09824063048209251
79,1.0,2059.0,rcp85,nocons_betas_SSP3,pulse,0.12548270345441942
80,1.0,2060.0,rcp45,nocons_betas_SSP3,pulse,0.09940885569017947
81,1.0,2060.0,rcp85,nocons_betas_SSP3,pulse,0.12660668218684556
82,1.0,2061.0,rcp45,nocons_betas_SSP3,pulse,0.1011958797412318
83,1.0,2061.0,rcp85,nocons_betas_SSP3,pulse,0.13005778140505725
84,1.0,2062.0,rcp45,nocons_betas_SSP3,pulse,0.10261868566295997
85,1.0,2062.0,rcp85,nocons_betas_SSP3,pulse,0.13199590523300575
86,1.0,2063.0,rcp45,nocons_betas_SSP3,pulse,0.10168102708895514
87,1.0,2063.0,rcp85,nocons_betas_SSP3,pulse,0.13310338570321686
88,1.0,2064.0,rcp45,nocons_betas_SSP3,pulse,0.10230216243528814
89,1.0,2064.0,rcp85,nocons_betas_SSP3,pulse,0.13362058645125294
90,1.0,2065.0,rcp45,nocons_betas_SSP3,pulse,0.10343179951770289
91,1.0,2065.0,rcp85,nocons_betas_SSP3,pulse,0.13756263768049964
92,1.0,2066.0,rcp45,nocons_betas_SSP3,pulse,0.10478788163831591
93,1.0,2066.0,rcp85,nocons_betas_SSP3,pulse,0.1414848038009481
