year,cons,beta1,beta2,ssp,global_consumption,ratio
2020,0,.087430701,-.16167291,SSP3,129252283307119.9,
2021,0,.076006398,-.090265498,SSP3,133438781759047.3,
2022,0,.1132269,-.1393507,SSP3,137810561281902.9,
2023,0,.1214307,-.1199408,SSP3,142377423276384.9,
2024,0,.13508239,-.1099424,SSP3,147149757847038.7,
2025,0,.1198487,-.062694199,SSP3,152138584224126.4,
2026,0,.1319326,-.085152701,SSP3,155961367567281,
2027,0,.14332829,-.094733402,SSP3,159904668872190,
2028,0,.12524819,-.053622399,SSP3,163972947544871.1,
2029,0,.1029867,-.0181209,SSP3,168170851504198.3,
2030,0,.096873701,-.0022144001,SSP3,172503226489657.2,
2031,0,.099502102,.0165003,SSP3,175844495604288.9,
2032,0,.1264713,-.0024454,SSP3,179261342809958.5,
2033,0,.1132003,.0132574,SSP3,182755716201347.1,
2034,0,.1377103,-.0098350998,SSP3,186329619389619.3,
2035,0,.1319949,.0086727999,SSP3,189985113306012.1,
2036,0,.121146,.0215698,SSP3,192981075671825.2,
2037,0,.1220816,.0231431,SSP3,196029733339098.6,
2038,0,.15181389,.0074338,SSP3,199132120483814.9,
2039,0,.172144,.000078099998,SSP3,202289293152061.4,
2040,0,.1737166,.001779,SSP3,205502329779220.7,
2041,0,.1836884,.0004007,SSP3,208183556210493.1,
2042,0,.1914745,.0085759005,SSP3,210903148260447.4,
2043,0,.1819886,.024263799,SSP3,213661752349356.4,
2044,0,.1746901,.035556599,SSP3,216460027539270.9,
2045,0,.1760269,.040989,SSP3,219298645824932.8,
2046,0,.16377801,.056024902,SSP3,221616441685438.7,
2047,0,.1654402,.058649801,SSP3,223962863373954.6,
2048,0,.16005459,.065684699,SSP3,226338388196874.4,
2049,0,.1623576,.070766397,SSP3,228743503359462.7,
2050,0,.1583584,.078076199,SSP3,231178706203161.2,
2051,0,.1616383,.083941102,SSP3,233299625784911.1,
2052,0,.1742467,.0783998,SSP3,235445971224308.1,
2053,0,.182798,.080536202,SSP3,237618195397537.4,
2054,0,.18394069,.0835279,SSP3,239816761082924.6,
2055,0,.1874826,.086243398,SSP3,242042141204133.7,
2056,0,.17447031,.093244798,SSP3,244096901759190.2,
2057,0,.1699153,.1000516,SSP3,246176311999802.8,
2058,0,.1695426,.1046238,SSP3,248280829435116.5,
2059,0,.1741416,.1077459,SSP3,250410921920579.1,
2060,0,.1838184,.1061953,SSP3,252567067918406.1,
2061,0,.1856086,.1101253,SSP3,254663958799882.7,
2062,0,.19368809,.1104377,SSP3,256786865171144.8,
2063,0,.1838461,.1147501,SSP3,258936279191390.5,
2064,0,.1926098,.1131126,SSP3,261112704386866,
2065,0,.1855824,.1199037,SSP3,263316655941422.9,
2066,0,.18011241,.1258731,SSP3,265412058881479.7,
2067,0,.1887891,.1249877,SSP3,267534118910479.6,
2068,0,.2001209,.1236133,SSP3,269683351481490.3,
2069,0,.1782589,.1340372,SSP3,271860284246804.1,
2070,0,.1741799,.13915659,SSP3,274065457373847.1,
2071,0,.1827748,.1361983,SSP3,276218726424605.8,
2072,0,.1862286,.1373404,SSP3,278400394321345.7,
2073,0,.1849381,.14078049,SSP3,280611016411705.4,
2074,0,.1835352,.14423519,SSP3,282851161162068.4,
2075,0,.17804161,.1496776,SSP3,285121410492403.6,
2076,0,.1882281,.1491524,SSP3,287316759627791.8,
2077,0,.1852994,.1538855,SSP3,289540692783834.8,
2078,0,.1824829,.16014449,SSP3,291793760679372.7,
2079,0,.1834702,.16248821,SSP3,294076526846845.5,
2080,0,.1745881,.16647629,SSP3,296389567952848.4,
2081,0,.158819,.17647929,SSP3,298677592325088.5,
2082,0,.152064,.1806991,SSP3,300995428244356.6,
2083,0,.13055611,.1874593,SSP3,303343632805454.4,
2084,0,.133599,.1902307,SSP3,305722775577599.4,
2085,0,.136604,.19129761,SSP3,308133438904072.1,
2086,0,.13041361,.1933654,SSP3,310521404115446.1,
2087,0,.1212435,.198553,SSP3,312939678617661.5,
2088,0,.12664589,.2005427,SSP3,315388803487793.6,
2089,0,.1249689,.20270699,SSP3,317869331437347.1,
2090,0,.1200475,.2081435,SSP3,320381827081861.8,
2091,0,.112702,.2128794,SSP3,322970784344267.8,
2092,0,.1151338,.2140128,SSP3,325592159441410.1,
2093,0,.102142,.2200346,SSP3,328246505417970.8,
2094,0,.1020353,.2223915,SSP3,330934386601307.1,
2095,0,.103638,.22272161,SSP3,333656378849644.5,
2096,0,.1153514,.22295339,SSP3,336371542317240.5,
2097,0,.1125194,.22691479,SSP3,339119668015817,
2098,0,.1205772,.22522131,SSP3,341901292979833.8,
2099,0,.1187198,.226971,SSP3,344716964716523.4,
2100,0,.11924858,.22798194,SSP3,346252358809231.4,1.004454
2101,0,.11977973,.22899738,SSP3,347794591657385.9,1.0089279
2102,0,.12031323,.23001735,SSP3,349343693721294.2,1.0134218
2103,0,.12084912,.23104186,SSP3,350899695596936.1,1.0179356
2104,0,.12138739,.23207095,SSP3,352462628016568.1,1.0224696
2105,0,.12192806,.23310462,SSP3,354032521849330.3,1.0270238
2106,0,.12247113,.23414288,SSP3,355609408101856.4,1.0315982
2107,0,.12301663,.23518577,SSP3,357193317918885.5,1.036193
2108,0,.12356456,.23623331,SSP3,358784282583878,1.0408083
2109,0,.12411492,.23728549,SSP3,360382333519632.8,1.0454441
2110,0,.12466774,.2383424,SSP3,361987502288908.3,1.0501007
2111,0,.12522301,.23940399,SSP3,363599820595045.6,1.0547779
2112,0,.12578076,.24047031,SSP3,365219320282594.9,1.0594759
2113,0,.12634102,.24154139,SSP3,366846033337944.2,1.0641949
2114,0,.12690374,.24261723,SSP3,368479991889951.2,1.0689349
2115,0,.12746897,.24369785,SSP3,370121228210577.9,1.073696
2116,0,.12803674,.24478331,SSP3,371769774715527.8,1.0784783
2117,0,.12860702,.2458736,SSP3,373425663964886.4,1.083282
2118,0,.12917985,.24696873,SSP3,375088928663764.2,1.088107
2119,0,.12975521,.24806874,SSP3,376759601662942.3,1.0929534
2120,0,.13033316,.24917367,SSP3,378437715959521.9,1.0978216
2121,0,.13091367,.25028348,SSP3,380123304697575.4,1.1027113
2122,0,.13149677,.25139827,SSP3,381816401168801.5,1.1076229
2123,0,.13208246,.25251803,SSP3,383517038813182.4,1.1125563
2124,0,.13267078,.25364277,SSP3,385225251219644.3,1.1175117
2125,0,.1332617,.25477251,SSP3,386941072126721,1.1224892
2126,0,.13385525,.25590727,SSP3,388664535423220.1,1.1274889
2127,0,.13445145,.25704712,SSP3,390395675148892.3,1.1325108
2128,0,.1350503,.258192,SSP3,392134525495104.1,1.137555
2129,0,.13565183,.25934201,SSP3,393881120805512.3,1.1426218
2130,0,.13625604,.26049715,SSP3,395635495576743.4,1.1477112
2131,0,.13686293,.26165742,SSP3,397397684459073.8,1.1528231
2132,0,.13747254,.26282287,SSP3,399167722257115.1,1.1579579
2133,0,.13808484,.2639935,SSP3,400945643930500.9,1.1631155
2134,0,.13869987,.26516932,SSP3,402731484594577.8,1.1682961
2135,0,.13931766,.26635042,SSP3,404525279521098.4,1.1734998
2136,0,.13993819,.26753676,SSP3,406327064138918.3,1.1787267
2137,0,.14056149,.26872841,SSP3,408136874034695.7,1.1839768
2138,0,.14118755,.26992533,SSP3,409954744953594.4,1.1892502
2139,0,.14181642,.27112758,SSP3,411780712799989.8,1.1945473
2140,0,.14244807,.2723352,SSP3,413614813638177.9,1.1998678
2141,0,.14308256,.27354822,SSP3,415457083693087.6,1.2052122
2142,0,.14371984,.27476659,SSP3,417307559350996.3,1.2105802
2143,0,.14435999,.27599046,SSP3,419166277160248.4,1.2159723
2144,0,.14500298,.27721974,SSP3,421033273831977.3,1.2213883
2145,0,.14564884,.27845448,SSP3,422908586240830.8,1.2268285
2146,0,.14629757,.27969474,SSP3,424792251425698.1,1.2322929
2147,0,.14694917,.2809405,SSP3,426684306590443.3,1.2377815
2148,0,.14760371,.28219184,SSP3,428584789104638.4,1.2432947
2149,0,.14826114,.28344876,SSP3,430493736504302.8,1.2488325
2150,0,.1489215,.28471127,SSP3,432411186492643.4,1.2543949
2151,0,.14958481,.28597936,SSP3,434337176940800.4,1.259982
2152,0,.15025108,.28725317,SSP3,436271745888594.4,1.2655941
2153,0,.15092032,.28853261,SSP3,438214931545278.4,1.2712312
2154,0,.15159251,.28981775,SSP3,440166772290291.9,1.2768933
2155,0,.15226771,.29110861,SSP3,442127306674019.3,1.2825806
2156,0,.15294594,.29240525,SSP3,444096573418551.3,1.2882934
2157,0,.15362716,.29370764,SSP3,446074611418449.1,1.2940315
2158,0,.15431143,.29501584,SSP3,448061459741513.6,1.2997953
2159,0,.15499873,.29632983,SSP3,450057157629556.3,1.3055845
2160,0,.15568912,.29764974,SSP3,452061744499174.6,1.3113998
2161,0,.15638258,.29897547,SSP3,454075259942530,1.3172408
2162,0,.15707912,.30030712,SSP3,456097743728130.6,1.323108
2163,0,.15777875,.30164474,SSP3,458129235801616.3,1.3290012
2164,0,.15848151,.30298826,SSP3,460169776286547.4,1.3349206
2165,0,.15918739,.3043378,SSP3,462219405485197.9,1.3408664
2166,0,.15989642,.30569333,SSP3,464278163879350.8,1.3468387
2167,0,.16060862,.30705494,SSP3,466346092131097.5,1.3528377
2168,0,.16132399,.30842257,SSP3,468423231083641.9,1.3588634
2169,0,.16204253,.30979627,SSP3,470509621762106.2,1.3649157
2170,0,.16276427,.31117615,SSP3,472605305374341.3,1.3709952
2171,0,.16348924,.31256214,SSP3,474710323311740.9,1.3771017
2172,0,.16421744,.31395432,SSP3,476824717150059.1,1.3832355
2173,0,.16494887,.31535271,SSP3,478948528650231.3,1.3893964
2174,0,.16568357,.31675732,SSP3,481081799759198.9,1.3955849
2175,0,.16642153,.31816816,SSP3,483224572610738.4,1.401801
2176,0,.16716279,.31958532,SSP3,485376889526292.6,1.4080447
2177,0,.16790734,.32100877,SSP3,487538793015807.6,1.4143162
2178,0,.16865522,.32243857,SSP3,489710325778571.7,1.4206157
2179,0,.16940641,.32387471,SSP3,491891530704058.4,1.4269432
2180,0,.17016096,.32531729,SSP3,494082450872774.8,1.4332989
2181,0,.17091888,.32676628,SSP3,496283129557111.2,1.439683
2182,0,.17168015,.32822171,SSP3,498493610222196.1,1.4460953
2183,0,.17244482,.32968363,SSP3,500713936526755.3,1.4525363
