var_type,year,pctile,beta1,beta2,anomalymin,anomalymax
"value",2015,.05,-.8079009,1.020908,.0913345,.4047082
"value",2016,.05,-.6860473,.5649397,.1043945,.452688
"value",2017,.05,-.6854418,.5155385,.1150177,.4898569
"value",2018,.05,-.6244329,.2738464,.1313385,.5439752
"value",2019,.05,-.6203836,.2508544,.1356659,.5908411
"value",2020,.05,-.5912055,.1821124,.1499573,.6357951
"value",2021,.05,-.5809598,.2105824,.1627564,.6857845
"value",2022,.05,-.5456268,.1566382,.185022,.7193935
"value",2023,.05,-.4933615,.0916878,.2035401,.7588283
"value",2024,.05,-.4492751,.059153,.2167926,.8046947
"value",2025,.05,-.4477115,.0677048,.2303988,.8440318
"value",2026,.05,-.4907652,.1130685,.25,.8832209
"value",2027,.05,-.4252176,-.006661,.27,.9260995
"value",2028,.05,-.3992697,-.0316106,.2737382,.983
"value",2029,.05,-.4320926,.0049882,.2793244,1.043
"value",2030,.05,-.4219815,-.0106867,.296344,1.103
"value",2031,.05,-.4301047,.0209419,.3052537,1.173
"value",2032,.05,-.4120373,.0191497,.3230438,1.233
"value",2033,.05,-.4523235,.0628962,.34,1.303
"value",2034,.05,-.4504401,.0561992,.3436951,1.363
"value",2035,.05,-.4746397,.0994931,.3410126,1.443
"value",2036,.05,-.4734408,.097524,.3475724,1.513
"value",2037,.05,-.4753773,.1005622,.3653474,1.593
"value",2038,.05,-.5025843,.1316433,.3843217,1.663
"value",2039,.05,-.441887,.0725783,.4037126,1.733
"value",2040,.05,-.397785,.0331101,.4052308,1.813
"value",2041,.05,-.3917282,.0322814,.4187425,1.893
"value",2042,.05,-.4195644,.0769318,.4325287,1.983
"value",2043,.05,-.3869711,.0602677,.46,2.073
"value",2044,.05,-.4059992,.0881401,.47,2.173
"value",2045,.05,-.4071866,.0989226,.48,2.273
"value",2046,.05,-.4132828,.1066543,.49,2.353
"value",2047,.05,-.4118597,.1017912,.5,2.443
"value",2048,.05,-.4776781,.1438557,.51,2.533
"value",2049,.05,-.4773336,.1446291,.52,2.623
"value",2050,.05,-.4739339,.1432454,.53,2.703
"value",2051,.05,-.4427416,.1287236,.54,2.783
"value",2052,.05,-.4345673,.1253547,.55,2.863
"value",2053,.05,-.3534387,.0810666,.56,2.983
"value",2054,.05,-.3140374,.0643755,.57,3.083
"value",2055,.05,-.3242379,.0734114,.58,3.173
"value",2056,.05,-.3779615,.0995498,.59,3.273
"value",2057,.05,-.357484,.090273,.59,3.373
"value",2058,.05,-.3889384,.1130077,.6,3.463
"value",2059,.05,-.3844318,.1150462,.61,3.583
"value",2060,.05,-.3663237,.1065625,.61,3.713
"value",2061,.05,-.3568141,.1052646,.62,3.803
"value",2062,.05,-.3430115,.1010655,.63,3.903
"value",2063,.05,-.3308073,.0963805,.63,3.993
"value",2064,.05,-.324083,.0941862,.64,4.123
"value",2065,.05,-.3257676,.0978534,.64,4.263
"value",2066,.05,-.2998579,.088874,.65,4.423
"value",2067,.05,-.3013968,.0883418,.65,4.603
"value",2068,.05,-.3038042,.0888483,.66,4.753
"value",2069,.05,-.3499743,.113829,.66,4.863
"value",2070,.05,-.3538678,.1149779,.66,4.983
"value",2071,.05,-.3588679,.1164532,.67,5.093
"value",2072,.05,-.3696373,.122307,.67,5.203
"value",2073,.05,-.3564856,.1187611,.67,5.313
"value",2074,.05,-.3552373,.1163057,.67,5.423
"value",2075,.05,-.3597679,.1215394,.68,5.553
"value",2076,.05,-.3319133,.1148716,.68,5.703
"value",2077,.05,-.3263038,.114636,.68,5.863
"value",2078,.05,-.3356745,.1185826,.68,6.043
"value",2079,.05,-.3251688,.1175927,.68,6.243
"value",2080,.05,-.3427967,.1249435,.68,6.403
"value",2081,.05,-.3573729,.1319258,.68,6.573
"value",2082,.05,-.3624206,.134131,.68,6.723
"value",2083,.05,-.3737379,.1388024,.68,6.883
"value",2084,.05,-.3702942,.1397864,.68,7.033
"value",2085,.05,-.3748125,.1409035,.68,7.183
"value",2086,.05,-.374359,.1412769,.68,7.303
"value",2087,.05,-.3683055,.1404264,.68,7.433
"value",2088,.05,-.3371478,.1331804,.69,7.553
"value",2089,.05,-.3161165,.1291217,.69,7.773
"value",2090,.05,-.3177193,.1308104,.69,7.902999
"value",2091,.05,-.3332918,.134355,.69,8.033
"value",2092,.05,-.3372427,.13639,.69,8.163
"value",2093,.05,-.3492379,.1407747,.69,8.283
"value",2094,.05,-.3377711,.1379954,.69,8.403
"value",2095,.05,-.338341,.1398529,.69,8.513
"value",2096,.05,-.3269058,.1380106,.69,8.653
"value",2097,.05,-.3426906,.1436448,.69,8.873
"value",2098,.05,-.3420221,.1422625,.69,9.073
"value",2099,.05,-.3549815,.1462636,.69,9.243
"value",2100,.05,,,0,11
"value",2101,.05,,,0,11
"value",2102,.05,,,0,11
"value",2103,.05,,,0,11
"value",2104,.05,,,0,11
"value",2105,.05,,,0,11
"value",2106,.05,,,0,11
"value",2107,.05,,,0,11
"value",2108,.05,,,0,11
"value",2109,.05,,,0,11
"value",2110,.05,,,0,11
"value",2111,.05,,,0,11
"value",2112,.05,,,0,11
"value",2113,.05,,,0,11
"value",2114,.05,,,0,11
"value",2115,.05,,,0,11
"value",2116,.05,,,0,11
"value",2117,.05,,,0,11
"value",2118,.05,,,0,11
"value",2119,.05,,,0,11
"value",2120,.05,,,0,11
"value",2121,.05,,,0,11
"value",2122,.05,,,0,11
"value",2123,.05,,,0,11
"value",2124,.05,,,0,11
"value",2125,.05,,,0,11
"value",2126,.05,,,0,11
"value",2127,.05,,,0,11
"value",2128,.05,,,0,11
"value",2129,.05,,,0,11
"value",2130,.05,,,0,11
"value",2131,.05,,,0,11
"value",2132,.05,,,0,11
"value",2133,.05,,,0,11
"value",2134,.05,,,0,11
"value",2135,.05,,,0,11
"value",2136,.05,,,0,11
"value",2137,.05,,,0,11
"value",2138,.05,,,0,11
"value",2139,.05,,,0,11
"value",2140,.05,,,0,11
"value",2141,.05,,,0,11
"value",2142,.05,,,0,11
"value",2143,.05,,,0,11
"value",2144,.05,,,0,11
"value",2145,.05,,,0,11
"value",2146,.05,,,0,11
"value",2147,.05,,,0,11
"value",2148,.05,,,0,11
"value",2149,.05,,,0,11
"value",2150,.05,,,0,11
"value",2151,.05,,,0,11
"value",2152,.05,,,0,11
"value",2153,.05,,,0,11
"value",2154,.05,,,0,11
"value",2155,.05,,,0,11
"value",2156,.05,,,0,11
"value",2157,.05,,,0,11
"value",2158,.05,,,0,11
"value",2159,.05,,,0,11
"value",2160,.05,,,0,11
"value",2161,.05,,,0,11
"value",2162,.05,,,0,11
"value",2163,.05,,,0,11
"value",2164,.05,,,0,11
"value",2165,.05,,,0,11
"value",2166,.05,,,0,11
"value",2167,.05,,,0,11
"value",2168,.05,,,0,11
"value",2169,.05,,,0,11
"value",2170,.05,,,0,11
"value",2171,.05,,,0,11
"value",2172,.05,,,0,11
"value",2173,.05,,,0,11
"value",2174,.05,,,0,11
"value",2175,.05,,,0,11
"value",2176,.05,,,0,11
"value",2177,.05,,,0,11
"value",2178,.05,,,0,11
"value",2179,.05,,,0,11
"value",2180,.05,,,0,11
"value",2181,.05,,,0,11
"value",2182,.05,,,0,11
"value",2183,.05,,,0,11
"value",2184,.05,,,0,11
"value",2185,.05,,,0,11
"value",2186,.05,,,0,11
"value",2187,.05,,,0,11
"value",2188,.05,,,0,11
"value",2189,.05,,,0,11
"value",2190,.05,,,0,11
"value",2191,.05,,,0,11
"value",2192,.05,,,0,11
"value",2193,.05,,,0,11
"value",2194,.05,,,0,11
"value",2195,.05,,,0,11
"value",2196,.05,,,0,11
"value",2197,.05,,,0,11
"value",2198,.05,,,0,11
"value",2199,.05,,,0,11
"value",2200,.05,,,0,11
"value",2201,.05,,,0,11
"value",2202,.05,,,0,11
"value",2203,.05,,,0,11
"value",2204,.05,,,0,11
"value",2205,.05,,,0,11
"value",2206,.05,,,0,11
"value",2207,.05,,,0,11
"value",2208,.05,,,0,11
"value",2209,.05,,,0,11
"value",2210,.05,,,0,11
"value",2211,.05,,,0,11
"value",2212,.05,,,0,11
"value",2213,.05,,,0,11
"value",2214,.05,,,0,11
"value",2215,.05,,,0,11
"value",2216,.05,,,0,11
"value",2217,.05,,,0,11
"value",2218,.05,,,0,11
"value",2219,.05,,,0,11
"value",2220,.05,,,0,11
"value",2221,.05,,,0,11
"value",2222,.05,,,0,11
"value",2223,.05,,,0,11
"value",2224,.05,,,0,11
"value",2225,.05,,,0,11
"value",2226,.05,,,0,11
"value",2227,.05,,,0,11
"value",2228,.05,,,0,11
"value",2229,.05,,,0,11
"value",2230,.05,,,0,11
"value",2231,.05,,,0,11
"value",2232,.05,,,0,11
"value",2233,.05,,,0,11
"value",2234,.05,,,0,11
"value",2235,.05,,,0,11
"value",2236,.05,,,0,11
"value",2237,.05,,,0,11
"value",2238,.05,,,0,11
"value",2239,.05,,,0,11
"value",2240,.05,,,0,11
"value",2241,.05,,,0,11
"value",2242,.05,,,0,11
"value",2243,.05,,,0,11
"value",2244,.05,,,0,11
"value",2245,.05,,,0,11
"value",2246,.05,,,0,11
"value",2247,.05,,,0,11
"value",2248,.05,,,0,11
"value",2249,.05,,,0,11
"value",2250,.05,,,0,11
"value",2251,.05,,,0,11
"value",2252,.05,,,0,11
"value",2253,.05,,,0,11
"value",2254,.05,,,0,11
"value",2255,.05,,,0,11
"value",2256,.05,,,0,11
"value",2257,.05,,,0,11
"value",2258,.05,,,0,11
"value",2259,.05,,,0,11
"value",2260,.05,,,0,11
"value",2261,.05,,,0,11
"value",2262,.05,,,0,11
"value",2263,.05,,,0,11
"value",2264,.05,,,0,11
"value",2265,.05,,,0,11
"value",2266,.05,,,0,11
"value",2267,.05,,,0,11
"value",2268,.05,,,0,11
"value",2269,.05,,,0,11
"value",2270,.05,,,0,11
"value",2271,.05,,,0,11
"value",2272,.05,,,0,11
"value",2273,.05,,,0,11
"value",2274,.05,,,0,11
"value",2275,.05,,,0,11
"value",2276,.05,,,0,11
"value",2277,.05,,,0,11
"value",2278,.05,,,0,11
"value",2279,.05,,,0,11
"value",2280,.05,,,0,11
"value",2281,.05,,,0,11
"value",2282,.05,,,0,11
"value",2283,.05,,,0,11
"value",2284,.05,,,0,11
"value",2285,.05,,,0,11
"value",2286,.05,,,0,11
"value",2287,.05,,,0,11
"value",2288,.05,,,0,11
"value",2289,.05,,,0,11
"value",2290,.05,,,0,11
"value",2291,.05,,,0,11
"value",2292,.05,,,0,11
"value",2293,.05,,,0,11
"value",2294,.05,,,0,11
"value",2295,.05,,,0,11
"value",2296,.05,,,0,11
"value",2297,.05,,,0,11
"value",2298,.05,,,0,11
"value",2299,.05,,,0,11
"value",2300,.05,,,0,11
"value",2015,.1,-.5777181,.7826867,.0913345,.4047082
"value",2016,.1,-.4443884,.3020347,.1043945,.452688
"value",2017,.1,-.4449699,.2606503,.1150177,.4898569
"value",2018,.1,-.4106454,.1299103,.1313385,.5439752
"value",2019,.1,-.4026666,.0958361,.1356659,.5908411
"value",2020,.1,-.3919538,.0740718,.1499573,.6357951
"value",2021,.1,-.388596,.1136307,.1627564,.6857845
"value",2022,.1,-.3730345,.1119764,.185022,.7193935
"value",2023,.1,-.3180874,.0314007,.2035401,.7588283
"value",2024,.1,-.2796427,.0130634,.2167926,.8046947
"value",2025,.1,-.2740268,.0223086,.2303988,.8440318
"value",2026,.1,-.301673,.039802,.25,.8832209
"value",2027,.1,-.2728961,-.0266612,.27,.9260995
"value",2028,.1,-.2630216,-.0258054,.2737382,.983
"value",2029,.1,-.300531,.0172256,.2793244,1.043
"value",2030,.1,-.2890188,-.0068938,.296344,1.103
