,discount_type,ssp,year,global_cons_constant_model_collapsed
281,constant_model_collapsed,SSP3,2020,129252283307119.88
282,constant_model_collapsed,SSP3,2021,133438781759047.3
283,constant_model_collapsed,SSP3,2022,137810561281902.88
284,constant_model_collapsed,SSP3,2023,142377423276384.88
285,constant_model_collapsed,SSP3,2024,147149757847038.7
286,constant_model_collapsed,SSP3,2025,152138584224126.44
287,constant_model_collapsed,SSP3,2026,155961367567281.0
288,constant_model_collapsed,SSP3,2027,159904668872190.0
289,constant_model_collapsed,SSP3,2028,163972947544871.12
290,constant_model_collapsed,SSP3,2029,168170851504198.25
291,constant_model_collapsed,SSP3,2030,172503226489657.16
292,constant_model_collapsed,SSP3,2031,175844495604288.94
293,constant_model_collapsed,SSP3,2032,179261342809958.5
294,constant_model_collapsed,SSP3,2033,182755716201347.06
295,constant_model_collapsed,SSP3,2034,186329619389619.25
296,constant_model_collapsed,SSP3,2035,189985113306012.06
297,constant_model_collapsed,SSP3,2036,192981075671825.2
298,constant_model_collapsed,SSP3,2037,196029733339098.6
299,constant_model_collapsed,SSP3,2038,199132120483814.88
300,constant_model_collapsed,SSP3,2039,202289293152061.38
301,constant_model_collapsed,SSP3,2040,205502329779220.7
302,constant_model_collapsed,SSP3,2041,208183556210493.1
303,constant_model_collapsed,SSP3,2042,210903148260447.38
304,constant_model_collapsed,SSP3,2043,213661752349356.4
305,constant_model_collapsed,SSP3,2044,216460027539270.88
306,constant_model_collapsed,SSP3,2045,219298645824932.8
307,constant_model_collapsed,SSP3,2046,221616441685438.7
308,constant_model_collapsed,SSP3,2047,223962863373954.56
309,constant_model_collapsed,SSP3,2048,226338388196874.44
310,constant_model_collapsed,SSP3,2049,228743503359462.7
311,constant_model_collapsed,SSP3,2050,231178706203161.2
312,constant_model_collapsed,SSP3,2051,233299625784911.12
313,constant_model_collapsed,SSP3,2052,235445971224308.12
314,constant_model_collapsed,SSP3,2053,237618195397537.38
315,constant_model_collapsed,SSP3,2054,239816761082924.56
316,constant_model_collapsed,SSP3,2055,242042141204133.72
317,constant_model_collapsed,SSP3,2056,244096901759190.2
318,constant_model_collapsed,SSP3,2057,246176311999802.84
319,constant_model_collapsed,SSP3,2058,248280829435116.5
320,constant_model_collapsed,SSP3,2059,250410921920579.12
321,constant_model_collapsed,SSP3,2060,252567067918406.12
322,constant_model_collapsed,SSP3,2061,254663958799882.7
323,constant_model_collapsed,SSP3,2062,256786865171144.75
324,constant_model_collapsed,SSP3,2063,258936279191390.47
325,constant_model_collapsed,SSP3,2064,261112704386866.0
