year,cons,beta1,beta2,global_cons_ramsey,ratio
2015,0,.052758198,-.096484199,105.85204,
2016,0,.075500898,-.1606973,110.00669,
2017,0,.068584599,-.154375,114.40612,
2018,0,.074105904,-.1663112,119.06757,
2019,0,.075876497,-.1634099,124.00962,
2020,0,.087430701,-.16167291,129.25229,
2021,0,.076006398,-.090265498,133.43878,
2022,0,.1132269,-.1393507,137.81056,
2023,0,.1214307,-.1199408,142.37743,
2024,0,.13508239,-.1099424,147.14975,
2025,0,.1198487,-.062694199,152.13858,
2026,0,.1319326,-.085152701,155.96136,
2027,0,.14332829,-.094733402,159.90466,
2028,0,.12524819,-.053622399,163.97295,
2029,0,.1029867,-.0181209,168.17084,
2030,0,.096873701,-.0022144001,172.50322,
2031,0,.099502102,.0165003,175.84448,
2032,0,.1264713,-.0024454,179.26134,
2033,0,.1132003,.0132574,182.75571,
2034,0,.1377103,-.0098350998,186.32962,
2035,0,.1319949,.0086727999,189.98511,
2036,0,.121146,.0215698,192.98108,
2037,0,.1220816,.0231431,196.02972,
2038,0,.15181389,.0074338,199.13211,
2039,0,.172144,.000078099998,202.28929,
2040,0,.1737166,.001779,205.50232,
2041,0,.1836884,.0004007,208.18356,
2042,0,.1914745,.0085759005,210.90314,
2043,0,.1819886,.024263799,213.66174,
2044,0,.1746901,.035556599,216.46002,
2045,0,.1760269,.040989,219.29865,
2046,0,.16377801,.056024902,221.61646,
2047,0,.1654402,.058649801,223.96286,
2048,0,.16005459,.065684699,226.33838,
2049,0,.1623576,.070766397,228.7435,
2050,0,.1583584,.078076199,231.17871,
2051,0,.1616383,.083941102,233.29962,
2052,0,.1742467,.0783998,235.44597,
2053,0,.182798,.080536202,237.61819,
2054,0,.18394069,.0835279,239.81676,
2055,0,.1874826,.086243398,242.04214,
2056,0,.17447031,.093244798,244.09691,
2057,0,.1699153,.1000516,246.1763,
2058,0,.1695426,.1046238,248.28082,
2059,0,.1741416,.1077459,250.41092,
2060,0,.1838184,.1061953,252.56708,
2061,0,.1856086,.1101253,254.66396,
2062,0,.19368809,.1104377,256.78687,
2063,0,.1838461,.1147501,258.93628,
2064,0,.1926098,.1131126,261.1127,
2065,0,.1855824,.1199037,263.31665,
2066,0,.18011241,.1258731,265.41205,
2067,0,.1887891,.1249877,267.53412,
2068,0,.2001209,.1236133,269.68335,
2069,0,.1782589,.1340372,271.86029,
2070,0,.1741799,.13915659,274.06543,
2071,0,.1827748,.1361983,276.21872,
2072,0,.1862286,.1373404,278.40039,
2073,0,.1849381,.14078049,280.61102,
2074,0,.1835352,.14423519,282.85117,
2075,0,.17804161,.1496776,285.1214,
2076,0,.1882281,.1491524,287.31677,
2077,0,.1852994,.1538855,289.54071,
2078,0,.1824829,.16014449,291.79376,
2079,0,.1834702,.16248821,294.07654,
2080,0,.1745881,.16647629,296.38956,
2081,0,.158819,.17647929,298.67761,
2082,0,.152064,.1806991,300.99542,
2083,0,.13055611,.1874593,303.34363,
2084,0,.133599,.1902307,305.72278,
2085,0,.136604,.19129761,308.13342,
2086,0,.13041361,.1933654,310.52142,
2087,0,.1212435,.198553,312.9397,
2088,0,.12664589,.2005427,315.38879,
2089,0,.1249689,.20270699,317.86932,
2090,0,.1200475,.2081435,320.38184,
2091,0,.112702,.2128794,322.97079,
2092,0,.1151338,.2140128,325.59216,
2093,0,.102142,.2200346,328.24652,
2094,0,.1020353,.2223915,330.93439,
2095,0,.103638,.22272161,333.65637,
2096,0,.1153514,.22295339,336.37152,
2097,0,.1125194,.22691479,339.11966,
2098,0,.1205772,.22522131,341.90131,
2099,0,.1187198,.226971,344.71698,
2100,0,.11970143,.2288477,347.56726,1.0082685
2101,0,.12069127,.2307401,350.44138,1.0166061
2102,0,.12168941,.23264836,353.33957,1.0250136
2103,0,.12269589,.23457257,356.26202,1.0334914
2104,0,.12371083,.23651294,359.20898,1.0420403
2105,0,.12473423,.23846951,362.1806,1.0506607
2106,0,.12576623,.24044251,365.17712,1.0593535
2107,0,.12680687,.24243203,368.19873,1.0681189
2108,0,.12785622,.2444382,371.24567,1.0769578
2109,0,.12891437,.2464612,374.31812,1.0858709
2110,0,.12998137,.24850111,377.41629,1.0948584
2111,0,.13105734,.25055814,380.54044,1.1039214
2112,0,.13214231,.25263241,383.6908,1.1130604
2113,0,.13323636,.25472406,386.86752,1.1222758
2114,0,.1343396,.25683326,390.07089,1.1315686
2115,0,.13545208,.25896013,393.30112,1.1409392
2116,0,.13657388,.26110479,396.55841,1.1503884
2117,0,.13770509,.26326746,399.84302,1.1599168
2118,0,.1388458,.26544833,403.15521,1.1695253
2119,0,.13999607,.26764742,406.49512,1.1792141
2120,0,.14115599,.26986498,409.8631,1.1889844
2121,0,.14232562,.2721011,413.25928,1.1988364
2122,0,.14350508,.27435601,416.68396,1.2087712
2123,0,.14469443,.27662984,420.13739,1.2187893
2124,0,.14589375,.27892274,423.61978,1.2288915
2125,0,.14710316,.28123489,427.13141,1.2390785
2126,0,.14832269,.28356642,430.67249,1.2493509
2127,0,.14955248,.28591755,434.24329,1.2597096
