year,cons,beta1,beta2,ssp,global_consumption,ratio
2020,0,.08891762,-.1629557,SSP3,129252283307119.9,
2021,0,.077446327,-.091380887,SSP3,133438781759047.3,
2022,0,.11465717,-.140387,SSP3,137810561281902.9,
2023,0,.12281406,-.12082515,SSP3,142377423276384.9,
2024,0,.13646419,-.11077946,SSP3,147149757847038.7,
2025,0,.12119161,-.063414164,SSP3,152138584224126.4,
2026,0,.13329341,-.085859485,SSP3,155961367567281,
2027,0,.14463963,-.095319852,SSP3,159904668872190,
2028,0,.12648347,-.054058049,SSP3,163972947544871.1,
2029,0,.1042242,-.018522155,SSP3,168170851504198.3,
2030,0,.098046586,-.002492999,SSP3,172503226489657.2,
2031,0,.10065774,.016270155,SSP3,175844495604288.9,
2032,0,.12763834,-.0026741002,SSP3,179261342809958.5,
2033,0,.11431836,.013090133,SSP3,182755716201347.1,
2034,0,.13881037,-.0099671809,SSP3,186329619389619.3,
2035,0,.13307491,.0085782148,SSP3,189985113306012.1,
2036,0,.12216609,.021552648,SSP3,192981075671825.2,
2037,0,.12316092,.023078291,SSP3,196029733339098.6,
2038,0,.15292312,.0073710345,SSP3,199132120483814.9,
2039,0,.17323337,.000063311541,SSP3,202289293152061.4,
2040,0,.17476304,.001817167,SSP3,205502329779220.7,
2041,0,.18470766,.00048200149,SSP3,208183556210493.1,
2042,0,.19249409,.0086703356,SSP3,210903148260447.4,
2043,0,.18296321,.024400722,SSP3,213661752349356.4,
2044,0,.17560492,.035735965,SSP3,216460027539270.9,
2045,0,.17687489,.041223794,SSP3,219298645824932.8,
2046,0,.16452278,.05634059,SSP3,221616441685438.7,
2047,0,.16617362,.05898533,SSP3,223962863373954.6,
2048,0,.16077815,.066038817,SSP3,226338388196874.4,
2049,0,.16301903,.07118623,SSP3,228743503359462.7,
2050,0,.15896599,.078537695,SSP3,231178706203161.2,
2051,0,.16216508,.084470838,SSP3,233299625784911.1,
2052,0,.1747759,.078937195,SSP3,235445971224308.1,
2053,0,.18324052,.081145138,SSP3,237618195397537.4,
2054,0,.18437278,.084142856,SSP3,239816761082924.6,
2055,0,.18790278,.086873472,SSP3,242042141204133.7,
2056,0,.17486078,.093892969,SSP3,244096901759190.2,
2057,0,.17027625,.10072541,SSP3,246176311999802.8,
