,discrate,year,ce_damages,pulse,rcp,variable
0,1.0,2015.0,0.0,pulse,rcp85,nocons_ce_df_coeffs_SSP3
1,1.0,2016.0,0.0,pulse,rcp85,nocons_ce_df_coeffs_SSP3
2,1.0,2017.0,0.0,pulse,rcp85,nocons_ce_df_coeffs_SSP3
3,1.0,2018.0,0.0,pulse,rcp85,nocons_ce_df_coeffs_SSP3
4,1.0,2019.0,0.0,pulse,rcp85,nocons_ce_df_coeffs_SSP3
5,1.0,2020.0,-5.144862121486682e-05,pulse,rcp85,nocons_ce_df_coeffs_SSP3
6,1.0,2021.0,0.005531164821663381,pulse,rcp85,nocons_ce_df_coeffs_SSP3
7,1.0,2022.0,0.006221024543718201,pulse,rcp85,nocons_ce_df_coeffs_SSP3
8,1.0,2023.0,0.011340101710015205,pulse,rcp85,nocons_ce_df_coeffs_SSP3
9,1.0,2024.0,0.016910532686598145,pulse,rcp85,nocons_ce_df_coeffs_SSP3
10,1.0,2025.0,0.024830513954773537,pulse,rcp85,nocons_ce_df_coeffs_SSP3
11,1.0,2026.0,0.02034823813839637,pulse,rcp85,nocons_ce_df_coeffs_SSP3
12,1.0,2027.0,0.019481312098367454,pulse,rcp85,nocons_ce_df_coeffs_SSP3
13,1.0,2028.0,0.026952548152307187,pulse,rcp85,nocons_ce_df_coeffs_SSP3
14,1.0,2029.0,0.03183608364750867,pulse,rcp85,nocons_ce_df_coeffs_SSP3
15,1.0,2030.0,0.03552684666306227,pulse,rcp85,nocons_ce_df_coeffs_SSP3
16,1.0,2031.0,0.044033758042715476,pulse,rcp85,nocons_ce_df_coeffs_SSP3
17,1.0,2032.0,0.04483966529166139,pulse,rcp85,nocons_ce_df_coeffs_SSP3
18,1.0,2033.0,0.04653459669625448,pulse,rcp85,nocons_ce_df_coeffs_SSP3
19,1.0,2034.0,0.04345160420925254,pulse,rcp85,nocons_ce_df_coeffs_SSP3
20,1.0,2035.0,0.04963346865782725,pulse,rcp85,nocons_ce_df_coeffs_SSP3
21,1.0,2036.0,0.05194180849003871,pulse,rcp85,nocons_ce_df_coeffs_SSP3
22,1.0,2037.0,0.05260894600377952,pulse,rcp85,nocons_ce_df_coeffs_SSP3
23,1.0,2038.0,0.05323824650351483,pulse,rcp85,nocons_ce_df_coeffs_SSP3
24,1.0,2039.0,0.054783378614928324,pulse,rcp85,nocons_ce_df_coeffs_SSP3
25,1.0,2040.0,0.05523665116476906,pulse,rcp85,nocons_ce_df_coeffs_SSP3
26,1.0,2041.0,0.05653285244079598,pulse,rcp85,nocons_ce_df_coeffs_SSP3
27,1.0,2042.0,0.06258422466866875,pulse,rcp85,nocons_ce_df_coeffs_SSP3
28,1.0,2043.0,0.06806588744032638,pulse,rcp85,nocons_ce_df_coeffs_SSP3
29,1.0,2044.0,0.07201233037999089,pulse,rcp85,nocons_ce_df_coeffs_SSP3
30,1.0,2045.0,0.07529953537973455,pulse,rcp85,nocons_ce_df_coeffs_SSP3
31,1.0,2046.0,0.08099943573606083,pulse,rcp85,nocons_ce_df_coeffs_SSP3
32,1.0,2047.0,0.0831966301833802,pulse,rcp85,nocons_ce_df_coeffs_SSP3
33,1.0,2048.0,0.08638264902179316,pulse,rcp85,nocons_ce_df_coeffs_SSP3
34,1.0,2049.0,0.09038555789328484,pulse,rcp85,nocons_ce_df_coeffs_SSP3
35,1.0,2050.0,0.09412096079762478,pulse,rcp85,nocons_ce_df_coeffs_SSP3
