,discrate,year,rcp,variable,pulse,damages
0,1.0,2020.0,rcp45,nocons_betas_SSP3,pulse,0.002612829625069322
1,1.0,2020.0,rcp85,nocons_betas_SSP3,pulse,-0.00017196456867542173
2,1.0,2021.0,rcp45,nocons_betas_SSP3,pulse,0.008242629073360125
3,1.0,2021.0,rcp85,nocons_betas_SSP3,pulse,0.00533992050437529
4,1.0,2022.0,rcp45,nocons_betas_SSP3,pulse,0.012117144315235785
5,1.0,2022.0,rcp85,nocons_betas_SSP3,pulse,0.005993808203074285
6,1.0,2023.0,rcp45,nocons_betas_SSP3,pulse,0.017664361512782323
7,1.0,2023.0,rcp85,nocons_betas_SSP3,pulse,0.011088852251478586
8,1.0,2024.0,rcp45,nocons_betas_SSP3,pulse,0.023751518757117115
9,1.0,2024.0,rcp85,nocons_betas_SSP3,pulse,0.016653460189418403
10,1.0,2025.0,rcp45,nocons_betas_SSP3,pulse,0.0292956806079542
11,1.0,2025.0,rcp85,nocons_betas_SSP3,pulse,0.024561156915349783
12,1.0,2026.0,rcp45,nocons_betas_SSP3,pulse,0.026988155840339256
13,1.0,2026.0,rcp85,nocons_betas_SSP3,pulse,0.020079329853950504
14,1.0,2027.0,rcp45,nocons_betas_SSP3,pulse,0.02750013427234988
15,1.0,2027.0,rcp85,nocons_betas_SSP3,pulse,0.01919913511217096
16,1.0,2028.0,rcp45,nocons_betas_SSP3,pulse,0.03190984645833261
17,1.0,2028.0,rcp85,nocons_betas_SSP3,pulse,0.026652691938237764
18,1.0,2029.0,rcp45,nocons_betas_SSP3,pulse,0.03374223729408323
19,1.0,2029.0,rcp85,nocons_betas_SSP3,pulse,0.03153257947953634
20,1.0,2030.0,rcp45,nocons_betas_SSP3,pulse,0.03595963185041435
21,1.0,2030.0,rcp85,nocons_betas_SSP3,pulse,0.03520721183061265
22,1.0,2031.0,rcp45,nocons_betas_SSP3,pulse,0.04260028674189482
23,1.0,2031.0,rcp85,nocons_betas_SSP3,pulse,0.043709742552630305
24,1.0,2032.0,rcp45,nocons_betas_SSP3,pulse,0.0455422246657816
25,1.0,2032.0,rcp85,nocons_betas_SSP3,pulse,0.04452114417545903
26,1.0,2033.0,rcp45,nocons_betas_SSP3,pulse,0.04542680693019944
27,1.0,2033.0,rcp85,nocons_betas_SSP3,pulse,0.04621602778477664
28,1.0,2034.0,rcp45,nocons_betas_SSP3,pulse,0.04518709574057583
29,1.0,2034.0,rcp85,nocons_betas_SSP3,pulse,0.043132745037245984
30,1.0,2035.0,rcp45,nocons_betas_SSP3,pulse,0.04912754366597867
31,1.0,2035.0,rcp85,nocons_betas_SSP3,pulse,0.04931224203038841
32,1.0,2036.0,rcp45,nocons_betas_SSP3,pulse,0.049666092358191145
33,1.0,2036.0,rcp85,nocons_betas_SSP3,pulse,0.05160941316779901
34,1.0,2037.0,rcp45,nocons_betas_SSP3,pulse,0.05004813996411163
