,discrate,year,ce_damages,pulse,rcp,variable
0,1.0,2015.0,0.0,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
1,1.0,2016.0,0.0,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
2,1.0,2017.0,0.0,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
3,1.0,2018.0,0.0,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
4,1.0,2019.0,0.0,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
5,1.0,2020.0,-0.00017196388073736912,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
6,1.0,2021.0,0.005339920701723955,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
7,1.0,2022.0,0.005993808203073492,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
8,1.0,2023.0,0.011088852251478265,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
9,1.0,2024.0,0.0166534638766187,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
10,1.0,2025.0,0.024561156580581667,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
11,1.0,2026.0,0.020079330214286983,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
12,1.0,2027.0,0.019199139723690806,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
13,1.0,2028.0,0.02665269536844228,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
14,1.0,2029.0,0.03153257947953669,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
15,1.0,2030.0,0.035207211499846736,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
16,1.0,2031.0,0.04370974181845533,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
17,1.0,2032.0,0.04452114417546227,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
18,1.0,2033.0,0.046216027784776514,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
19,1.0,2034.0,0.043132744941221546,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
20,1.0,2035.0,0.049312242080070234,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
21,1.0,2036.0,0.051609413167799545,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
22,1.0,2037.0,0.05228896955003037,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
23,1.0,2038.0,0.05291505242753658,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
24,1.0,2039.0,0.054447265644704146,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
25,1.0,2040.0,0.05489057765721839,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
26,1.0,2041.0,0.05617609374312593,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
27,1.0,2042.0,0.06222470416127379,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
28,1.0,2043.0,0.0676992401850498,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
29,1.0,2044.0,0.07164123754292717,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
30,1.0,2045.0,0.07491587031741176,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
31,1.0,2046.0,0.08059492948680713,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
32,1.0,2047.0,0.08278141138710993,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
33,1.0,2048.0,0.08595677074688979,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
34,1.0,2049.0,0.08993194708406804,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
35,1.0,2050.0,0.09365293864679813,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
36,1.0,2051.0,0.09833422804662462,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
37,1.0,2052.0,0.09756305197173276,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
38,1.0,2053.0,0.10090704241113713,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
39,1.0,2054.0,0.1030745729621998,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
40,1.0,2055.0,0.10580495116899158,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
41,1.0,2056.0,0.10784187756875951,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
42,1.0,2057.0,0.11188767720881287,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
43,1.0,2058.0,0.11539238829811893,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
44,1.0,2059.0,0.11899850164601844,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
45,1.0,2060.0,0.12007955645306367,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
46,1.0,2061.0,0.1233550514752153,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
47,1.0,2062.0,0.1252039293525371,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
48,1.0,2063.0,0.12624861743137217,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
49,1.0,2064.0,0.1267521508368361,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
50,1.0,2065.0,0.13048588405185058,pulse,rcp85,nocons_smooth_df_mean_output_SSP3
