,discount_type,ssp,year,global_cons_constant_model_collapsed
0,constant_model_collapsed,SSP2,2020,132582350866573.81
1,constant_model_collapsed,SSP2,2021,137709896708276.38
2,constant_model_collapsed,SSP2,2022,143084869496867.34
3,constant_model_collapsed,SSP2,2023,148721350668561.62
4,constant_model_collapsed,SSP2,2024,154634327767727.2
5,constant_model_collapsed,SSP2,2025,160839759840514.3
6,constant_model_collapsed,SSP2,2026,166061983216348.3
7,constant_model_collapsed,SSP2,2027,171482763550731.56
8,constant_model_collapsed,SSP2,2028,177110746014116.38
9,constant_model_collapsed,SSP2,2029,182954996814893.06
10,constant_model_collapsed,SSP2,2030,189025026181678.56
11,constant_model_collapsed,SSP2,2031,194161423885648.44
12,constant_model_collapsed,SSP2,2032,199455582608940.56
13,constant_model_collapsed,SSP2,2033,204912979032852.66
14,constant_model_collapsed,SSP2,2034,210539300230835.7
15,constant_model_collapsed,SSP2,2035,216340452554802.44
16,constant_model_collapsed,SSP2,2036,221414399670109.0
17,constant_model_collapsed,SSP2,2037,226624320390027.88
18,constant_model_collapsed,SSP2,2038,231974435409586.75
19,constant_model_collapsed,SSP2,2039,237469114006309.5
20,constant_model_collapsed,SSP2,2040,243112879836145.38
21,constant_model_collapsed,SSP2,2041,248192141690702.84
22,constant_model_collapsed,SSP2,2042,253396244089462.72
23,constant_model_collapsed,SSP2,2043,258728898064603.38
24,constant_model_collapsed,SSP2,2044,264193944397485.16
25,constant_model_collapsed,SSP2,2045,269795358728949.22
26,constant_model_collapsed,SSP2,2046,274850078997324.0
27,constant_model_collapsed,SSP2,2047,280022732280873.62
28,constant_model_collapsed,SSP2,2048,285316825713598.9
29,constant_model_collapsed,SSP2,2049,290735991842121.9
30,constant_model_collapsed,SSP2,2050,296283993678104.06
31,constant_model_collapsed,SSP2,2051,301444258614615.4
32,constant_model_collapsed,SSP2,2052,306722205582905.6
33,constant_model_collapsed,SSP2,2053,312121389316741.06
34,constant_model_collapsed,SSP2,2054,317645494861135.1
35,constant_model_collapsed,SSP2,2055,323298342928921.25
36,constant_model_collapsed,SSP2,2056,328661384047664.4
37,constant_model_collapsed,SSP2,2057,334144499311704.6
38,constant_model_collapsed,SSP2,2058,339751315333522.75
39,constant_model_collapsed,SSP2,2059,345485592518721.5
40,constant_model_collapsed,SSP2,2060,351351230601789.75
41,constant_model_collapsed,SSP2,2061,356949244732675.25
42,constant_model_collapsed,SSP2,2062,362670501130226.6
43,constant_model_collapsed,SSP2,2063,368518709289969.56
44,constant_model_collapsed,SSP2,2064,374497715530647.75
45,constant_model_collapsed,SSP2,2065,380611508638716.9
46,constant_model_collapsed,SSP2,2066,386347981826094.6
47,constant_model_collapsed,SSP2,2067,392207523767815.94
48,constant_model_collapsed,SSP2,2068,398193807752627.6
49,constant_model_collapsed,SSP2,2069,404310641721055.4
50,constant_model_collapsed,SSP2,2070,410561973762927.25
51,constant_model_collapsed,SSP2,2071,416440067440449.06
52,constant_model_collapsed,SSP2,2072,422441584332512.9
53,constant_model_collapsed,SSP2,2073,428570181115338.7
54,constant_model_collapsed,SSP2,2074,434829646900421.5
55,constant_model_collapsed,SSP2,2075,441223908528816.5
56,constant_model_collapsed,SSP2,2076,447237204056905.75
57,constant_model_collapsed,SSP2,2077,453372099984636.75
58,constant_model_collapsed,SSP2,2078,459632096898959.4
59,constant_model_collapsed,SSP2,2079,466020818552050.5
60,constant_model_collapsed,SSP2,2080,472542016625571.6
61,constant_model_collapsed,SSP2,2081,478753184290336.9
62,constant_model_collapsed,SSP2,2082,485086835273795.25
63,constant_model_collapsed,SSP2,2083,491546412121909.9
64,constant_model_collapsed,SSP2,2084,498135474841687.0
65,constant_model_collapsed,SSP2,2085,504857705277450.6
66,constant_model_collapsed,SSP2,2086,511227464524616.8
67,constant_model_collapsed,SSP2,2087,517717380956108.1
68,constant_model_collapsed,SSP2,2088,524330676755075.9
69,constant_model_collapsed,SSP2,2089,531070679124459.75
70,constant_model_collapsed,SSP2,2090,537940824029409.4
71,constant_model_collapsed,SSP2,2091,544555979363975.8
72,constant_model_collapsed,SSP2,2092,551292069132707.1
73,constant_model_collapsed,SSP2,2093,558152210065252.0
74,constant_model_collapsed,SSP2,2094,565139616139316.9
75,constant_model_collapsed,SSP2,2095,572257601890418.6
76,constant_model_collapsed,SSP2,2096,578968573667156.5
77,constant_model_collapsed,SSP2,2097,585794732667514.0
78,constant_model_collapsed,SSP2,2098,592738864427686.4
79,constant_model_collapsed,SSP2,2099,599803836628916.2
80,constant_model_collapsed,SSP2,2100,608471671325494.0
81,constant_model_collapsed,SSP2,2101,617264765904951.9
82,constant_model_collapsed,SSP2,2102,626184930512361.6
83,constant_model_collapsed,SSP2,2103,635234001451411.1
84,constant_model_collapsed,SSP2,2104,644413841562425.6
85,constant_model_collapsed,SSP2,2105,653726340605851.2
86,constant_model_collapsed,SSP2,2106,663173415651281.2
87,constant_model_collapsed,SSP2,2107,672757011472103.6
88,constant_model_collapsed,SSP2,2108,682479100945852.0
89,constant_model_collapsed,SSP2,2109,692341685460341.2
90,constant_model_collapsed,SSP2,2110,702346795325673.9
91,constant_model_collapsed,SSP2,2111,712496490192198.2
92,constant_model_collapsed,SSP2,2112,722792859474508.5
93,constant_model_collapsed,SSP2,2113,733238022781571.1
94,constant_model_collapsed,SSP2,2114,743834130353067.4
95,constant_model_collapsed,SSP2,2115,754583363502040.9
96,constant_model_collapsed,SSP2,2116,765487935063942.9
97,constant_model_collapsed,SSP2,2117,776550089852165.5
98,constant_model_collapsed,SSP2,2118,787772105120159.9
99,constant_model_collapsed,SSP2,2119,799156291030229.4
100,constant_model_collapsed,SSP2,2120,810704991129101.5
101,constant_model_collapsed,SSP2,2121,822420582830368.1
102,constant_model_collapsed,SSP2,2122,834305477903900.2
103,constant_model_collapsed,SSP2,2123,846362122972335.2
104,constant_model_collapsed,SSP2,2124,858593000014736.5
105,constant_model_collapsed,SSP2,2125,871000626877534.9
106,constant_model_collapsed,SSP2,2126,883587557792851.5
107,constant_model_collapsed,SSP2,2127,896356383904311.8
108,constant_model_collapsed,SSP2,2128,909309733800457.1
109,constant_model_collapsed,SSP2,2129,922450274055866.8
110,constant_model_collapsed,SSP2,2130,935780709780098.1
111,constant_model_collapsed,SSP2,2131,949303785174559.6
112,constant_model_collapsed,SSP2,2132,963022284097432.2
113,constant_model_collapsed,SSP2,2133,976939030636753.9
114,constant_model_collapsed,SSP2,2134,991056889691785.6
115,constant_model_collapsed,SSP2,2135,1005378767562779.4
116,constant_model_collapsed,SSP2,2136,1019907612549269.0
117,constant_model_collapsed,SSP2,2137,1034646415557005.8
118,constant_model_collapsed,SSP2,2138,1049598210713666.6
119,constant_model_collapsed,SSP2,2139,1064766075993458.8
120,constant_model_collapsed,SSP2,2140,1080153133850751.1
121,constant_model_collapsed,SSP2,2141,1095762551862862.0
122,constant_model_collapsed,SSP2,2142,1111597543382137.1
123,constant_model_collapsed,SSP2,2143,1127661368197448.0
124,constant_model_collapsed,SSP2,2144,1143957333205253.2
125,constant_model_collapsed,SSP2,2145,1160488793090355.0
126,constant_model_collapsed,SSP2,2146,1177259151016493.8
127,constant_model_collapsed,SSP2,2147,1194271859326923.8
128,constant_model_collapsed,SSP2,2148,1211530420255110.5
129,constant_model_collapsed,SSP2,2149,1229038386645701.5
130,constant_model_collapsed,SSP2,2150,1246799362685913.8
131,constant_model_collapsed,SSP2,2151,1264817004647490.5
132,constant_model_collapsed,SSP2,2152,1283095021639382.0
133,constant_model_collapsed,SSP2,2153,1301637176371301.0
134,constant_model_collapsed,SSP2,2154,1320447285928314.0
135,constant_model_collapsed,SSP2,2155,1339529222556626.0
136,constant_model_collapsed,SSP2,2156,1358886914460720.2
137,constant_model_collapsed,SSP2,2157,1378524346612017.5
138,constant_model_collapsed,SSP2,2158,1398445561569222.2
139,constant_model_collapsed,SSP2,2159,1418654660310523.2
140,constant_model_collapsed,SSP2,2160,1439155803077819.0
141,constant_model_collapsed,SSP2,2161,1459953210233146.8
142,constant_model_collapsed,SSP2,2162,1481051163127482.8
143,constant_model_collapsed,SSP2,2163,1502454004982103.0
