,year,cons,beta1,beta2
0,2015,0.0,0.054671688400324325,-0.09946183052484618
1,2016,0.0,0.07730550465021069,-0.16319022338064756
2,2017,0.0,0.07031326583253471,-0.15655775067464914
3,2018,0.0,0.0756928491599158,-0.16798018514760446
4,2019,0.0,0.07738828876901511,-0.16482666962130835
5,2020,0.0,0.08891761967772187,-0.16295570798326667
6,2021,0.0,0.07744632898004321,-0.09138088448096651
7,2022,0.0,0.11465717088495618,-0.14038700141877866
8,2023,0.0,0.12281405711559074,-0.12082514784581853
9,2024,0.0,0.1364641903431409,-0.11077946663806652
10,2025,0.0,0.1211916039729171,-0.06341416380016586
11,2026,0.0,0.1332934038711564,-0.08585948700564135
12,2027,0.0,0.1446396294495083,-0.09531985233148868
13,2028,0.0,0.1264834648266779,-0.054058047302009055
14,2029,0.0,0.104224200055692,-0.01852215371978735
15,2030,0.0,0.09804658321753636,-0.0024929988845053875
16,2031,0.0,0.10065773873472192,0.016270155171028897
17,2032,0.0,0.12763833392569846,-0.0026741001184657966
18,2033,0.0,0.11431835324791224,0.013090132728474925
19,2034,0.0,0.13881035908941677,-0.00996718124372227
20,2035,0.0,0.1330749082303674,0.008578214574475882
21,2036,0.0,0.12216608857328873,0.02155264818609967
22,2037,0.0,0.12316091961632665,0.023078289906129874
23,2038,0.0,0.15292312679753106,0.007371034490492459
24,2039,0.0,0.1732333817428988,6.331154419277262e-05
25,2040,0.0,0.17476304237173637,0.0018171670477647207
26,2041,0.0,0.18470766269762995,0.0004820014967470238
27,2042,0.0,0.1924940961818932,0.008670335470669057
28,2043,0.0,0.18296320792958815,0.02440072217539784
29,2044,0.0,0.1756049298762414,0.035735964600630964
30,2045,0.0,0.17687488891556732,0.04122379285782957
31,2046,0.0,0.1645227857942133,0.056340589437192126
32,2047,0.0,0.1661736268389713,0.058985329533697624
33,2048,0.0,0.16077814499405535,0.06603881758212833
34,2049,0.0,0.16301903148822483,0.07118623303508938
35,2050,0.0,0.15896598721265634,0.07853769762301381
36,2051,0.0,0.16216508224322274,0.08447084202806275
37,2052,0.0,0.17477590541877955,0.07893719528304496
38,2053,0.0,0.18324052211939224,0.08114513517177095
39,2054,0.0,0.18437277533685284,0.08414285517392059
40,2055,0.0,0.18790277365107944,0.08687347288687924
41,2056,0.0,0.17486077130267208,0.09389297022613373
42,2057,0.0,0.17027624813051045,0.10072541254483684
43,2058,0.0,0.16985619814317882,0.10532730216088756
44,2059,0.0,0.17432816640986104,0.10852838271506801
45,2060,0.0,0.18397359203810104,0.10700822891562728
46,2061,0.0,0.18567592433411223,0.11099025568265516
47,2062,0.0,0.1937103804785332,0.11133140619004127
48,2063,0.0,0.1837450186327338,0.11570465161470238
49,2064,0.0,0.1925244997922169,0.11406811376653447
50,2065,0.0,0.1853889994160224,0.12091746580347355
51,2066,0.0,0.17979358124225703,0.12695356337810118
52,2067,0.0,0.18838963167603387,0.12611234195261029
53,2068,0.0,0.19973290882812755,0.12474063574367121
54,2069,0.0,0.17762032984313736,0.13527593926819334
55,2070,0.0,0.17335608549470893,0.1404828731776702
56,2071,0.0,0.1819350807061581,0.13752815695005807
57,2072,0.0,0.1853697254596248,0.13868390685780704
58,2073,0.0,0.18390330781084463,0.1421978104125955
59,2074,0.0,0.18234412099483344,0.14571739188337174
60,2075,0.0,0.17658672380534043,0.15126722479690227
61,2076,0.0,0.1866527084858927,0.1507927136727223
62,2077,0.0,0.1835218070251541,0.15561539987398967
63,2078,0.0,0.180430157664281,0.16200111318547353
64,2079,0.0,0.1812293608776361,0.164415760017694
65,2080,0.0,0.1720778795902826,0.16848909607111512
66,2081,0.0,0.1558016122886398,0.1786870887779081
67,2082,0.0,0.1487652553218545,0.18300281861082915
68,2083,0.0,0.1267908989133147,0.18990968327674665
69,2084,0.0,0.12948950414799748,0.1928039522801448
70,2085,0.0,0.13230186928724677,0.19393526740462164
71,2086,0.0,0.12579090160546977,0.19608927862627756
72,2087,0.0,0.11607921940026843,0.20144673999282972
73,2088,0.0,0.120951368095287,0.20359547885160598
74,2089,0.0,0.11890255722062835,0.20586745159852413
75,2090,0.0,0.11336156064013735,0.21150487624892172
76,2091,0.0,0.10550373029931731,0.21639700217899513
77,2092,0.0,0.10755639872201132,0.2176314756087691
78,2093,0.0,0.09392195493713557,0.22384196049540084
79,2094,0.0,0.093372677422985,0.22631927513408387
80,2095,0.0,0.09448539957632728,0.22676625248881407
81,2096,0.0,0.10560881623337653,0.2271500351246692
82,2097,0.0,0.10196415416190441,0.23133175183752028
83,2098,0.0,0.10986626228323218,0.229659621544362
84,2099,0.0,0.10756775375385395,0.23152687404062916
85,2100,0.0,0.09998344197817152,0.2390910611150513
86,2101,0.0,0.09863325525300873,0.24195686434955122
87,2102,0.0,0.09728306852784593,0.24482266758405108
88,2103,0.0,0.09593288180268314,0.24768847081855103
89,2104,0.0,0.09458269507752035,0.2505542740530509
90,2105,0.0,0.09323250835235754,0.25342007728755084
91,2106,0.0,0.09188232162719476,0.25628588052205076
