,discrate,year,rcp,damages,pulse,variable
0,1.0,2015.0,rcp45,0.0,pulse,ce_betas_SSP3
1,1.0,2015.0,rcp85,0.0,pulse,ce_betas_SSP3
2,1.0,2016.0,rcp45,0.0,pulse,ce_betas_SSP3
3,1.0,2016.0,rcp85,0.0,pulse,ce_betas_SSP3
4,1.0,2017.0,rcp45,0.0,pulse,ce_betas_SSP3
5,1.0,2017.0,rcp85,0.0,pulse,ce_betas_SSP3
6,1.0,2018.0,rcp45,0.0,pulse,ce_betas_SSP3
7,1.0,2018.0,rcp85,0.0,pulse,ce_betas_SSP3
8,1.0,2019.0,rcp45,0.0,pulse,ce_betas_SSP3
9,1.0,2019.0,rcp85,0.0,pulse,ce_betas_SSP3
10,1.0,2020.0,rcp45,0.0027569750055414567,pulse,ce_betas_SSP3
11,1.0,2020.0,rcp85,-5.144789982762498e-05,pulse,ce_betas_SSP3
12,1.0,2021.0,rcp45,0.008471248019430652,pulse,ce_betas_SSP3
13,1.0,2021.0,rcp85,0.005531163944779223,pulse,ce_betas_SSP3
14,1.0,2022.0,rcp45,0.012392018261896716,pulse,ce_betas_SSP3
15,1.0,2022.0,rcp85,0.006221024565857943,pulse,ce_betas_SSP3
16,1.0,2023.0,rcp45,0.017966032449979047,pulse,ce_betas_SSP3
17,1.0,2023.0,rcp85,0.011340102153487536,pulse,ce_betas_SSP3
18,1.0,2024.0,rcp45,0.024064133254354383,pulse,ce_betas_SSP3
19,1.0,2024.0,rcp85,0.016910534561846647,pulse,ce_betas_SSP3
20,1.0,2025.0,rcp45,0.029619260641691934,pulse,ce_betas_SSP3
21,1.0,2025.0,rcp85,0.024830516178492437,pulse,ce_betas_SSP3
22,1.0,2026.0,rcp45,0.027315658444218908,pulse,ce_betas_SSP3
23,1.0,2026.0,rcp85,0.02034824121927088,pulse,ce_betas_SSP3
24,1.0,2027.0,rcp45,0.027835780934232876,pulse,ce_betas_SSP3
25,1.0,2027.0,rcp85,0.019481312436368907,pulse,ce_betas_SSP3
26,1.0,2028.0,rcp45,0.03225353133260389,pulse,ce_betas_SSP3
27,1.0,2028.0,rcp85,0.026952549458303946,pulse,ce_betas_SSP3
28,1.0,2029.0,rcp45,0.034089098069363354,pulse,ce_betas_SSP3
29,1.0,2029.0,rcp85,0.03183608310045847,pulse,ce_betas_SSP3
30,1.0,2030.0,rcp45,0.03631274911708583,pulse,ce_betas_SSP3
31,1.0,2030.0,rcp85,0.035526847652327644,pulse,ce_betas_SSP3
32,1.0,2031.0,rcp45,0.04295445781857894,pulse,ce_betas_SSP3
33,1.0,2031.0,rcp85,0.044033758432716584,pulse,ce_betas_SSP3
34,1.0,2032.0,rcp45,0.04589230173941108,pulse,ce_betas_SSP3
35,1.0,2032.0,rcp85,0.04483966744605805,pulse,ce_betas_SSP3
36,1.0,2033.0,rcp45,0.045771206224613094,pulse,ce_betas_SSP3
37,1.0,2033.0,rcp85,0.04653459921280602,pulse,ce_betas_SSP3
38,1.0,2034.0,rcp45,0.04552869440741826,pulse,ce_betas_SSP3
39,1.0,2034.0,rcp85,0.0434516081657395,pulse,ce_betas_SSP3
40,1.0,2035.0,rcp45,0.04946774468146144,pulse,ce_betas_SSP3
