year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax
2015,"ss","value",0,.0740718,-.1898514,.0913345,.4047082
2016,"ss","value",0,.0874307,-.2200589,.1043945,.452688
2017,"ss","value",0,.0753068,-.1941121,.1150177,.4898569
2018,"ss","value",0,.0899592,-.2184047,.1313385,.5439752
2019,"ss","value",0,.0867535,-.1959274,.1356659,.5908411
2020,"ss","value",0,1.18e+22,-2.20e+22,.1499573,.6357951
2021,"ss","value",0,2.22e+22,-3.90e+22,.1627564,.6857845
2022,"ss","value",0,3.15e+22,-5.21e+22,.185022,.7193935
2023,"ss","value",0,3.94e+22,-6.14e+22,.2035401,.7588283
2024,"ss","value",0,3.70e+22,-5.47e+22,.2167926,.8046947
2025,"ss","value",0,2.62e+22,-3.66e+22,.2303988,.8440318
2026,"ss","value",0,1.64e+22,-2.17e+22,.25,.8832209
2027,"ss","value",0,7.73e+21,-9.72e+21,.27,.9260995
2028,"ss","value",0,.1356346,-.0717448,.2737382,.983
2029,"ss","value",0,.1128468,-.0332665,.2793244,1.043
2030,"ss","value",0,.1125307,-.023883,.296344,1.103
2031,"ss","value",0,.1114268,.0012611,.3052537,1.173
2032,"ss","value",0,.1403279,-.0186906,.3230438,1.233
2033,"ss","value",0,.136786,-.0120451,.34,1.303
2034,"ss","value",0,.1573864,-.0301592,.3436951,1.363
2035,"ss","value",0,.1509917,-.0114248,.3410126,1.443
2036,"ss","value",0,.1430977,-.0007046,.3475724,1.513
2037,"ss","value",0,.1414255,.0032408,.3653474,1.593
2038,"ss","value",0,.1667479,-.0090358,.3843217,1.663
2039,"ss","value",0,.1837001,-.0139008,.4037126,1.733
2040,"ss","value",0,.1888343,-.0134461,.4052308,1.813
2041,"ss","value",0,3.88e+21,-2.52e+21,.4187425,1.893
2042,"ss","value",0,7.40e+21,-4.64e+21,.4325287,1.983
2043,"ss","value",0,1.05e+22,-6.36e+21,.46,2.073
2044,"ss","value",0,1.34e+22,-7.81e+21,.47,2.173
2045,"ss","value",0,1.60e+22,-8.97e+21,.48,2.273
2046,"ss","value",0,1.53e+22,-8.27e+21,.49,2.353
2047,"ss","value",0,1.46e+22,-7.65e+21,.5,2.443
2048,"ss","value",0,1.41e+22,-7.12e+21,.51,2.533
2049,"ss","value",0,1.36e+22,-6.66e+21,.52,2.623
