year,cons,beta1,beta2,global_cons_ramsey,ratio
2015,0,.05467169,-.099461831,105.85204,
2016,0,.077305503,-.16319023,110.00669,
2017,0,.070313267,-.15655775,114.40612,
2018,0,.075692847,-.16798018,119.06757,
2019,0,.077388287,-.16482668,124.00962,
2020,0,.08891762,-.1629557,129.25229,
2021,0,.077446327,-.091380887,133.43878,
2022,0,.11465717,-.140387,137.81056,
2023,0,.12281406,-.12082515,142.37743,
2024,0,.13646419,-.11077946,147.14975,
2025,0,.12119161,-.063414164,152.13858,
2026,0,.13329341,-.085859485,155.96136,
2027,0,.14463963,-.095319852,159.90466,
2028,0,.12648347,-.054058049,163.97295,
2029,0,.1042242,-.018522155,168.17084,
2030,0,.098046586,-.002492999,172.50322,
2031,0,.10065774,.016270155,175.84448,
2032,0,.12763834,-.0026741002,179.26134,
2033,0,.11431836,.013090133,182.75571,
2034,0,.13881037,-.0099671809,186.32962,
2035,0,.13307491,.0085782148,189.98511,
2036,0,.12216609,.021552648,192.98108,
2037,0,.12316092,.023078291,196.02972,
2038,0,.15292312,.0073710345,199.13211,
2039,0,.17323337,.000063311541,202.28929,
2040,0,.17476304,.001817167,205.50232,
2041,0,.18470766,.00048200149,208.18356,
2042,0,.19249409,.0086703356,210.90314,
2043,0,.18296321,.024400722,213.66174,
2044,0,.17560492,.035735965,216.46002,
2045,0,.17687489,.041223794,219.29865,
2046,0,.16452278,.05634059,221.61646,
2047,0,.16617362,.05898533,223.96286,
2048,0,.16077815,.066038817,226.33838,
2049,0,.16301903,.07118623,228.7435,
2050,0,.15896599,.078537695,231.17871,
2051,0,.16216508,.084470838,233.29962,
2052,0,.1747759,.078937195,235.44597,
2053,0,.18324052,.081145138,237.61819,
2054,0,.18437278,.084142856,239.81676,
2055,0,.18790278,.086873472,242.04214,
2056,0,.17486078,.093892969,244.09691,
2057,0,.17027625,.10072541,246.1763,
2058,0,.16985621,.1053273,248.28082,
2059,0,.17432816,.10852838,250.41092,
2060,0,.1839736,.10700823,252.56708,
2061,0,.18567592,.11099026,254.66396,
2062,0,.19371039,.1113314,256.78687,
2063,0,.18374501,.11570465,258.93628,
2064,0,.19252449,.11406811,261.1127,
2065,0,.185389,.12091747,263.31665,
2066,0,.17979358,.12695356,265.41205,
2067,0,.18838963,.12611234,267.53412,
2068,0,.19973291,.12474064,269.68335,
2069,0,.17762034,.13527595,271.86029,
2070,0,.17335609,.14048287,274.06543,
2071,0,.18193509,.13752815,276.21872,
2072,0,.18536973,.1386839,278.40039,
2073,0,.18390331,.14219782,280.61102,
2074,0,.18234412,.1457174,282.85117,
2075,0,.17658672,.15126723,285.1214,
2076,0,.18665271,.15079272,287.31677,
2077,0,.18352181,.1556154,289.54071,
2078,0,.18043016,.16200112,291.79376,
2079,0,.18122937,.16441576,294.07654,
2080,0,.17207788,.1684891,296.38956,
2081,0,.15580161,.1786871,298.67761,
2082,0,.14876525,.18300281,300.99542,
2083,0,.1267909,.18990968,303.34363,
2084,0,.12948951,.19280395,305.72278,
2085,0,.13230187,.19393526,308.13342,
2086,0,.12579091,.19608928,310.52142,
2087,0,.11607922,.20144674,312.9397,
2088,0,.12095137,.20359547,315.38879,
2089,0,.11890256,.20586745,317.86932,
2090,0,.11336156,.21150488,320.38184,
2091,0,.10550373,.216397,322.97079,
2092,0,.1075564,.21763147,325.59216,
2093,0,.093921952,.22384197,328.24652,
2094,0,.09337268,.22631927,330.93439,
2095,0,.094485402,.22676626,333.65637,
2096,0,.10560881,.22715004,336.37152,
2097,0,.10196415,.23133175,339.11966,
2098,0,.10986626,.22965962,341.90131,
2099,0,.10756776,.23152688,344.71698,
2100,0,.10845718,.23344125,347.56726,1.0082685
2101,0,.10935403,.23537163,350.44138,1.0166061
