,discrate,year,rcp,variable,pulse,damages
0,1.0,2015.0,rcp45,nocons_betas_SSP3,pulse,0.0
1,1.0,2015.0,rcp85,nocons_betas_SSP3,pulse,0.0
2,1.0,2016.0,rcp45,nocons_betas_SSP3,pulse,0.0
3,1.0,2016.0,rcp85,nocons_betas_SSP3,pulse,0.0
4,1.0,2017.0,rcp45,nocons_betas_SSP3,pulse,0.0
5,1.0,2017.0,rcp85,nocons_betas_SSP3,pulse,0.0
6,1.0,2018.0,rcp45,nocons_betas_SSP3,pulse,0.0
7,1.0,2018.0,rcp85,nocons_betas_SSP3,pulse,0.0
8,1.0,2019.0,rcp45,nocons_betas_SSP3,pulse,0.0
9,1.0,2019.0,rcp85,nocons_betas_SSP3,pulse,0.0
10,1.0,2020.0,rcp45,nocons_betas_SSP3,pulse,0.002612829625069322
11,1.0,2020.0,rcp85,nocons_betas_SSP3,pulse,-0.00017196456867542173
12,1.0,2021.0,rcp45,nocons_betas_SSP3,pulse,0.008242629073360125
13,1.0,2021.0,rcp85,nocons_betas_SSP3,pulse,0.00533992050437529
14,1.0,2022.0,rcp45,nocons_betas_SSP3,pulse,0.012117144315235785
15,1.0,2022.0,rcp85,nocons_betas_SSP3,pulse,0.005993808203074285
16,1.0,2023.0,rcp45,nocons_betas_SSP3,pulse,0.017664361512782323
17,1.0,2023.0,rcp85,nocons_betas_SSP3,pulse,0.011088852251478586
18,1.0,2024.0,rcp45,nocons_betas_SSP3,pulse,0.023751518757117115
19,1.0,2024.0,rcp85,nocons_betas_SSP3,pulse,0.016653460189418403
20,1.0,2025.0,rcp45,nocons_betas_SSP3,pulse,0.0292956806079542
21,1.0,2025.0,rcp85,nocons_betas_SSP3,pulse,0.024561156915349783
22,1.0,2026.0,rcp45,nocons_betas_SSP3,pulse,0.026988155840339256
23,1.0,2026.0,rcp85,nocons_betas_SSP3,pulse,0.020079329853950504
24,1.0,2027.0,rcp45,nocons_betas_SSP3,pulse,0.02750013427234988
25,1.0,2027.0,rcp85,nocons_betas_SSP3,pulse,0.01919913511217096
26,1.0,2028.0,rcp45,nocons_betas_SSP3,pulse,0.03190984645833261
27,1.0,2028.0,rcp85,nocons_betas_SSP3,pulse,0.026652691938237764
28,1.0,2029.0,rcp45,nocons_betas_SSP3,pulse,0.03374223729408323
29,1.0,2029.0,rcp85,nocons_betas_SSP3,pulse,0.03153257947953634
30,1.0,2030.0,rcp45,nocons_betas_SSP3,pulse,0.03595963185041435
31,1.0,2030.0,rcp85,nocons_betas_SSP3,pulse,0.03520721183061265
32,1.0,2031.0,rcp45,nocons_betas_SSP3,pulse,0.04260028674189482
33,1.0,2031.0,rcp85,nocons_betas_SSP3,pulse,0.043709742552630305
34,1.0,2032.0,rcp45,nocons_betas_SSP3,pulse,0.0455422246657816
35,1.0,2032.0,rcp85,nocons_betas_SSP3,pulse,0.04452114417545903
36,1.0,2033.0,rcp45,nocons_betas_SSP3,pulse,0.04542680693019944
37,1.0,2033.0,rcp85,nocons_betas_SSP3,pulse,0.04621602778477664
38,1.0,2034.0,rcp45,nocons_betas_SSP3,pulse,0.04518709574057583
39,1.0,2034.0,rcp85,nocons_betas_SSP3,pulse,0.043132745037245984
40,1.0,2035.0,rcp45,nocons_betas_SSP3,pulse,0.04912754366597867
41,1.0,2035.0,rcp85,nocons_betas_SSP3,pulse,0.04931224203038841
42,1.0,2036.0,rcp45,nocons_betas_SSP3,pulse,0.049666092358191145
43,1.0,2036.0,rcp85,nocons_betas_SSP3,pulse,0.05160941316779901
44,1.0,2037.0,rcp45,nocons_betas_SSP3,pulse,0.05004813996411163
45,1.0,2037.0,rcp85,nocons_betas_SSP3,pulse,0.05228896955002874
46,1.0,2038.0,rcp45,nocons_betas_SSP3,pulse,0.05301205654786143
47,1.0,2038.0,rcp85,nocons_betas_SSP3,pulse,0.052915049207292515
48,1.0,2039.0,rcp45,nocons_betas_SSP3,pulse,0.055783302696824785
49,1.0,2039.0,rcp85,nocons_betas_SSP3,pulse,0.054447265643601826
50,1.0,2040.0,rcp45,nocons_betas_SSP3,pulse,0.05602862303900327
51,1.0,2040.0,rcp85,nocons_betas_SSP3,pulse,0.05489057765722204
52,1.0,2041.0,rcp45,nocons_betas_SSP3,pulse,0.05765880696750735
53,1.0,2041.0,rcp85,nocons_betas_SSP3,pulse,0.05617609374313146
54,1.0,2042.0,rcp45,nocons_betas_SSP3,pulse,0.0624815604613257
55,1.0,2042.0,rcp85,nocons_betas_SSP3,pulse,0.06222470445013985
56,1.0,2043.0,rcp45,nocons_betas_SSP3,pulse,0.06519880460545786
57,1.0,2043.0,rcp85,nocons_betas_SSP3,pulse,0.0676992395983876
58,1.0,2044.0,rcp45,nocons_betas_SSP3,pulse,0.06699113549943826
59,1.0,2044.0,rcp85,nocons_betas_SSP3,pulse,0.07164123694603074
60,1.0,2045.0,rcp45,nocons_betas_SSP3,pulse,0.06913801584462625
61,1.0,2045.0,rcp85,nocons_betas_SSP3,pulse,0.07491587031741245
62,1.0,2046.0,rcp45,nocons_betas_SSP3,pulse,0.07168118147924561
63,1.0,2046.0,rcp85,nocons_betas_SSP3,pulse,0.08059493352150517
64,1.0,2047.0,rcp45,nocons_betas_SSP3,pulse,0.07311155180886884
65,1.0,2047.0,rcp85,nocons_betas_SSP3,pulse,0.0827814120257766
66,1.0,2048.0,rcp45,nocons_betas_SSP3,pulse,0.07454246977202819
67,1.0,2048.0,rcp85,nocons_betas_SSP3,pulse,0.08595676740113195
68,1.0,2049.0,rcp45,nocons_betas_SSP3,pulse,0.0771719112099239
69,1.0,2049.0,rcp85,nocons_betas_SSP3,pulse,0.08993194509446695
70,1.0,2050.0,rcp45,nocons_betas_SSP3,pulse,0.07893723152742266
71,1.0,2050.0,rcp85,nocons_betas_SSP3,pulse,0.09365293797557345
72,1.0,2051.0,rcp45,nocons_betas_SSP3,pulse,0.08196965575208821
73,1.0,2051.0,rcp85,nocons_betas_SSP3,pulse,0.09833422940291928
74,1.0,2052.0,rcp45,nocons_betas_SSP3,pulse,0.08215286323003806
75,1.0,2052.0,rcp85,nocons_betas_SSP3,pulse,0.09756305197172474
76,1.0,2053.0,rcp45,nocons_betas_SSP3,pulse,0.0847091373917623
77,1.0,2053.0,rcp85,nocons_betas_SSP3,pulse,0.10090704379140031
78,1.0,2054.0,rcp45,nocons_betas_SSP3,pulse,0.08577537751785728
79,1.0,2054.0,rcp85,nocons_betas_SSP3,pulse,0.10307457052228663
80,1.0,2055.0,rcp45,nocons_betas_SSP3,pulse,0.08748101877675105
81,1.0,2055.0,rcp85,nocons_betas_SSP3,pulse,0.10580494975933494
82,1.0,2056.0,rcp45,nocons_betas_SSP3,pulse,0.08717711967146857
83,1.0,2056.0,rcp85,nocons_betas_SSP3,pulse,0.10784187850350677
84,1.0,2057.0,rcp45,nocons_betas_SSP3,pulse,0.08896597707500208
85,1.0,2057.0,rcp85,nocons_betas_SSP3,pulse,0.11188767720882058
86,1.0,2058.0,rcp45,nocons_betas_SSP3,pulse,0.09078085714725559
87,1.0,2058.0,rcp85,nocons_betas_SSP3,pulse,0.11539238829811556
88,1.0,2059.0,rcp45,nocons_betas_SSP3,pulse,0.09311321141958864
89,1.0,2059.0,rcp85,nocons_betas_SSP3,pulse,0.11899850164601149
90,1.0,2060.0,rcp45,nocons_betas_SSP3,pulse,0.09423427668397569
91,1.0,2060.0,rcp85,nocons_betas_SSP3,pulse,0.12007955645306184
92,1.0,2061.0,rcp45,nocons_betas_SSP3,pulse,0.09592603147212077
93,1.0,2061.0,rcp85,nocons_betas_SSP3,pulse,0.12335505147520948
94,1.0,2062.0,rcp45,nocons_betas_SSP3,pulse,0.0972830712699592
95,1.0,2062.0,rcp85,nocons_betas_SSP3,pulse,0.12520392719910875
96,1.0,2063.0,rcp45,nocons_betas_SSP3,pulse,0.09638141269393836
97,1.0,2063.0,rcp85,nocons_betas_SSP3,pulse,0.12624861743136442
98,1.0,2064.0,rcp45,nocons_betas_SSP3,pulse,0.0969817888691296
99,1.0,2064.0,rcp85,nocons_betas_SSP3,pulse,0.1267521508368356
100,1.0,2065.0,rcp45,nocons_betas_SSP3,pulse,0.0980395973046912
101,1.0,2065.0,rcp85,nocons_betas_SSP3,pulse,0.1304858840518471
102,1.0,2066.0,rcp45,nocons_betas_SSP3,pulse,0.09931575903617383
103,1.0,2066.0,rcp85,nocons_betas_SSP3,pulse,0.13420394507133498
104,1.0,2067.0,rcp45,nocons_betas_SSP3,pulse,0.10064204959643469
105,1.0,2067.0,rcp85,nocons_betas_SSP3,pulse,0.1356112029241854
106,1.0,2068.0,rcp45,nocons_betas_SSP3,pulse,0.10228891201642909
107,1.0,2068.0,rcp85,nocons_betas_SSP3,pulse,0.1370974458399491
108,1.0,2069.0,rcp45,nocons_betas_SSP3,pulse,0.10225502301069987
109,1.0,2069.0,rcp85,nocons_betas_SSP3,pulse,0.1413189070692317
110,1.0,2070.0,rcp45,nocons_betas_SSP3,pulse,0.10339579872474262
111,1.0,2070.0,rcp85,nocons_betas_SSP3,pulse,0.1447469897856658
112,1.0,2071.0,rcp45,nocons_betas_SSP3,pulse,0.1031656321431102
113,1.0,2071.0,rcp85,nocons_betas_SSP3,pulse,0.14393896068845807
114,1.0,2072.0,rcp45,nocons_betas_SSP3,pulse,0.10372114137136372
115,1.0,2072.0,rcp85,nocons_betas_SSP3,pulse,0.14535394931115037
116,1.0,2073.0,rcp45,nocons_betas_SSP3,pulse,0.10433814174186827
117,1.0,2073.0,rcp85,nocons_betas_SSP3,pulse,0.14771348093886003
118,1.0,2074.0,rcp45,nocons_betas_SSP3,pulse,0.10487704039452309
119,1.0,2074.0,rcp85,nocons_betas_SSP3,pulse,0.15003278825158872
120,1.0,2075.0,rcp45,nocons_betas_SSP3,pulse,0.10551678430467186
121,1.0,2075.0,rcp85,nocons_betas_SSP3,pulse,0.15326156989343206
122,1.0,2076.0,rcp45,nocons_betas_SSP3,pulse,0.10652529032276918
123,1.0,2076.0,rcp85,nocons_betas_SSP3,pulse,0.15443505650919015
124,1.0,2077.0,rcp45,nocons_betas_SSP3,pulse,0.10741762701123043
125,1.0,2077.0,rcp85,nocons_betas_SSP3,pulse,0.15764804858765472
126,1.0,2078.0,rcp45,nocons_betas_SSP3,pulse,0.10918959037850144
127,1.0,2078.0,rcp85,nocons_betas_SSP3,pulse,0.1623011804119514
128,1.0,2079.0,rcp45,nocons_betas_SSP3,pulse,0.11003731872536274
129,1.0,2079.0,rcp85,nocons_betas_SSP3,pulse,0.16453609961877652
130,1.0,2080.0,rcp45,nocons_betas_SSP3,pulse,0.10978765178310346
