var_type,year,pctile,beta1,beta2,anomalymin,anomalymax
"value",2015,.05,-.8245336,1.041926,.0913345,.4047082
"value",2016,.05,-.7001713,.5765703,.1043945,.452688
"value",2017,.05,-.6995534,.5261523,.1150177,.4898569
"value",2018,.05,-.6372885,.2794842,.1313385,.5439752
"value",2019,.05,-.6331558,.2560188,.1356659,.5908411
"value",2020,.05,-.603377,.1858616,.1499573,.6357951
"value",2021,.05,-.5929204,.2149178,.1627564,.6857845
"value",2022,.05,-.5568599,.1598629,.185022,.7193935
"value",2023,.05,-.5035186,.0935754,.2035401,.7588283
"value",2024,.05,-.4585246,.0603708,.2167926,.8046947
"value",2025,.05,-.4569289,.0690987,.2303988,.8440318
"value",2026,.05,-.5008689,.1153963,.25,.8832209
"value",2027,.05,-.4339719,-.0067981,.27,.9260995
"value",2028,.05,-.4074897,-.0322613,.2737382,.983
"value",2029,.05,-.4409883,.0050907,.2793244,1.043
"value",2030,.05,-.4306691,-.0109068,.296344,1.103
"value",2031,.05,-.4389596,.0213731,.3052537,1.173
"value",2032,.05,-.4205202,.019544,.3230438,1.233
"value",2033,.05,-.4616358,.0641911,.34,1.303
"value",2034,.05,-.4597136,.0573562,.3436951,1.363
"value",2035,.05,-.4844113,.1015414,.3410126,1.443
"value",2036,.05,-.4831879,.0995318,.3475724,1.513
"value",2037,.05,-.4851641,.1026325,.3653474,1.593
"value",2038,.05,-.5129314,.1343535,.3843217,1.663
"value",2039,.05,-.4509844,.0740726,.4037126,1.733
"value",2040,.05,-.4059745,.0337918,.4052308,1.813
"value",2041,.05,-.3997928,.0329459,.4187425,1.893
"value",2042,.05,-.4282022,.0785156,.4325287,1.983
"value",2043,.05,-.3949379,.0615085,.46,2.073
"value",2044,.05,-.4143578,.0899547,.47,2.173
"value",2045,.05,-.4155696,.1009592,.48,2.273
"value",2046,.05,-.4217913,.10885,.49,2.353
"value",2047,.05,-.4203389,.1038868,.5,2.443
"value",2048,.05,-.4875124,.1468173,.51,2.533
"value",2049,.05,-.4871608,.1476067,.52,2.623
"value",2050,.05,-.4836911,.1461945,.53,2.703
"value",2051,.05,-.4518566,.1313737,.54,2.783
"value",2052,.05,-.443514,.1279354,.55,2.863
"value",2053,.05,-.3607152,.0827356,.56,2.983
"value",2054,.05,-.3205027,.0657008,.57,3.083
"value",2055,.05,-.3309132,.0749228,.58,3.173
"value",2056,.05,-.3857428,.1015993,.59,3.273
"value",2057,.05,-.3648438,.0921315,.59,3.373
"value",2058,.05,-.3969458,.1153343,.6,3.463
"value",2059,.05,-.3923463,.1174148,.61,3.583
"value",2060,.05,-.3738655,.1087564,.61,3.713
"value",2061,.05,-.36416,.1074318,.62,3.803
"value",2062,.05,-.3500733,.1031462,.63,3.903
"value",2063,.05,-.3376178,.0983648,.63,3.993
"value",2064,.05,-.3307551,.0961253,.64,4.123
"value",2065,.05,-.3324744,.099868,.64,4.263
"value",2066,.05,-.3060313,.0907037,.65,4.423
"value",2067,.05,-.3076018,.0901606,.65,4.603
"value",2068,.05,-.3100587,.0906775,.66,4.753
"value",2069,.05,-.3571795,.1161725,.66,4.863
"value",2070,.05,-.3611532,.117345,.66,4.983
"value",2071,.05,-.3662561,.1188507,.67,5.093
"value",2072,.05,-.3772473,.124825,.67,5.203
"value",2073,.05,-.3638248,.1212061,.67,5.313
"value",2074,.05,-.3625508,.1187001,.67,5.423
"value",2075,.05,-.3671746,.1240416,.68,5.553
