year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax
2015,"ss","value",0,.0685722,-.1254048,.0913345,.4047082
2016,"ss","value",0,.0981319,-.2088655,.1043945,.452688
2017,"ss","value",0,.0891425,-.2006481,.1150177,.4898569
2018,"ss","value",0,.0963188,-.2161622,.1313385,.5439752
2019,"ss","value",0,.0986201,-.2123912,.1356659,.5908411
2020,"ss","value",0,.1136376,-.2101336,.1499573,.6357951
2021,"ss","value",0,.0987889,-.1173222,.1627564,.6857845
2022,"ss","value",0,.1471661,-.1811203,.185022,.7193935
2023,"ss","value",0,.1578289,-.1558925,.2035401,.7588283
2024,"ss","value",0,.1755727,-.1428971,.2167926,.8046947
2025,"ss","value",0,.1557728,-.0814864,.2303988,.8440318
2026,"ss","value",0,.1714788,-.1106767,.25,.8832209
2027,"ss","value",0,.1862902,-.1231293,.27,.9260995
2028,"ss","value",0,.1627907,-.0696955,.2737382,.983
2029,"ss","value",0,.1338564,-.0235526,.2793244,1.043
2030,"ss","value",0,.1259111,-.0028781,.296344,1.103
2031,"ss","value",0,.1293274,.0214462,.3052537,1.173
2032,"ss","value",0,.1643804,-.0031784,.3230438,1.233
2033,"ss","value",0,.1471316,.0172312,.34,1.303
2034,"ss","value",0,.1789883,-.0127831,.3436951,1.363
2035,"ss","value",0,.1715597,.0112724,.3410126,1.443
2036,"ss","value",0,.1574589,.0280353,.3475724,1.513
2037,"ss","value",0,.158675,.0300801,.3653474,1.593
2038,"ss","value",0,.1973193,.009662,.3843217,1.663
2039,"ss","value",0,.2237432,.0001015,.4037126,1.733
2040,"ss","value",0,.2257873,.0023122,.4052308,1.813
2041,"ss","value",0,.2387481,.0005208,.4187425,1.893
2042,"ss","value",0,.248868,.0111465,.4325287,1.983
2043,"ss","value",0,.2365387,.0315368,.46,2.073
2044,"ss","value",0,.2270526,.0462145,.47,2.173
2045,"ss","value",0,.2287901,.0532753,.48,2.273
2046,"ss","value",0,.2128696,.0728181,.49,2.353
2047,"ss","value",0,.2150301,.0762297,.5,2.443
2048,"ss","value",0,.2080301,.0853733,.51,2.533
2049,"ss","value",0,.2110235,.0919783,.52,2.623
2050,"ss","value",0,.2058255,.1014792,.53,2.703
2051,"ss","value",0,.2100885,.109102,.54,2.783
2052,"ss","value",0,.2264763,.1018997,.55,2.863
2053,"ss","value",0,.2375908,.1046765,.56,2.983
