,discrate,year,rcp,variable,pulse,damages
0,1.0,2020.0,rcp45,nocons_betas_SSP2,pulse,0.0016065130623226685
1,1.0,2020.0,rcp85,nocons_betas_SSP2,pulse,-0.002723998832124812
2,1.0,2021.0,rcp45,nocons_betas_SSP2,pulse,0.008435157063888978
3,1.0,2021.0,rcp85,nocons_betas_SSP2,pulse,0.003863304462643379
4,1.0,2022.0,rcp45,nocons_betas_SSP2,pulse,0.013788725337174533
5,1.0,2022.0,rcp85,nocons_betas_SSP2,pulse,0.005444586620405114
6,1.0,2023.0,rcp45,nocons_betas_SSP2,pulse,0.01950081511682172
7,1.0,2023.0,rcp85,nocons_betas_SSP2,pulse,0.009655794669791846
8,1.0,2024.0,rcp45,nocons_betas_SSP2,pulse,0.028099391892914157
9,1.0,2024.0,rcp85,nocons_betas_SSP2,pulse,0.018326001343937682
10,1.0,2025.0,rcp45,nocons_betas_SSP2,pulse,0.03663217172604648
11,1.0,2025.0,rcp85,nocons_betas_SSP2,pulse,0.03066840130929421
12,1.0,2026.0,rcp45,nocons_betas_SSP2,pulse,0.03341223793921418
13,1.0,2026.0,rcp85,nocons_betas_SSP2,pulse,0.024332591642763322
14,1.0,2027.0,rcp45,nocons_betas_SSP2,pulse,0.03566417312506563
15,1.0,2027.0,rcp85,nocons_betas_SSP2,pulse,0.025734149861912765
16,1.0,2028.0,rcp45,nocons_betas_SSP2,pulse,0.04301407158502164
17,1.0,2028.0,rcp85,nocons_betas_SSP2,pulse,0.0367785991907663
18,1.0,2029.0,rcp45,nocons_betas_SSP2,pulse,0.046459367409949826
19,1.0,2029.0,rcp85,nocons_betas_SSP2,pulse,0.04441880682674847
20,1.0,2030.0,rcp45,nocons_betas_SSP2,pulse,0.05001379436249779
21,1.0,2030.0,rcp85,nocons_betas_SSP2,pulse,0.04910691263503631
22,1.0,2031.0,rcp45,nocons_betas_SSP2,pulse,0.060308025610240165
23,1.0,2031.0,rcp85,nocons_betas_SSP2,pulse,0.061672799584528835
24,1.0,2032.0,rcp45,nocons_betas_SSP2,pulse,0.0649689309456979
25,1.0,2032.0,rcp85,nocons_betas_SSP2,pulse,0.06388404052697041
26,1.0,2033.0,rcp45,nocons_betas_SSP2,pulse,0.06581377845822946
27,1.0,2033.0,rcp85,nocons_betas_SSP2,pulse,0.06672928030373235
28,1.0,2034.0,rcp45,nocons_betas_SSP2,pulse,0.06661878185845621
29,1.0,2034.0,rcp85,nocons_betas_SSP2,pulse,0.06469605999147239
