,discrate,year,rcp,variable,pulse,damages
0,1.0,2020.0,rcp45,ce_betas_SSP3,pulse,0.003385895149511276
1,1.0,2020.0,rcp85,ce_betas_SSP3,pulse,0.0004548921995756664
2,1.0,2021.0,rcp45,ce_betas_SSP3,pulse,0.01126311841669446
3,1.0,2021.0,rcp85,ce_betas_SSP3,pulse,0.008790564202397452
4,1.0,2022.0,rcp45,ce_betas_SSP3,pulse,0.017442163689004826
5,1.0,2022.0,rcp85,ce_betas_SSP3,pulse,0.011235605764853891
6,1.0,2023.0,rcp45,ce_betas_SSP3,pulse,0.024753721011902968
7,1.0,2023.0,rcp85,ce_betas_SSP3,pulse,0.017811489400169793
8,1.0,2024.0,rcp45,ce_betas_SSP3,pulse,0.034384484840695693
9,1.0,2024.0,rcp85,ce_betas_SSP3,pulse,0.027810604097337214
10,1.0,2025.0,rcp45,ce_betas_SSP3,pulse,0.042777878741458795
11,1.0,2025.0,rcp85,ce_betas_SSP3,pulse,0.03972477056436706
12,1.0,2026.0,rcp45,ce_betas_SSP3,pulse,0.03909704937792528
13,1.0,2026.0,rcp85,ce_betas_SSP3,pulse,0.03256931452020282
14,1.0,2027.0,rcp45,ce_betas_SSP3,pulse,0.04019293994402129
15,1.0,2027.0,rcp85,ce_betas_SSP3,pulse,0.03196360362823675
16,1.0,2028.0,rcp45,ce_betas_SSP3,pulse,0.04630101569887785
17,1.0,2028.0,rcp85,ce_betas_SSP3,pulse,0.0427224874075122
18,1.0,2029.0,rcp45,ce_betas_SSP3,pulse,0.0489217149291505
19,1.0,2029.0,rcp85,ce_betas_SSP3,pulse,0.04909711863858018
20,1.0,2030.0,rcp45,ce_betas_SSP3,pulse,0.05157707562486072
21,1.0,2030.0,rcp85,ce_betas_SSP3,pulse,0.05328470583485807
22,1.0,2031.0,rcp45,ce_betas_SSP3,pulse,0.06071054349851733
23,1.0,2031.0,rcp85,ce_betas_SSP3,pulse,0.06430427387506517
24,1.0,2032.0,rcp45,ce_betas_SSP3,pulse,0.06475338499322676
