var_type,year,pctile,beta1,beta2,anomalymin,anomalymax,ssp,global_consumption,ratio
"value",2018,"0.05",-.7013264,.41989,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.10",-.4548189,.2110783,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.15",-.3414823,.1472066,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.20",-.2380848,.0656892,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.25",-.1563217,-.0161155,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.30",-.0975398,-.0537894,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.35",-.0552234,-.068562,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.40",.0009885,-.1214129,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.45",.0544392,-.1747688,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.50",.102627,-.2215589,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.55",.149175,-.2666354,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.60",.1875041,-.2743694,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.65",.2365721,-.3120133,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.70",.2801979,-.326853,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.75",.3333215,-.3585347,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.80",.401899,-.3990707,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.85",.4898321,-.4839408,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.90",.6208106,-.6164878,.1313385,.5439752,"SSP3",1.191e+14,
"value",2018,"0.95",.8102548,-.7455076,.1313385,.5439752,"SSP3",1.191e+14,
"value",2019,"0.05",-.7187836,.4485315,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.10",-.4771458,.2669097,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.15",-.3439588,.1555119,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.20",-.2348091,.0600517,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.25",-.1618627,.0054107,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.30",-.0929976,-.0557965,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.35",-.0507765,-.0713654,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.40",.0055811,-.1275175,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.45",.0605173,-.1819446,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.50",.1089042,-.2289562,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.55",.1563017,-.2745358,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.60",.1928911,-.2777893,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.65",.2440004,-.3169404,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.70",.2933335,-.3470243,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.75",.3403982,-.3605266,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.80",.4044797,-.3940332,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.85",.4813914,-.4334486,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.90",.5900791,-.5015093,.1356659,.5908411,"SSP3",1.240e+14,
"value",2019,"0.95",.7632194,-.5900717,.1356659,.5908411,"SSP3",1.240e+14,
"value",2020,"0.05",-.6710659,.3509655,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.10",-.4534746,.2074727,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.15",-.31723,.0932902,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.20",-.2171557,.0224806,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.25",-.1481902,-.0186413,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.30",-.0871698,-.0587878,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.35",-.0417641,-.0771271,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.40",.0130749,-.1270846,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.45",.064789,-.1659862,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.50",.1032035,-.187201,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.55",.1450212,-.2013694,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.60",.1970293,-.2435611,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.65",.2454937,-.2700672,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.70",.2998402,-.3112192,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.75",.3597099,-.3435191,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.80",.4333273,-.3945159,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.85",.5121423,-.4324462,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.90",.635946,-.5211405,.1499573,.6357951,"SSP3",1.293e+14,
"value",2020,"0.95",.8076844,-.6036348,.1499573,.6357951,"SSP3",1.293e+14,
"value",2021,"0.05",-.6903771,.4462276,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.10",-.4403468,.2187521,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.15",-.3019726,.1055022,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.20",-.2096896,.0461129,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.25",-.1396886,.0033547,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.30",-.0915892,-.0068281,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.35",-.0434389,-.0310593,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.40",.0120404,-.0741379,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.45",.0576196,-.0989049,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.50",.0997556,-.1153159,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.55",.147021,-.1424446,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.60",.201441,-.1847515,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.65",.244664,-.2025371,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.70",.2902182,-.2153054,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.75",.3491534,-.2470751,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.80",.4152081,-.2860901,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.85",.4867775,-.310695,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.90",.6247679,-.4191639,.1627564,.6857845,"SSP3",1.334e+14,
"value",2021,"0.95",.8001046,-.5178686,.1627564,.6857845,"SSP3",1.334e+14,
"value",2022,"0.05",-.6506833,.3739653,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.10",-.4130604,.1768787,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.15",-.2640604,.0534168,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.20",-.1571659,-.0246281,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.25",-.0914631,-.0631737,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.30",-.0470736,-.0656589,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.35",.0107297,-.1027409,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.40",.0683305,-.1491271,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.45",.1079861,-.1569252,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.50",.1519345,-.1812117,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.55",.2013837,-.2103623,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.60",.2490019,-.2395798,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.65",.2980092,-.2718923,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.70",.342447,-.2804449,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.75",.400521,-.3145763,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.80",.4570033,-.3284892,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.85",.5437232,-.3823663,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.90",.6585644,-.434616,.185022,.7193935,"SSP3",1.378e+14,
"value",2022,"0.95",.8345231,-.5140073,.185022,.7193935,"SSP3",1.378e+14,
"value",2023,"0.05",-.5707961,.2343602,.2035401,.7588283,"SSP3",1.424e+14,
