year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax,ssp,global_consumption,ratio
2018,"ss","value",0,.0552689,-.0876708,.1313385,.5439752,"SSP4",1.204e+14,
2019,"ss","value",0,.0518226,-.0779854,.1356659,.5908411,"SSP4",1.256e+14,
2020,"ss","value",0,.0628126,-.0771823,.1499573,.6357951,"SSP4",1.311e+14,
2021,"ss","value",0,.0556508,-.0123501,.1627564,.6857845,"SSP4",1.358e+14,
2022,"ss","value",0,.1000932,-.0695341,.185022,.7193935,"SSP4",1.407e+14,
2023,"ss","value",0,.1099001,-.0587961,.2035401,.7588283,"SSP4",1.458e+14,
2024,"ss","value",0,.1148983,-.0300024,.2167926,.8046947,"SSP4",1.511e+14,
2025,"ss","value",0,.0936296,.0261312,.2303988,.8440318,"SSP4",1.566e+14,
2026,"ss","value",0,.1062835,-.0021191,.25,.8832209,"SSP4",1.612e+14,
2027,"ss","value",0,.1136165,-.0080673,.27,.9260995,"SSP4",1.659e+14,
2028,"ss","value",0,.0871659,.0448298,.2737382,.983,"SSP4",1.708e+14,
2029,"ss","value",0,.0607969,.0842972,.2793244,1.043,"SSP4",1.758e+14,
2030,"ss","value",0,.0581613,.0930752,.296344,1.103,"SSP4",1.811e+14,
2031,"ss","value",0,.0565308,.1171082,.3052537,1.173,"SSP4",1.853e+14,
2032,"ss","value",0,.0835757,.0970234,.3230438,1.233,"SSP4",1.897e+14,
2033,"ss","value",0,.0721293,.1077871,.34,1.303,"SSP4",1.943e+14,
2034,"ss","value",0,.0979272,.0785806,.3436951,1.363,"SSP4",1.989e+14,
2035,"ss","value",0,.0877709,.1007976,.3410126,1.443,"SSP4",2.036e+14,
2036,"ss","value",0,.0806607,.1087476,.3475724,1.513,"SSP4",2.076e+14,
2037,"ss","value",0,.0831316,.1063871,.3653474,1.593,"SSP4",2.116e+14,
2038,"ss","value",0,.1228819,.0811427,.3843217,1.663,"SSP4",2.158e+14,
2039,"ss","value",0,.1522794,.0662809,.4037126,1.733,"SSP4",2.200e+14,
2040,"ss","value",0,.1547894,.0661253,.4052308,1.813,"SSP4",2.243e+14,
2041,"ss","value",0,.1554575,.072953,.4187425,1.893,"SSP4",2.279e+14,
2042,"ss","value",0,.1678441,.0788679,.4325287,1.983,"SSP4",2.316e+14,
2043,"ss","value",0,.1573616,.0948431,.46,2.073,"SSP4",2.354e+14,
2044,"ss","value",0,.1507626,.105831,.47,2.173,"SSP4",2.392e+14,
2045,"ss","value",0,.1545692,.110357,.48,2.273,"SSP4",2.431e+14,
