,discount_type,ssp,year,global_consumption
0,constant_model_collapsed,SSP2,2018,121363760000000.0
1,constant_model_collapsed,SSP2,2019,126808630000000.0
2,constant_model_collapsed,SSP2,2020,132581975000000.0
3,constant_model_collapsed,SSP2,2021,137709780000000.0
4,constant_model_collapsed,SSP2,2022,143084870000000.0
5,constant_model_collapsed,SSP2,2023,148721580000000.0
6,constant_model_collapsed,SSP2,2024,154634120000000.0
7,constant_model_collapsed,SSP2,2025,160839550000000.0
8,constant_model_collapsed,SSP2,2026,166062110000000.0
9,constant_model_collapsed,SSP2,2027,171482190000000.0
10,constant_model_collapsed,SSP2,2028,177110610000000.0
11,constant_model_collapsed,SSP2,2029,182955070000000.0
12,constant_model_collapsed,SSP2,2030,189024200000000.0
13,constant_model_collapsed,SSP2,2031,194161040000000.0
14,constant_model_collapsed,SSP2,2032,199455970000000.0
15,constant_model_collapsed,SSP2,2033,204912620000000.0
16,constant_model_collapsed,SSP2,2034,210539130000000.0
17,constant_model_collapsed,SSP2,2035,216340000000000.0
18,constant_model_collapsed,SSP2,2036,221414360000000.0
19,constant_model_collapsed,SSP2,2037,226623930000000.0
20,constant_model_collapsed,SSP2,2038,231973770000000.0
21,constant_model_collapsed,SSP2,2039,237469040000000.0
22,constant_model_collapsed,SSP2,2040,243112800000000.0
23,constant_model_collapsed,SSP2,2041,248191410000000.0
24,constant_model_collapsed,SSP2,2042,253396200000000.0
25,constant_model_collapsed,SSP2,2043,258729030000000.0
26,constant_model_collapsed,SSP2,2044,264193400000000.0
27,constant_model_collapsed,SSP2,2045,269795050000000.0
28,constant_model_collapsed,SSP2,2046,274849720000000.0
29,constant_model_collapsed,SSP2,2047,280022740000000.0
30,constant_model_collapsed,SSP2,2048,285316700000000.0
31,constant_model_collapsed,SSP2,2049,290735870000000.0
32,constant_model_collapsed,SSP2,2050,296283820000000.0
33,constant_model_collapsed,SSP2,2051,301444760000000.0
34,constant_model_collapsed,SSP2,2052,306721530000000.0
35,constant_model_collapsed,SSP2,2053,312120680000000.0
36,constant_model_collapsed,SSP2,2054,317645550000000.0
37,constant_model_collapsed,SSP2,2055,323297930000000.0
38,constant_model_collapsed,SSP2,2056,328662040000000.0
39,constant_model_collapsed,SSP2,2057,334144800000000.0
40,constant_model_collapsed,SSP2,2058,339751640000000.0
41,constant_model_collapsed,SSP2,2059,345484800000000.0
42,constant_model_collapsed,SSP2,2060,351350170000000.0
43,constant_model_collapsed,SSP2,2061,356948960000000.0
44,constant_model_collapsed,SSP2,2062,362669700000000.0
45,constant_model_collapsed,SSP2,2063,368517660000000.0
46,constant_model_collapsed,SSP2,2064,374497000000000.0
47,constant_model_collapsed,SSP2,2065,380611400000000.0
