"","bin","T[2099]","T[2015]","T[diff]","beta^F","beta^I","beta^N","beta^F*T[2099]-beta^I*T[2015]","beta^I*T[2099]-beta^I*T[2015]","beta^N*T[2099]-beta^N*T[2015]"
"1","(18,19]","0","1","-1","-3.74","-3.74","-9.25","3.74","3.74","9.25"
"2","(20,21]","0","3","-3","-2.86","-2.86","-7.07","8.58","8.58","21.22"
"3","(21,22]","0","8","-8","-2.42","-2.42","-5.99","19.35","19.35","47.89"
"4","(22,23]","0","6","-6","-1.98","-1.98","-4.9","11.88","11.88","29.38"
"5","(23,24]","0","17","-17","-1.54","-1.54","-3.81","26.17","26.17","64.75"
"6","(24,25]","2","9","-7","-1.1","-1.1","-2.72","7.7","7.7","19.05"
"7","(25,26]","3","12","-9","-0.66","-0.66","-1.63","5.94","5.94","14.69"
"8","(26,27]","10","12","-2","-0.22","-0.22","-0.54","0.44","0.44","1.09"
"9","(27,28]","10","9","1","0.22","0.22","0.54","0.22","0.22","0.54"
"10","(28,29]","10","5","5","0.64","0.64","1.58","3.22","3.22","7.92"
"11","(29,30]","19","11","8","1.03","1.03","2.49","8.2","8.2","19.94"
"12","(30,31]","19","6","13","1.34","1.34","3.18","17.36","17.36","41.4"
"13","(31,32]","17","24","-7","1.55","1.55","3.57","-10.82","-10.82","-24.99"
"14","(32,33]","13","15","-2","1.63","1.63","3.56","-3.25","-3.25","-7.12"
"15","(33,34]","8","7","1","1.55","1.55","3.07","1.55","1.55","3.07"
"16","(34,35]","14","7","7","1.29","1.29","2.02","9.04","9.04","14.11"
"17","(35,36]","12","17","-5","0.82","0.82","0.3","-4.08","-4.08","-1.51"
"18","(36,37]","11","15","-4","0.1","0.1","-2.15","-0.4","-0.4","8.61"
"19","(37,38]","6","22","-16","-0.89","-0.89","-5.43","14.18","14.18","86.85"
"20","(38,39]","8","20","-12","-2.08","-2.08","-9.35","24.98","24.98","112.18"
"21","(39,40]","8","17","-9","-3.35","-3.35","-13.5","30.17","30.17","121.46"
"22","(40,41]","7","32","-25","-4.62","-4.62","-17.65","115.62","115.62","441.32"
"23","(41,42]","6","44","-38","-5.9","-5.9","-21.81","224.12","224.12","828.76"
"24","(42,43]","9","14","-5","-7.17","-7.17","-25.97","35.85","35.85","129.83"
"25","(43,44]","15","17","-2","-8.44","-8.44","-30.12","16.89","16.89","60.25"
"26","(44,45]","29","9","20","-9.72","-9.72","-34.28","-194.34","-194.34","-685.6"
"27","(45,46]","24","5","19","-10.99","-10.99","-38.44","-208.81","-208.81","-730.3"
"28","(46,47]","28","1","27","-12.26","-12.26","-42.59","-331.09","-331.09","-1150.02"
"29","(47,48]","33","0","33","-13.54","-13.54","-46.75","-446.68","-446.68","-1542.76"
"30","(48,49]","27","0","27","-14.81","-14.81","-50.91","-399.84","-399.84","-1374.49"
"31","(49,50]","15","0","15","-16.08","-16.08","-55.06","-241.23","-241.23","-825.96"
"32","(50,51]","1","0","1","-17.35","-17.35","-59.22","-17.35","-17.35","-59.22"
"33","(51,52]","1","0","1","-18.63","-18.63","-63.38","-18.63","-18.63","-63.38"
"34","Total <20C","","","","","","","3.74","3.74","9.25"
"35","Total >20C","","","","","","","-1295.06","-1295.06","-4391.04"
"36","Total","","","","","","","-1291.32","-1291.32","-4381.79"
