"","bin","T[2099]","T[2015]","T[diff]","beta^F","beta^I","beta^N","beta^F*T[2099]-beta^I*T[2015]","beta^I*T[2099]-beta^I*T[2015]","beta^N*T[2099]-beta^N*T[2015]"
"19.5","(19,20]","0","1","-1","-0.37","-0.37","-0.37","0.37","0.37","0.37"
"20.5","(20,21]","4","3","1","-0.32","-0.32","-0.32","-0.32","-0.32","-0.32"
"21.5","(21,22]","2","5","-3","-0.27","-0.27","-0.27","0.82","0.82","0.82"
"22.5","(22,23]","3","18","-15","-0.22","-0.22","-0.22","3.37","3.37","3.37"
"23.5","(23,24]","1","11","-10","-0.17","-0.17","-0.17","1.75","1.75","1.75"
"24.5","(24,25]","3","11","-8","-0.12","-0.12","-0.12","1","1","1"
"25.5","(25,26]","8","13","-5","-0.07","-0.07","-0.07","0.37","0.37","0.37"
"26.5","(26,27]","15","9","6","-0.02","-0.02","-0.02","-0.15","-0.15","-0.15"
"27.5","(27,28]","21","9","12","0.02","0.02","0.02","0.3","0.3","0.3"
"28.5","(28,29]","18","18","0","0.06","0.06","0.06","0","0","0"
"29.5","(29,30]","11","17","-6","0.08","0.08","0.08","-0.46","-0.46","-0.46"
"30.5","(30,31]","19","19","0","0.04","0.04","0.04","0","0","0"
"31.5","(31,32]","12","7","5","-0.06","-0.06","-0.06","-0.29","-0.29","-0.29"
"32.5","(32,33]","17","9","8","-0.24","-0.24","-0.24","-1.92","-1.92","-1.92"
"33.5","(33,34]","12","12","0","-0.53","-0.53","-0.53","0","0","0"
"34.5","(34,35]","6","10","-4","-0.93","-0.93","-0.93","3.73","3.73","3.73"
"35.5","(35,36]","6","10","-4","-1.48","-1.48","-1.48","5.91","5.91","5.91"
"36.5","(36,37]","5","8","-3","-2.18","-2.18","-2.18","6.55","6.55","6.55"
"37.5","(37,38]","15","7","8","-3.06","-3.06","-3.06","-24.48","-24.48","-24.48"
"38.5","(38,39]","8","16","-8","-4.08","-4.08","-4.08","32.6","32.6","32.6"
"39.5","(39,40]","15","15","0","-5.14","-5.14","-5.14","0","0","0"
"40.5","(40,41]","9","11","-2","-6.2","-6.2","-6.2","12.41","12.41","12.41"
"41.5","(41,42]","8","23","-15","-7.27","-7.27","-7.27","109.06","109.06","109.06"
"42.5","(42,43]","9","33","-24","-8.34","-8.34","-8.34","200.07","200.07","200.07"
"43.5","(43,44]","12","38","-26","-9.4","-9.4","-9.4","244.45","244.45","244.45"
"44.5","(44,45]","17","15","2","-10.47","-10.47","-10.47","-20.94","-20.94","-20.94"
"45.5","(45,46]","15","17","-2","-11.53","-11.53","-11.53","23.07","23.07","23.07"
"46.5","(46,47]","30","0","30","-12.6","-12.6","-12.6","-377.97","-377.97","-377.97"
"47.5","(47,48]","37","0","37","-13.66","-13.66","-13.66","-505.59","-505.59","-505.59"
"48.5","(48,49]","22","0","22","-14.73","-14.73","-14.73","-324.07","-324.07","-324.07"
"49.5","(49,50]","5","0","5","-15.8","-15.8","-15.8","-78.98","-78.98","-78.98"
"...32","Total <20C","","","","","","","0.37","0.37","0.37"
"...33","Total >20C","","","","","","","-689.71","-689.71","-689.71"
"...34","Total","","","","","","","-689.34","-689.34","-689.34"
