"","bin","T[2099]","T[2015]","T[diff]","beta^F","beta^I","beta^N","beta^F*T[2099]-beta^I*T[2015]","beta^I*T[2099]-beta^I*T[2015]","beta^N*T[2099]-beta^N*T[2015]"
"-11.5","(-12,-11]","0","1","-1","-1.92","-1.92","-1.92","1.92","1.92","1.92"
"-10.5","(-11,-10]","0","1","-1","-1.87","-1.87","-1.87","1.87","1.87","1.87"
"-9.5","(-10,-9]","0","1","-1","-1.82","-1.82","-1.82","1.82","1.82","1.82"
"-8.5","(-9,-8]","0","2","-2","-1.77","-1.77","-1.77","3.55","3.55","3.55"
"-7.5","(-8,-7]","0","2","-2","-1.72","-1.72","-1.72","3.45","3.45","3.45"
"-6.5","(-7,-6]","0","5","-5","-1.67","-1.67","-1.67","8.37","8.37","8.37"
"-5.5","(-6,-5]","0","5","-5","-1.62","-1.62","-1.62","8.12","8.12","8.12"
"-4.5","(-5,-4]","0","6","-6","-1.57","-1.57","-1.57","9.45","9.45","9.45"
"-3.5","(-4,-3]","0","6","-6","-1.52","-1.52","-1.52","9.15","9.15","9.15"
"-2.5","(-3,-2]","2","8","-6","-1.47","-1.47","-1.47","8.85","8.85","8.85"
"-1.5","(-2,-1]","5","12","-7","-1.42","-1.42","-1.42","9.97","9.97","9.97"
"-0.5","(-1,0]","4","9","-5","-1.37","-1.37","-1.37","6.87","6.87","6.87"
"0.5","(0,1]","13","13","0","-1.32","-1.32","-1.32","0","0","0"
"1.5","(1,2]","23","16","7","-1.27","-1.27","-1.27","-8.92","-8.92","-8.92"
"2.5","(2,3]","24","14","10","-1.22","-1.22","-1.22","-12.25","-12.25","-12.25"
"3.5","(3,4]","22","23","-1","-1.17","-1.17","-1.17","1.17","1.17","1.17"
"4.5","(4,5]","9","22","-13","-1.12","-1.12","-1.12","14.62","14.62","14.62"
"5.5","(5,6]","8","18","-10","-1.07","-1.07","-1.07","10.75","10.75","10.75"
"6.5","(6,7]","8","6","2","-1.02","-1.02","-1.02","-2.05","-2.05","-2.05"
"7.5","(7,8]","6","9","-3","-0.97","-0.97","-0.97","2.92","2.92","2.92"
"8.5","(8,9]","7","18","-11","-0.92","-0.92","-0.92","10.17","10.17","10.17"
"9.5","(9,10]","18","12","6","-0.87","-0.87","-0.87","-5.25","-5.25","-5.25"
"10.5","(10,11]","16","13","3","-0.82","-0.82","-0.82","-2.47","-2.47","-2.47"
"11.5","(11,12]","10","13","-3","-0.77","-0.77","-0.77","2.32","2.32","2.32"
"12.5","(12,13]","6","3","3","-0.72","-0.72","-0.72","-2.17","-2.17","-2.17"
"13.5","(13,14]","5","2","3","-0.67","-0.67","-0.67","-2.02","-2.02","-2.02"
"14.5","(14,15]","10","12","-2","-0.62","-0.62","-0.62","1.25","1.25","1.25"
"15.5","(15,16]","12","20","-8","-0.57","-0.57","-0.57","4.6","4.6","4.6"
"16.5","(16,17]","7","12","-5","-0.52","-0.52","-0.52","2.62","2.62","2.62"
"17.5","(17,18]","9","18","-9","-0.47","-0.47","-0.47","4.27","4.27","4.27"
"18.5","(18,19]","4","13","-9","-0.42","-0.42","-0.42","3.82","3.82","3.82"
"19.5","(19,20]","20","17","3","-0.37","-0.37","-0.37","-1.12","-1.12","-1.12"
"20.5","(20,21]","19","14","5","-0.32","-0.32","-0.32","-1.62","-1.62","-1.62"
"21.5","(21,22]","25","10","15","-0.27","-0.27","-0.27","-4.12","-4.12","-4.12"
"22.5","(22,23]","16","1","15","-0.22","-0.22","-0.22","-3.37","-3.37","-3.37"
"23.5","(23,24]","12","2","10","-0.17","-0.17","-0.17","-1.75","-1.75","-1.75"
"24.5","(24,25]","12","1","11","-0.12","-0.12","-0.12","-1.37","-1.37","-1.37"
"25.5","(25,26]","13","3","10","-0.07","-0.07","-0.07","-0.75","-0.75","-0.75"
"26.5","(26,27]","3","2","1","-0.02","-0.02","-0.02","-0.02","-0.02","-0.02"
"27.5","(27,28]","10","0","10","0.02","0.02","0.02","0.25","0.25","0.25"
"28.5","(28,29]","3","0","3","0.06","0.06","0.06","0.19","0.19","0.19"
"29.5","(29,30]","2","0","2","0.08","0.08","0.08","0.15","0.15","0.15"
"30.5","(30,31]","2","0","2","0.04","0.04","0.04","0.08","0.08","0.08"
"...44","Total <20C","","","","","","","95.65","95.65","95.65"
"...45","Total >20C","","","","","","","-12.33","-12.33","-12.33"
"...46","Total","","","","","","","83.32","83.32","83.32"
