"","bin","T[2099]","T[2015]","T[diff]","beta^F","beta^I","beta^N","beta^F*T[2099]-beta^I*T[2015]","beta^I*T[2099]-beta^I*T[2015]","beta^N*T[2099]-beta^N*T[2015]"
"9.5","(9,10]","0","1","-1","-0.87","-0.87","-0.87","0.87","0.87","0.87"
"14.5","(14,15]","1","2","-1","-0.62","-0.62","-0.62","0.62","0.62","0.62"
"15.5","(15,16]","1","4","-3","-0.57","-0.57","-0.57","1.72","1.72","1.72"
"16.5","(16,17]","1","6","-5","-0.52","-0.52","-0.52","2.62","2.62","2.62"
"17.5","(17,18]","0","9","-9","-0.47","-0.47","-0.47","4.27","4.27","4.27"
"18.5","(18,19]","0","19","-19","-0.42","-0.42","-0.42","8.07","8.07","8.07"
"19.5","(19,20]","1","16","-15","-0.37","-0.37","-0.37","5.62","5.62","5.62"
"20.5","(20,21]","2","20","-18","-0.32","-0.32","-0.32","5.85","5.85","5.85"
"21.5","(21,22]","5","19","-14","-0.27","-0.27","-0.27","3.85","3.85","3.85"
"22.5","(22,23]","6","22","-16","-0.22","-0.22","-0.22","3.6","3.6","3.6"
"23.5","(23,24]","2","16","-14","-0.17","-0.17","-0.17","2.45","2.45","2.45"
"24.5","(24,25]","11","25","-14","-0.12","-0.12","-0.12","1.75","1.75","1.75"
"25.5","(25,26]","14","20","-6","-0.07","-0.07","-0.07","0.45","0.45","0.45"
"26.5","(26,27]","21","22","-1","-0.02","-0.02","-0.02","0.02","0.02","0.02"
"27.5","(27,28]","22","22","0","0.02","0.02","0.02","0","0","0"
"28.5","(28,29]","17","25","-8","0.06","0.06","0.06","-0.52","-0.52","-0.52"
"29.5","(29,30]","20","23","-3","0.08","0.08","0.08","-0.23","-0.23","-0.23"
"30.5","(30,31]","15","23","-8","0.04","0.04","0.04","-0.34","-0.34","-0.34"
"31.5","(31,32]","17","15","2","-0.06","-0.06","-0.06","-0.11","-0.11","-0.11"
"32.5","(32,33]","22","21","1","-0.24","-0.24","-0.24","-0.24","-0.24","-0.24"
"33.5","(33,34]","26","11","15","-0.53","-0.53","-0.53","-7.89","-7.89","-7.89"
"34.5","(34,35]","27","9","18","-0.93","-0.93","-0.93","-16.78","-16.78","-16.78"
"35.5","(35,36]","22","9","13","-1.48","-1.48","-1.48","-19.22","-19.22","-19.22"
"36.5","(36,37]","22","4","18","-2.18","-2.18","-2.18","-39.28","-39.28","-39.28"
"37.5","(37,38]","22","1","21","-3.06","-3.06","-3.06","-64.27","-64.27","-64.27"
"38.5","(38,39]","19","1","18","-4.08","-4.08","-4.08","-73.36","-73.36","-73.36"
"39.5","(39,40]","14","0","14","-5.14","-5.14","-5.14","-71.95","-71.95","-71.95"
"40.5","(40,41]","8","0","8","-6.2","-6.2","-6.2","-49.64","-49.64","-49.64"
"41.5","(41,42]","10","0","10","-7.27","-7.27","-7.27","-72.71","-72.71","-72.71"
"42.5","(42,43]","6","0","6","-8.34","-8.34","-8.34","-50.02","-50.02","-50.02"
"43.5","(43,44]","4","0","4","-9.4","-9.4","-9.4","-37.61","-37.61","-37.61"
"44.5","(44,45]","5","0","5","-10.47","-10.47","-10.47","-52.34","-52.34","-52.34"
"45.5","(45,46]","2","0","2","-11.53","-11.53","-11.53","-23.07","-23.07","-23.07"
"...34","Total <20C","","","","","","","23.79","23.79","23.79"
"...35","Total >20C","","","","","","","-561.61","-561.61","-561.61"
"...36","Total","","","","","","","-537.82","-537.82","-537.82"
