inc_log,yhat,se,lowerci_hi,upperci_hi
6.4769726,.83671451,.014042293,.80919212,.86423689
6.6200733,.80540705,.013281316,.77937615,.83143795
6.7452364,.7780239,.012621105,.75328702,.80276084
6.856462,.75369006,.012039321,.73009342,.77728671
6.9565454,.73179388,.011520373,.70921433,.75437337
7.0475173,.71189106,.011052943,.69022769,.73355442
7.130899,.69364887,.010628561,.67281729,.71448046
7.20786,.6768114,.010240725,.65673995,.69688284
7.2793188,.66117769,.0098843332,.64180475,.68055058
7.3460102,.64658695,.0095553081,.62785888,.66531503
7.4085307,.63290876,.0092503456,.6147784,.65103912
7.467371,.62003571,.00896673,.60246122,.6376102
7.5229411,.60787809,.008702198,.5908221,.62493408
7.5755849,.59636074,.0084548499,.57978952,.61293197
7.6255951,.58541954,.0082230754,.56930262,.60153645
7.673223,.57499951,.0080054905,.55930907,.59069002
7.7186856,.56505322,.0078009041,.54976374,.58034271
7.7621708,.55553955,.0076082847,.5406276,.57045156
7.8038435,.54642242,.0074267285,.53186631,.56097859
7.8438487,.53767014,.0072554415,.52344972,.55189055
7.8823147,.52925456,.0070937215,.51535112,.54315799
7.9193563,.52115059,.0069409413,.5075466,.53475457
7.9550743,.51333624,.0067965477,.50001526,.52665722
7.9895606,.50579137,.0066600381,.49273792,.51884478
8.0228968,.49849808,.0065309638,.48569763,.51129854
8.0551577,.49144006,.0064089149,.47887883,.50400132
8.0864105,.48460257,.0062935194,.47226751,.49693766
8.1167154,.47797251,.0061844438,.46585122,.49009377
8.1461296,.47153726,.0060813711,.459618,.48345655
8.1747026,.46528608,.0059840214,.45355761,.47701454
8.2024822,.45920849,.0058921268,.44766012,.47075683
8.2295113,.45329508,.0058054435,.44191661,.46467355
8.2558289,.44753733,.0057237446,.43631899,.45875567
8.2814713,.44192731,.0056468188,.43085974,.45299485
8.3064718,.43645769,.0055744671,.42553195,.44738346
8.330864,.4311212,.0055064964,.42032868,.44191372
8.3546743,.42591196,.0054427367,.4152444,.43657956
8.3779316,.42082375,.0053830156,.41027325,.43137428
8.4006596,.41585135,.0053271782,.40541029,.42629242
8.4228821,.41098952,.0052750716,.40065056,.42132849
8.444622,.40623325,.0052265492,.39598942,.41647711
8.4658995,.40157819,.0051814746,.39142269,.41173372
8.4867344,.39701995,.0051397136,.38694629,.40709361
8.507143,.39255497,.0051011429,.38255692,.40255302
8.5271435,.38817927,.0050656372,.37825081,.39810774
8.546752,.38388935,.0050330786,.37402469,.39375398
8.5659838,.37968183,.0050033526,.36987543,.38948819
8.5848522,.37555379,.0049763508,.36580032,.38530725
8.6033707,.37150234,.004951966,.36179665,.381208
8.6215534,.36752433,.0049300944,.35786152,.37718713
8.639411,.36361745,.0049106372,.35399279,.37324211
8.6569548,.35977924,.004893498,.35018814,.36937031
8.6741972,.35600695,.0048785815,.34644508,.36556879
8.6911469,.35229871,.0048657991,.3427619,.36183548
8.7078133,.34865242,.0048550628,.33913669,.35816818
8.7242069,.34506583,.0048462865,.3355673,.3545644
8.7403364,.34153703,.0048393877,.33205202,.35102206
8.7562103,.33806416,.0048342873,.32858911,.34753919
8.7718353,.33464572,.0048309085,.32517731,.34411412
8.78722,.33127987,.0048291762,.32181486,.34074488
8.802372,.32796493,.0048290179,.31850022,.33742964
8.8172979,.32469943,.0048303641,.3152321,.33416677
8.8320036,.32148215,.0048331469,.31200933,.33095494
8.8464966,.31831136,.0048373025,.30883044,.32779232
8.8607826,.31518587,.004842767,.30569422,.32467753
8.8748674,.3121044,.0048494805,.30259961,.32160923
8.8887568,.30906573,.0048573841,.29954541,.31858602
8.9024553,.30606875,.0048664222,.29653072,.31560677
8.9159689,.30311227,.0048765405,.29355443,.31267011
8.9293032,.30019501,.0048876875,.29061529,.3097747
8.942461,.29731634,.0048998124,.28771287,.30691978
8.9554482,.29447502,.0049128672,.28484598,.30410406
8.9682684,.2916702,.0049268059,.28201383,.30132657
8.9809275,.28890067,.0049415855,.27921534,.29858598
8.9934273,.28616595,.0049571614,.2764501,.29588181
9.0057735,.28346485,.0049734949,.27371699,.29321271
9.0179682,.28079692,.0049905442,.27101561,.29057819
9.0300169,.2781609,.0050082752,.26834485,.28797695
9.0419216,.27555639,.0050266501,.26570433,.28540844
9.0536861,.27298257,.0050456342,.26309329,.28287181
9.0653143,.27043855,.0050651967,.26051095,.28036615
9.0768089,.26792377,.0050853048,.25795674,.27789077
9.0881729,.26543757,.005105929,.25543013,.27544498
9.0994091,.2629793,.0051270402,.25293049,.27302814
9.1105204,.26054838,.005148611,.25045732,.27063948
9.1215096,.2581442,.0051706154,.24800996,.26827842
