temp,yhat,se,lowerci_hi,upperci_hi
-27,8.5237513,6.5167966,-4.2489352,21.296438
-26,7.6585641,5.9169278,-3.9384015,19.255529
-25,6.8631558,5.3590388,-3.6403675,17.36668
-24,6.1337562,4.841146,-3.3547161,15.622229
-23,5.4666953,4.3613133,-3.0813217,14.014712
-22,4.858407,3.9176521,-2.82005,12.536864
-21,4.3054252,3.5083213,-2.5707581,11.181608
-20,3.8043859,3.1315272,-2.3332946,9.9420662
-19,3.3520274,2.7855241,-2.1074998,8.8115549
-18,2.945189,2.4686136,-1.8932049,7.7835832
-17,2.5808122,2.1791449,-1.6902329,6.8518577
-16,2.25594,1.915514,-1.4983983,6.0102782
-15,1.9677171,1.6761656,-1.3175071,5.2529411
-14,1.7133896,1.4595914,-1.1473569,4.5741363
-13,1.490306,1.2643309,-.98773694,3.968349
-12,1.295916,1.0889711,-.83842826,3.4302602
-11,1.127771,.93214709,-.69920367,2.9547458
-10,.98352444,.79254133,-.56982803,2.5368769
-9,.8609311,.66888452,-.45005849,2.1719208
-8,.75784761,.55995536,-.33964467,1.8553399
-7,.67223239,.46458071,-.23832908,1.5827938
-6,.60214543,.38163629,-.1458479,1.3501388
-5,.54574853,.31004667,-.061931729,1.1534288
-4,.50130516,.24878629,.013693006,.98891729
-3,.4671804,.19688039,.081301942,.85305887
-2,.44184119,.15340668,.14116962,.74251276
-1,.42385605,.11749782,.19356456,.65414757
0,.4118953,.088345177,.23874195,.58504868
1,.40473092,.065203741,.27693391,.53252786
2,.40123653,.047396112,.30834186,.49413121
3,.40038759,.034304656,.3331517,.46762347
4,.40126115,.025320437,.35163403,.45088831
5,.40303606,.019709423,.36440629,.4416658
6,.40499276,.016486693,.37267944,.43730608
7,.40651351,.014573729,.37794954,.43507749
8,.4070822,.013169608,.38127023,.43289414
9,.40628445,.011903118,.38295478,.42961413
10,.40380758,.010726121,.38278478,.42483041
11,.39944062,.0097517259,.38032761,.41855365
12,.39307433,.0091130827,.375213,.41093564
13,.3847011,.0088490611,.36735725,.40204492
14,.3744151,.0088619236,.35704604,.39178413
15,.36241215,.0089763245,.34481889,.38000542
16,.34898984,.0090326332,.33128619,.36669347
17,.3345474,.0089432364,.31701899,.35207582
18,.3195858,.0087085022,.30251744,.33665413
19,.30470768,.0084106196,.28822318,.3211922
20,.29061747,.0081849666,.2745752,.3066597
21,.27812117,.00815403,.26213956,.29410276
22,.26812661,.0083357198,.25178888,.2844643
23,.26164323,.0085960431,.24479531,.27849117
24,.25978228,.0086990269,.24273251,.27683207
25,.26375663,.0084380116,.24721842,.28029481
26,.27488083,.0079090334,.25937942,.29038227
27,.29457125,.0081787147,.27854127,.31060123
28,.32434586,.011454297,.30189586,.34679586
29,.36582437,.018811282,.32895494,.40269381
30,.42072824,.030243576,.36145192,.48000455
31,.49088052,.045989696,.40074238,.58101869
32,.57820612,.066561326,.4477483,.70866388
33,.68473148,.092610635,.503218,.86624497
34,.81258494,.12487436,.56783569,1.0573342
35,.96399635,.16415289,.64226258,1.2857301
36,1.1412973,.21130173,.7271536,1.5554411
37,1.3469213,.26722783,.82316446,1.8706783
38,1.5834035,.33288777,.93095541,2.2358515
39,1.8533802,.4092868,1.0511929,2.6555676
40,2.1595902,.49747843,1.1845505,3.1346302
41,2.504874,.59856409,1.3317099,3.6780379
42,2.8921728,.71369296,1.4933602,4.2909851
43,3.3245304,.84406197,1.6701994,4.9788613
