inc_log,yhat,se_hi,lowerci_hi,upperci_hi
6.3969297,.9110226,.013138111,.88527238,.93677282
6.5510802,.88334572,.012526644,.85879397,.90789753
6.6846118,.85937089,.012006476,.83583862,.88290316
6.8023949,.83822358,.011555984,.81557423,.86087286
6.9077554,.81930667,.011160431,.7974326,.84118068
7.0030656,.80219424,.010809319,.78100836,.82338011
7.0900769,.7865718,.010494906,.76600218,.80714148
7.1701198,.77220058,.010211319,.75218678,.79221439
7.2442274,.75889492,.0099539952,.73938549,.77840441
7.3132205,.74650759,.0097193187,.72745812,.76555711
7.377759,.73492008,.0095043769,.71629184,.75354832
7.4383836,.72403526,.0093067857,.70579427,.74227625
7.495542,.71377277,.0091245696,.69588894,.73165661
7.5496092,.70406532,.0089560747,.6865117,.72161889
7.6009026,.69485587,.0087998984,.67760837,.71210337
7.6496925,.68609589,.0086548449,.66913271,.70305908
7.6962128,.67774343,.0085198805,.66104478,.69444209
7.7406645,.66976237,.0083941119,.65331024,.68621451
7.7832241,.662121,.008276755,.64589888,.67834318
7.8240461,.65479165,.0081671225,.63878441,.6707989
7.8632669,.64774978,.0080646053,.6319434,.6635561
7.9010072,.64097369,.0079686642,.62535542,.65659201
7.9373746,.63444412,.0078788158,.61900192,.64988631
7.972466,.62814367,.0077946251,.61286646,.64342088
8.0063677,.62205678,.0077157016,.60693431,.63717932
8.0391569,.61616969,.0076416945,.60119224,.63114715
8.0709057,.61046934,.0075722798,.59562796,.62531078
8.1016779,.60494435,.0075071654,.59023058,.61965817
8.1315308,.59958446,.0074460865,.58499038,.61417854
8.1605186,.59437984,.0073887967,.57989806,.60886163
8.1886892,.58932197,.0073350724,.57494551,.60369843
8.2160883,.58440262,.0072847051,.57012486,.59868038
8.2427559,.57961458,.0072375052,.56542933,.59379983
8.2687321,.5749507,.0071932916,.56085211,.58904928
8.2940493,.57040513,.007151905,.55638766,.58442265
8.3187418,.56597173,.007113189,.55203015,.57991332
8.3428402,.56164497,.0070770015,.54777431,.57551569
8.3663702,.55742031,.0070432127,.54361588,.57122475
8.3893595,.55329269,.0070116962,.53955007,.56703538
8.4118328,.54925776,.0069823358,.53557265,.56294286
8.4338112,.54531163,.0069550243,.53168005,.55894327
8.4553175,.54145032,.0069296584,.52786845,.55503219
8.4763708,.53767031,.0069061425,.52413452,.55120611
8.4969902,.53396821,.0068843863,.52047503,.54746133
8.5171928,.53034091,.0068643056,.51688713,.54379469
8.5369959,.52678537,.0068458188,.51336783,.54020298
8.5564137,.52329904,.006828852,.50991476,.53668332
8.5754623,.51987898,.0068133324,.5065251,.53323287
8.5941544,.51652288,.0067991931,.50319672,.52984905
8.6125031,.51322848,.0067863706,.49992746,.52652955
8.6305218,.50999331,.0067748036,.49671495,.52327168
8.648221,.50681555,.0067644357,.49355748,.52007359
8.6656132,.50369287,.0067552109,.49045289,.51693285
8.6827078,.50062364,.0067470786,.48739958,.51384765
8.6995144,.4976061,.0067399903,.48439595,.51081622
8.7160444,.4946382,.0067338981,.48144001,.5078364
8.7323046,.4917188,.006728759,.47853068,.50490689
8.7483053,.48884594,.0067245304,.47566611,.50202578
8.7640533,.48601848,.0067211716,.47284523,.49919173
8.7795572,.48323482,.0067186453,.47006652,.49640313
8.7948246,.48049366,.0067169145,.46732876,.49365857
8.8098631,.47779357,.0067159445,.46463057,.49095657
8.8246775,.47513375,.0067157028,.46197119,.48829627
8.8392763,.4725126,.0067161578,.45934916,.48567602
8.8536654,.46992913,.0067172791,.45676351,.48309475
8.8678503,.46738228,.0067190379,.4542132,.48055136
8.8818359,.46487126,.0067214072,.45169753,.47804496
8.8956299,.46239462,.0067243609,.44921511,.47557414
8.909235,.45995188,.0067278729,.44676551,.47313827
8.922658,.45754188,.0067319204,.44434756,.47073621
8.9359035,.45516369,.0067364806,.44196045,.46836695
8.9489756,.45281669,.0067415312,.43960354,.46602985
8.9618788,.45049998,.0067470507,.43727601,.46372396
8.974618,.44821274,.0067530205,.43497705,.4614484
8.9871969,.44595426,.00675942,.43270603,.45920247
8.9996195,.44372386,.0067662322,.43046227,.45698541
9.0118895,.44152084,.0067734383,.42824516,.45479655
9.0240107,.43934456,.0067810225,.426054,.45263511
9.0359869,.43719429,.0067889681,.42388815,.4505004
9.047821,.43506953,.0067972597,.42174715,.44839191
9.0595179,.43296942,.0068058833,.41963014,.4463087
9.0710783,.43089381,.0068148235,.417537,.44425061
9.0825071,.42884183,.0068240678,.4154669,.44221675
9.0938063,.42681313,.0068336017,.41341951,.44020674
9.1049795,.42480704,.0068434142,.41139418,.43821988
9.1160297,.42282301,.0068534934,.40939042,.43625563
9.1269588,.42086077,.0068638269,.40740791,.43431363
9.1377697,.41891974,.0068744035,.40544614,.43239331
9.1484652,.41699943,.0068852138,.40350464,.43049419
9.1590471,.41509947,.0068962462,.40158311,.42861587
9.1695185,.41321942,.0069074919,.39968097,.42675784
9.1798811,.41135886,.0069189407,.39779797,.42491972
9.1901379,.40951732,.006930585,.39593363,.42310101
9.2002897,.40769461,.0069424147,.39408773,.42130148
9.2103405,.40589005,.0069544227,.39225963,.41952047
9.2202911,.40410346,.0069666007,.39044917,.41775775
9.2301426,.40233469,.0069789393,.3886562,.41601315
9.2398996,.40058285,.0069914344,.38687989,.41428581
9.2495613,.39884815,.0070040761,.38512042,.4125759
9.2591305,.39713007,.0070168586,.38337728,.41088286
9.268609,.39542824,.0070297751,.38165012,.40920633
9.2779989,.39374232,.0070428201,.37993866,.40754601
9.2873011,.3920722,.0070559867,.3782427,.40590167
9.2965183,.39041728,.0070692706,.37656176,.40427279
9.3056507,.38877761,.0070826644,.37489584,.40265939
9.3147001,.38715285,.0070961625,.37324461,.40106106
9.3236694,.38554245,.0071097622,.37160757,.39947733
9.3325577,.3839466,.0071234549,.36998489,.39790833
9.3413687,.38236463,.0071372394,.3683759,.39635336
9.3501024,.38079655,.0071511092,.36678064,.39481246
9.3587608,.37924197,.0071650608,.3651987,.39328524
9.3673439,.37770092,.0071790875,.36363018,.39177167
9.3758545,.3761729,.0071931877,.36207452,.39027131
9.3842936,.37465772,.0072073573,.36053154,.38878387
9.392662,.37315521,.0072215926,.35900113,.38730925
9.4009609,.37166518,.0072358884,.35748309,.38584727
9.4091911,.37018749,.0072502415,.35597727,.38439772
9.4173546,.36872178,.00726465,.35448334,.38296023
9.4254513,.36726806,.0072791083,.35300127,.38153487
9.4334841,.36582583,.0072936169,.35153061,.38012105
9.441452,.36439523,.0073081693,.35007146,.37871897
9.449357,.36297593,.0073227636,.34862357,.37732828
9.4572001,.36156774,.007337397,.34718671,.37594879
9.464983,.36017036,.007352069,.34576058,.37458014
9.4727049,.35878393,.0073667727,.34434533,.37322256
9.4803677,.35740814,.0073815086,.34294063,.37187561
9.4879723,.35604277,.0073962738,.34154633,.37053919
9.4955196,.35468769,.0074110655,.34016225,.3692131
9.5030098,.35334286,.0074258805,.33878839,.36789733
9.5104446,.35200799,.0074407188,.33742443,.36659151
9.5178251,.35068285,.0074555781,.33607018,.3652955
9.5251513,.34936747,.007470455,.33472565,.36400929
9.532424,.34806171,.0074853483,.33339068,.36273271
9.5396442,.34676534,.0075002559,.33206511,.36146557
9.546813,.34547824,.0075151767,.33074877,.36020771
9.5539303,.34420037,.0075301072,.32944164,.35895911
9.560997,.34293157,.007545047,.32814354,.3577196
9.5680151,.34167153,.0075599956,.3268542,.35648882
9.5749836,.34042037,.0075749494,.32557371,.35526699
9.5819035,.33917794,.0075899069,.32430199,.35405388
9.5887766,.33794391,.0076048695,.32303864,.35284916
9.595603,.33671826,.007619834,.32178366,.35165286
9.6023827,.33550102,.0076347981,.32053706,.35046494
9.6091166,.33429196,.0076497612,.31929871,.34928522
9.6158056,.33309099,.0076647224,.31806841,.34811357
9.6224499,.33189803,.0076796799,.31684616,.34694993
9.6290503,.33071297,.0076946327,.31563178,.34579417
9.6356077,.32953563,.0077095809,.31442511,.34464613
9.6421232,.3283658,.0077245245,.31322601,.34350559
9.6485949,.32720384,.0077394564,.31203479,.34237292
9.6550264,.32604909,.0077543836,.3108508,.34124741
9.6614161,.32490188,.0077692992,.30967432,.34012944
9.6677656,.32376185,.0077842055,.30850509,.33901861
9.6740742,.32262918,.0077990983,.30734324,.33791512
9.6803436,.32150355,.0078139799,.3061884,.33681867
9.6865749,.32038474,.0078288512,.30504048,.335729
9.6927662,.31927314,.0078437049,.30389977,.33464652
9.6989202,.31816819,.0078585465,.30276573,.33357066
9.7050362,.31707013,.0078733722,.3016386,.33250165
9.7111158,.31597856,.007888183,.30051801,.33143911
9.7171583,.31489366,.0079029771,.29940411,.33038321
9.7231636,.31381544,.0079177516,.29829693,.32933396
9.7291346,.3127434,.0079325121,.29719594,.32829082
9.7350693,.31167784,.0079472521,.29610151,.32725418
9.7409687,.31061864,.0079619726,.29501346,.32622382
9.7468338,.30956557,.0079766745,.2939316,.32519957
9.7526646,.30851871,.0079913549,.29285595,.32418147
9.758462,.3074778,.0080060167,.29178631,.32316932
9.764226,.30644292,.008020658,.29072273,.32216313
9.7699566,.30541402,.0080352761,.28966516,.32116288
9.7756538,.30439112,.0080498708,.28861365,.32016855
9.7813196,.30337384,.0080644451,.28756782,.31917986
9.7869539,.30236223,.008078998,.28652769,.31819677
9.7925558,.30135643,.0080935247,.28549343,.31721947
9.7981272,.30035615,.0081080301,.28446469,.31624758
9.8036671,.2993615,.0081225103,.28344166,.3152813
9.8091764,.2983723,.0081369663,.28242415,.31432047
9.8146563,.29738843,.008151399,.28141198,.31336489
9.8201056,.29641005,.0081658047,.28040537,.31241474
9.8255262,.2954368,.0081801889,.27940392,.31146967
9.8309164,.294469,.0081945434,.27840799,.31053004
9.8362789,.29350621,.0082088755,.27741709,.30959532
9.8416119,.29254872,.0082231788,.27643156,.30866584
9.8469172,.29159617,.0082374578,.27545103,.30774128
9.8521938,.29064876,.008251708,.27447572,.30682182
9.8574438,.28970617,.0082659349,.27350524,.3059071
9.8626652,.28876871,.008280132,.27253994,.30499744
9.8678608,.28783584,.0082943048,.27157933,.30409238
9.8730288,.28690797,.0083084479,.27062371,.30319223
9.87817,.28598487,.008322564,.26967296,.30229682
9.8832846,.2850666,.0083366502,.26872706,.30140612
9.8883743,.28415275,.0083507132,.26778567,.30051985
9.8934374,.28324372,.0083647445,.2668491,.2996383
9.8984747,.2823393,.0083787469,.26591724,.29876134
9.9034872,.28143933,.0083927233,.26498988,.29788876
9.9084749,.2805438,.0084066708,.26406702,.29702058
9.9134378,.27965274,.0084205903,.2631487,.29615679
9.918376,.27876613,.0084344801,.26223484,.29529741
9.9232903,.2778838,.0084483419,.26132536,.29444224
9.9281797,.27700591,.0084621729,.26042035,.29359147
9.9330463,.27613214,.008475977,.25951952,.29274476
9.9378891,.27526265,.0084897513,.25862303,.29190224
