temp,yhat,se_hi,lowerci_hi,upperci_hi
0,.51552105,.072349377,.37371889,.65732324
1,.53086203,.053397935,.426204,.63552004
2,.54603028,.03881456,.46995512,.62210542
3,.56040335,.028093446,.50534117,.61546546
4,.57343996,.020735912,.53279829,.61408156
5,.58467996,.01614083,.5530445,.61631542
6,.59374452,.013501609,.56728184,.62020719
7,.60033584,.011935005,.57694364,.62372804
8,.60423738,.010785115,.58309895,.62537581
9,.60531384,.0097479364,.58620822,.62441945
10,.60351098,.0087840473,.58629453,.62072736
11,.59885579,.0079860752,.58320338,.61450821
12,.59145659,.0074630654,.5768292,.60608393
13,.58150262,.0072468477,.56729907,.59570616
14,.56926453,.0072573815,.55504036,.58348876
15,.55509412,.0073510688,.54068625,.56950194
16,.53942424,.0073971828,.52492601,.55392241
17,.52276903,.0073239715,.50841433,.53712374
18,.50572383,.0071317381,.49174592,.51970178
19,.48896518,.0068877907,.47546536,.50246501
20,.47325072,.0067029945,.46011311,.48638836
21,.45941934,.0066776588,.44633135,.4725073
22,.44839105,.006826452,.43501145,.46177065
23,.44116715,.0070396415,.42736971,.45496461
24,.43883005,.0071239783,.4248673,.45279279
25,.44254339,.0069102226,.42899957,.45608717
26,.45355192,.0064770221,.44085717,.46624663
27,.47318166,.0066978741,.46005407,.48630926
28,.5028398,.0093803788,.48445457,.52122498
29,.54401469,.015405307,.51382083,.5742085
30,.59827584,.024767665,.54973209,.64681953
