inc_log,yhat,se,lowerci_hi,upperci_hi
6.4769726,.87529534,.0137703,.84830606,.90228462
6.6200733,.84726089,.013085841,.82161313,.87290871
6.7452364,.82274061,.012504272,.79823267,.84724849
6.856462,.80095077,.012002816,.77742565,.82447582
6.9565454,.7813437,.011565568,.75867563,.80401182
7.0475173,.76352167,.011180967,.74160743,.78543597
7.130899,.74718666,.010840348,.72593999,.76843333
7.20786,.73210949,.010537037,.71145725,.75276166
7.2793188,.7181102,.010265782,.69798964,.73823076
7.3460102,.70504487,.010022368,.68540138,.72468835
7.4085307,.69279671,.0098033603,.67358243,.71201092
7.467371,.68126947,.0096059199,.66244221,.70009673
7.5229411,.67038292,.0094276629,.651905,.68886077
7.5755849,.66006964,.0092665758,.64190745,.67823178
7.6255951,.65027231,.0091209337,.63239557,.66814899
7.673223,.64094168,.0089892466,.62332302,.65856028
7.7186856,.6320352,.0088702179,.61464989,.6494205
7.7621708,.6235162,.0087627126,.6063416,.6406908
7.8038435,.61535221,.0086657275,.59836769,.63233674
7.8438487,.60751492,.0085783741,.59070158,.6243282
7.8823147,.59997916,.008499858,.58331972,.6166386
7.9193563,.59272242,.0084294649,.57620102,.60924387
7.9550743,.58572507,.0083665568,.56932688,.6021232
7.9895606,.57896894,.0083105536,.56268054,.59525734
8.0228968,.57243818,.008260929,.55624706,.58862931
8.0551577,.56611806,.0082172062,.55001259,.58222347
8.0864105,.55999541,.0081789466,.54396492,.57602584
8.1167154,.55405843,.0081457533,.53809309,.57002383
8.1461296,.54829603,.0081172585,.53238648,.56420553
8.1747026,.54269832,.008093128,.5268361,.55856061
8.2024822,.53725612,.0080730496,.52143323,.55307901
8.2295113,.53196096,.0080567403,.51617002,.5477519
8.2558289,.52680516,.0080439346,.51103938,.54257101
8.2814713,.52178162,.0080343913,.50603455,.53752875
8.3064718,.51688385,.0080278832,.50114948,.53261822
8.330864,.51210529,.0080242008,.49637812,.52783245
8.3546743,.50744069,.0080231521,.49171558,.52316576
8.3779316,.50288439,.0080245556,.48715657,.51861227
8.4006596,.49843183,.0080282446,.48269677,.51416689
8.4228821,.49407831,.0080340635,.47833183,.50982475
8.444622,.48981929,.0080418671,.47405753,.50558108
8.4658995,.4856509,.0080515211,.46987021,.50143158
8.4867344,.4815692,.008062901,.46576619,.49737218
8.507143,.47757101,.0080758873,.46174255,.49339944
8.5271435,.47365278,.0080903722,.45779595,.48950961
8.546752,.46981132,.008106254,.45392337,.4856993
8.5659838,.46604368,.0081234369,.45012206,.48196533
8.5848522,.46234724,.0081418315,.44638953,.47830492
8.6033707,.45871934,.0081613557,.44272339,.47471529
