temp,yhat,se,lowerci_hi,upperci_hi
-27,8.232255,6.071219,-3.667115,20.131626
-26,7.4506478,5.5126858,-3.3540175,18.255312
-25,6.7288051,4.9932175,-3.0577216,16.515331
-24,6.0636606,4.5109696,-2.7776778,14.904999
-23,5.4522257,4.0641408,-2.5133443,13.417796
-22,4.8915911,3.6509743,-2.2641873,12.047369
-21,4.3789253,3.269757,-2.0296807,10.787532
-20,3.9114769,2.9188209,-1.8093069,9.6322603
-19,3.4865718,2.5965412,-1.6025555,8.5756989
-18,3.1016157,2.3013384,-1.4089247,7.6121559
-17,2.7540925,2.0316765,-1.2279203,6.736105
-16,2.4415643,1.7860638,-1.0590563,5.9421849
-15,2.1616733,1.5630533,-.90185463,5.2252016
-14,1.9121394,1.3612418,-.75584543,4.5801244
-13,1.6907612,1.1792709,-.62056708,4.0020895
-12,1.4954164,1.0158261,-.49556613,3.4863989
-11,1.3240614,.86963785,-.38039753,3.0285203
-10,1.174731,.73948085,-.27462485,2.6240869
-9,1.045539,.62417448,-.17782052,2.2688985
-8,.93467778,.52258301,-.089566119,1.9589217
-7,.84041858,.43361586,-.0094528859,1.6902901
-6,.76111126,.35622784,.062917493,1.459305
-5,.69518435,.28941986,.12793183,1.2624369
-4,.64114517,.23223968,.18596376,1.0963266
-3,.59757972,.18378331,.23737104,.95778841
-2,.56315279,.14319713,.28249156,.84381402
-1,.5366078,.10968115,.32163671,.75157893
0,.51676697,.082494155,.35508138,.67845255
1,.50253111,.060960863,.38305005,.6220122
2,.49287993,.044478178,.40570429,.58005553
3,.48687169,.032506041,.42316103,.55058235
4,.48364344,.024498999,.4356263,.53166062
5,.482411,.019735733,.44372967,.5210923
6,.48246878,.017198958,.44875944,.51617813
7,.48319,.015815031,.45219311,.51418692
8,.48402661,.014842968,.45493492,.51311833
9,.48450923,.013964482,.45713934,.51187909
10,.48424721,.013142708,.45848796,.51000643
11,.4829286,.012462534,.45850247,.50735474
12,.48032022,.012014198,.45677283,.50386763
13,.47626755,.011822738,.45309541,.49943969
14,.47069484,.01183177,.447505,.49388468
15,.46360505,.011937017,.44020891,.48700115
16,.45507976,.012037083,.43148753,.47867203
17,.44527945,.012070016,.42162263,.46893623
18,.43444315,.012026578,.41087148,.45801479
19,.42288867,.011943391,.39948007,.44629729
20,.41101259,.01187858,.38773099,.43429416
21,.39929011,.011872786,.3760199,.42256036
22,.38827524,.011907315,.36493734,.41161317
23,.37860066,.011881598,.35531315,.40188816
24,.37097773,.011629716,.3481839,.39377156
25,.3661966,.010992007,.34465268,.38774055
26,.36512613,.01000571,.34551531,.38473696
27,.36871386,.0094356071,.35022041,.3872073
28,.37798604,.011407009,.35562873,.40034339
29,.39404771,.017647585,.35945907,.42863634
30,.41808254,.028155722,.36289832,.47326672
31,.45135295,.04290178,.36726701,.5354389
32,.49520013,.062239442,.37321308,.6171872
33,.55104393,.08672601,.38106409,.7210238
34,.62038291,.11702581,.39101654,.84974927
35,.70479441,.15387377,.40320736,1.0063814
36,.80593437,.19806111,.41774175,1.194127
37,.92553765,.25042924,.43470535,1.4163699
38,1.0654175,.31186691,.45416966,1.6766654
39,1.2274663,.3833088,.47619495,1.9787378
40,1.4136549,.46573478,.50083154,2.3264782
41,1.6260328,.56016946,.52812088,2.7239449
42,1.8667285,.66768211,.55809557,3.1753614
43,2.1379488,.78938627,.5907802,3.6851175
