inc_log,yhat,se_hi,lowerci_hi,upperci_hi
6.6200733,.83103251,.013412287,.8047449,.85732013
6.7452364,.81042993,.013071945,.78480941,.83605045
6.856462,.79212153,.012784746,.76706392,.8171792
6.9565454,.77564722,.012539429,.75107038,.80022407
7.0475173,.76067269,.01232787,.73651052,.78483492
7.130899,.74694759,.012144024,.72314572,.77074945
7.20786,.73427933,.011983269,.7107926,.75776613
7.2793188,.72251683,.011842001,.69930691,.7457267
7.3460102,.71153903,.011717355,.68857342,.73450464
7.4085307,.70124775,.011607019,.67849845,.72399712
7.467371,.69156229,.011509104,.66900492,.71411973
7.5229411,.68241513,.011422041,.66002834,.70480192
7.5755849,.67374969,.011344524,.65151483,.69598454
7.6255951,.66551769,.011275448,.64341825,.68761718
7.673223,.65767789,.011213873,.63569909,.67965662
7.7186856,.65019447,.011158992,.62832326,.67206568
7.7621708,.64303654,.01111011,.62126112,.66481197
7.8038435,.63617694,.011066625,.61448675,.65786713
7.8438487,.62959188,.011028009,.60797739,.65120637
7.8823147,.62326014,.010993801,.6017127,.64480758
7.9193563,.61716288,.010963591,.59567463,.63865113
7.9550743,.61128348,.010937021,.58984733,.63271964
7.9895606,.60560685,.010913769,.58421624,.62699741
8.0228968,.60011953,.010893551,.57876855,.62147045
8.0551577,.59480917,.010876109,.57349241,.61612594
8.0864105,.58966476,.010861215,.5683772,.61095238
8.1167154,.58467638,.010848663,.56341338,.60593939
8.1461296,.57983464,.010838266,.55859202,.60107726
8.1747026,.57513136,.010829856,.55390525,.59635746
8.2024822,.57055867,.01082328,.54934543,.5917719
8.2295113,.56610954,.010818397,.54490584,.58731323
8.2558289,.56177753,.010815083,.54058033,.58297467
8.2814713,.55755663,.010813221,.53636307,.57875013
8.3064718,.55344135,.010812705,.53224885,.5746339
8.330864,.54942626,.01081344,.52823234,.57062024
8.3546743,.54550695,.010815335,.52430928,.56670463
8.3779316,.54167867,.01081831,.52047515,.56288218
8.4006596,.53793752,.010822289,.5167262,.55914879
8.4228821,.53427958,.010827202,.51305866,.55550051
8.444622,.53070104,.010832987,.50946879,.55193329
8.4658995,.52719867,.010839582,.50595343,.54844385
8.4867344,.52376908,.010846935,.50250947,.54502869
8.507143,.5204097,.010854994,.4991343,.5416851
8.5271435,.5171175,.010863712,.49582502,.53841001
8.546752,.51388985,.010873046,.49257907,.5352006
8.5659838,.51072419,.010882954,.48939398,.53205436
8.5848522,.50761831,.0108934,.48626766,.52896899
8.6033707,.50457007,.010904347,.48319796,.52594221
8.6215534,.50157708,.010915764,.48018259,.52297157
8.639411,.49863762,.010927618,.47721988,.52005535
8.6569548,.49574983,.010939883,.47430804,.51719159
8.6741972,.49291161,.010952531,.47144505,.51437819
8.6911469,.4901216,.010965538,.46862954,.51161367
8.7078133,.48737821,.010978879,.46586001,.50889641
8.7242069,.48467973,.010992534,.46313474,.50622469
8.7403364,.4820247,.01100648,.46045241,.50359702
8.7562103,.47941178,.011020701,.45781159,.50101197
8.7718353,.47683981,.011035176,.45521125,.49846834
8.78722,.47430739,.011049889,.45265001,.49596477
8.802372,.47181329,.011064826,.45012662,.49349993
8.8172979,.46935639,.011079969,.44764006,.49107271
8.8320036,.46693575,.011095304,.44518936,.48868215
8.8464966,.46455011,.011110821,.44277331,.48632693
8.8607826,.46219856,.011126504,.440391,.48400611
8.8748674,.45988011,.011142344,.43804151,.48171869
8.8887568,.45759386,.011158329,.43572393,.47946376
8.9024553,.45533898,.011174446,.43343747,.4772405
8.9159689,.45311457,.011190688,.43118122,.47504792
8.9293032,.45091966,.011207047,.42895424,.47288507
8.942461,.4487538,.011223511,.42675614,.47075149
8.9554482,.44661605,.011240073,.42458591,.4686462
8.9682684,.44450575,.011256724,.42244297,.46656853
8.9809275,.442422,.01127346,.42032641,.46451756
8.9934273,.44036445,.01129027,.41823593,.46249297
9.0057735,.4383322,.01130715,.4161706,.4604938
9.0179682,.43632489,.011324092,.41413006,.4585197
9.0300169,.43434158,.011341092,.41211346,.45656973
9.0419216,.43238202,.011358143,.41012046,.45464355
9.0536861,.43044549,.01137524,.40815043,.45274055
9.0653143,.42853144,.011392378,.40620279,.45086008
9.0768089,.42663935,.011409553,.40427703,.44900167
9.0881729,.42476878,.01142676,.40237272,.4471648
9.0994091,.42291921,.011443995,.40048942,.44534904
9.1105204,.42109025,.011461252,.3986266,.44355389
9.1215096,.41928136,.01147853,.39678386,.44177887
