temp,yhat,se_hi,lowerci_hi,upperci_hi
0,.51710552,.065206759,.38930264,.64490843
1,.51524383,.048530731,.42012531,.61036229
2,.51579732,.035990942,.44525638,.58633828
3,.51807809,.027188305,.46478999,.57136619
4,.52146196,.021642799,.47904283,.56388104
5,.52538872,.018617718,.48889866,.5618788
6,.5293622,.017148521,.49575171,.56297266
7,.53294998,.016378326,.50084907,.56505096
8,.53578377,.015799353,.50481761,.56674993
9,.53755903,.015216908,.50773442,.56738359
10,.53803521,.014614951,.50939041,.56668001
11,.5370357,.014047069,.50950396,.56456745
12,.53444791,.013569065,.50785303,.56104279
13,.53022295,.013204514,.50434256,.55610329
14,.52437603,.012937579,.49901885,.54973322
15,.51698631,.012726668,.49204251,.54193014
16,.50819683,.01252764,.48364311,.53275055
17,.49821448,.012314752,.474078,.52235097
18,.48731017,.012092139,.46361002,.51101035
19,.47581875,.011892847,.45250919,.49912831
20,.46413893,.01176442,.44108108,.48719677
21,.4527334,.011742846,.42971784,.47574896
22,.44212878,.011824045,.41895407,.46530348
23,.43291557,.011949698,.40949461,.45633656
24,.42574826,.01202324,.40218315,.4493134
25,.42134523,.011966693,.39789096,.44479954
26,.4204888,.011839921,.39728299,.44369462
27,.42402524,.012061473,.40038517,.44766527
28,.43286467,.013625551,.40615907,.45957026
29,.44798124,.017766483,.41315958,.4828029
30,.47041297,.0252012,.42101952,.51980639
