temp,yhat,se_hi,lowerci_hi,upperci_hi
-27,5.8608942,4.7952962,-3.5377138,15.259501
-26,5.3001451,4.3541436,-3.2338202,13.83411
-25,4.7845531,3.9438469,-2.9452446,12.514351
-24,4.3117046,3.562948,-2.6715448,11.294954
-23,3.8792496,3.2100244,-2.4122825,10.170781
-22,3.4849012,2.8836884,-2.1670241,9.1368265
-21,3.1264374,2.5825875,-1.9353411,8.1882153
-20,2.8016996,2.3054037,-1.7168086,7.3202076
-19,2.5085936,2.0508542,-1.5110067,6.528194
-18,2.2450888,1.8176908,-1.31752,5.8076973
-17,2.0092182,1.6047009,-1.1359376,5.1543741
-16,1.7990798,1.410706,-.96585315,4.5640125
-15,1.6128342,1.2345631,-.80686504,4.0325336
-14,1.448707,1.0751642,-.65857619,3.5559902
-13,1.3049871,.93143618,-.52059424,3.1305685
-12,1.1800275,.80234087,-.39253169,2.7525868
-11,1.0722452,.68687546,-.27400583,2.4184964
-10,.98012125,.58407211,-.16463907,2.1248815
-9,.90220022,.49299845,-.064058967,1.8684595
-8,.83709097,.41275737,.028101375,1.6460806
-7,.78346616,.34248748,.112203,1.4547293
-6,.74006236,.28136328,.18860047,1.2915243
-5,.70568013,.2285956,.25764099,1.1537193
-4,.6791839,.18343236,.31966311,1.0387048
-3,.65950209,.14515956,.37499461,.9440096
-2,.64562702,.11310294,.42394936,.86730468
-1,.63661492,.086630642,.46682197,.80640787
0,.63158596,.06515725,.50388008,.75929177
1,.6297242,.048149373,.53535312,.72409523
2,.63027769,.03513068,.56142282,.69913256
3,.63255847,.025674596,.58223718,.68287975
4,.63594234,.019350309,.59801644,.67386824
5,.63986909,.015588087,.609317,.67042118
6,.64384258,.013584438,.6172176,.67046762
7,.64743042,.012491357,.62294781,.67191303
8,.65026414,.011723581,.62728637,.67324197
9,.65203941,.011029717,.63042158,.67365724
10,.65251559,.010380647,.6321699,.67286128
11,.65151608,.0098434174,.63222337,.67080885
12,.64892828,.0094893035,.63032955,.66752696
13,.64470333,.00933808,.62640101,.66300559
14,.63885641,.0093452139,.62054014,.65717274
15,.63146675,.0094283419,.61298752,.64994591
16,.62267721,.0095073786,.60404307,.64131135
17,.61269486,.0095333913,.59400976,.63137996
18,.60179055,.0094990823,.58317268,.62040842
19,.59029913,.0094333766,.57181007,.60878819
20,.5786193,.0093821874,.56023055,.59700805
21,.56721377,.0093776109,.54883403,.58559358
22,.55660915,.0094048828,.53817594,.57504237
23,.54739594,.0093845706,.52900255,.5657894
24,.54022866,.0091856243,.52222514,.55823213
25,.53582561,.0086819353,.51880932,.5528419
26,.53496921,.0079029175,.51947975,.55045861
27,.53850561,.0074526276,.52389872,.55311251
28,.54734504,.0090097208,.52968633,.56500375
29,.56246161,.013938783,.53514212,.58978111
30,.58489335,.022238538,.54130661,.62848008
31,.61574221,.033885576,.54932773,.68215674
32,.65617406,.049159251,.55982375,.75252444
33,.7074188,.068499736,.57316178,.84167582
34,.77077007,.092431754,.58960718,.95193303
35,.84758568,.12153578,.60937989,1.0857913
36,.93928707,.15643674,.63267672,1.2458974
37,1.0473599,.19779922,.65968055,1.4350393
38,1.1733537,.24632519,.69056511,1.6561421
39,1.3188816,.30275291,.72549677,1.9122664
40,1.4856211,.36785629,.76463604,2.2066061
41,1.6753135,.44244468,.80813783,2.5424891
42,1.8897638,.52736259,.85615224,2.9233756
43,2.1308415,.62348944,.9088245,3.3528583
