inc_log,yhat,se_hi,lowerci_hi,upperci_hi
6.6200733,.97991693,.012436655,.95554155,1.0042924
6.7452364,.95977253,.011927769,.93639451,.98315054
6.856462,.94187129,.011489337,.91935265,.96438998
6.9565454,.92576337,.011107244,.90399361,.94753319
7.0475173,.9111219,.010771235,.89001065,.9322331
7.130899,.89770204,.010473629,.87717408,.91822994
7.20786,.88531554,.010208515,.86530721,.9053238
7.2793188,.87381458,.0099712433,.85427129,.89335781
7.3460102,.86308092,.0097580897,.8439554,.88220638
7.4085307,.85301852,.0095660212,.83426946,.87176758
7.467371,.84354848,.0093925353,.82513946,.86195749
7.5229411,.83460474,.0092355376,.81650341,.85270607
7.5755849,.82613194,.0090932595,.8083095,.84395444
7.6255951,.81808305,.0089641912,.80051357,.83565253
7.673223,.81041759,.0088470327,.79307771,.82775742
7.7186856,.80310059,.0087406551,.7859692,.82023197
7.7621708,.79610187,.0086440733,.77915978,.81304395
7.8038435,.78939486,.0085564209,.77262455,.8061651
7.8438487,.78295618,.0084769316,.76634175,.79957068
7.8823147,.77676529,.0084049236,.76029193,.79323864
7.9193563,.77080363,.0083397869,.75445795,.78714931
7.9550743,.765055,.0082809767,.74882454,.78128541
7.9895606,.75950456,.0082280012,.74337798,.77563119
8.0228968,.7541393,.0081804153,.73810595,.7701726
8.0551577,.74894702,.0081378156,.73299724,.76489687
8.0864105,.74391705,.0080998354,.72804165,.75979245
8.1167154,.7390396,.0080661401,.7232303,.75484896
8.1461296,.73430556,.0080364244,.71855444,.75005668
8.1747026,.72970688,.0080104079,.71400672,.74540699
8.2024822,.72523588,.0079878336,.70958,.74089175
8.2295113,.72088569,.0079684639,.70526779,.7365036
8.2558289,.71665001,.007952082,.70106417,.73223579
8.2814713,.71252298,.0079384856,.69696385,.72808212
8.3064718,.70849925,.0079274895,.69296163,.72403681
8.330864,.70457345,.0079189194,.68905264,.72009426
8.3546743,.70074129,.0079126181,.68523282,.7162497
8.3779316,.69699812,.0079084355,.68149787,.71249837
8.4006596,.69334018,.0079062348,.67784423,.70883614
8.4228821,.68976361,.0079058884,.67426831,.70525885
8.444622,.68626463,.007907276,.67076665,.70176262
